	MIP_log_pathogen_abundance	MIP_log_growth_weighted_all_missing1	MIP_log_growth_weighted_observed	MIP_robust_pathogen_count
SF001	0.16743414844038398	0.17323976823292306	0.010599838347147028	2
SF002	0.05200558525360543	0.05200558525360543	0.0	0
SF003	0.06900768194552902	0.10960602257997305	0.08670221582740534	11
SF004	0.009304578776335209	0.009586965912622463	0.0007075762268549576	1
SF005	0.011490048818704494	0.011490048818704494	0.0	0
SF006	0.06025017942641658	0.07137714102529985	0.018265821876521975	14
SF007	0.08895484182765365	0.11446206181869614	0.06298964189944152	8
SF008	0.0674761296466657	0.07786438105008664	0.026023579993887727	1
SF009	0.0934345193577647	0.09371355883033611	0.0004909389094070952	3
SF010	0.07005647481554098	0.1253122009550263	0.10059021759215495	19
SF011	0.1878026457855609	0.1878026457855609	0.0	0
SF012	0.015614166475594746	0.03723968777297175	0.03511082922643354	11
SF013	0.10249415169942616	0.10755474543249488	0.016834821997684813	1
SF014	0.20582392269001343	0.2123701317018951	0.009682282095700448	1
SF015	0.0117896254606186	0.01667796459780289	0.01141918516243838	1
SF016	0.15411278122536282	0.18297107512008148	0.06812356010687147	3
SF017	0.044710761993791454	0.044710761993791454	0.0	0
SF018	0.2868208037959385	0.30821525482507395	0.040005684752154456	9
SF019	0.1357756667615598	0.1357756667615598	0.0	0
SF020	0.0004246992420739074	0.0004246992420739074	0.0	0
SF021	0.02134806718589111	0.02134806718589111	0.0	0
SF022	0.00015892073617663487	0.00015892073617663487	0.0	0
SF023	0.010306248687725027	0.010306248687725027	0.0	0
SF024	0.0002450585923663237	0.0002450585923663237	0.0	0
SF025	0.04777729869733888	0.04777729869733888	0.0	0
SF026	0.09234951682485878	0.09234951682485878	0.0	0
SF027	0.043870414628484546	0.1118613143254489	0.10750583440339796	11
SF028	0.07773999724852847	0.09755229501874788	0.06624994497320363	4
SF029	0.05106969719362399	0.0530090306258874	0.0031105187850531558	2
SF030	0.043033209919096406	0.07569274320200303	0.062489773145305016	4
SF031	0.20133863110376268	0.20133863110376268	0.0	0
SF032	0.030736473860364252	0.030736473860364252	0.0	0
SF033	0.09071859789320011	0.09078854033446405	0.00012594708690725066	1
SF034	0.0886714926971129	0.09040176578250309	0.002258374076235265	1
SF035	0.04585890304937084	0.04585890304937084	0.0	0
SF036	0.06531557672008342	0.09424610367720883	0.08405514588431189	7
SF037	0.02750025919337578	0.04356573817642906	0.027534295629138537	3
SF038	0.20721818463128705	0.27808305388013815	0.13016561522316814	2
SF039	0.4093611303806702	0.41362141178049283	0.010080153565048707	10
SF040	0.000972069725857677	0.003336373452428988	0.003336373452428988	2
SF041	0.10319979208312006	0.10319979208312006	0.0	1
SF042	0.0	0.0	0.0	0
SF043	0.05871290581622568	0.05871290581622568	0.0	0
SF044	0.04296869608816518	0.04296869608816518	0.0	0
SF045	0.07251556192007967	0.07251556192007967	0.0	0
SF046	0.017098957388376544	0.02718982500755799	0.0261742298492563	3
SF047	0.14448123326779086	0.1445258591207803	0.00019440786703017648	2
SF048	0.050337471474963175	0.050337471474963175	0.0	0
SF049	0.039162000766707505	0.039162000766707505	0.0	0
SF050	0.20398698445514457	0.20398698445514457	0.0	0
SF051	0.2967442675624843	0.2967442675624843	0.0	0
SF052	0.2002634574374653	0.2002634574374653	0.0	0
SF053	0.08136813709468256	0.08136813709468256	0.0	0
SF054	0.00702313404021049	0.01073978138442952	0.007893887501071548	6
SF055	0.055918097666595404	0.055918097666595404	0.0	0
SF056	0.24798886370686124	0.24798886370686124	0.0	0
SF057	0.09681925084368619	0.09681925084368619	0.0	0
SF058	0.0020155236202036983	0.0020155236202036983	0.0	0
SF059	0.09603317382243216	0.09603317382243216	0.0	0
SF060	0.04809553242297886	0.0483015512400583	0.00044116323732399396	2
SF061	0.0024797596836395796	0.004214303669629493	0.0020735931620098217	3
SF062	0.012170092044210832	0.012170092044210832	0.0	0
SF063	0.393714218965017	0.4015325076480882	0.030033257601819838	9
SF064	0.08338741894741687	0.0848890762326737	0.002547493452926739	1
SF065	0.07577157955512635	0.07577157955512635	0.0	0
SF066	0.02017096021637797	0.021855767331343284	0.0037861566387357216	1
SF067	0.26317296633704695	0.26317296633704695	0.0	0
SF068	0.06855940263361311	0.06855940263361311	0.0	0
SF069	0.057907023322353736	0.057907023322353736	0.0	0
SF070	0.014625336003316506	0.01642038897703583	0.004171717109224703	13
SF071	0.052326218185701476	0.052326218185701476	0.0	0
SF072	0.0229364120806447	0.028185595321310205	0.006849639154057283	1
SF073	0.019905953685685544	0.021450494219954926	0.0024912197880384065	1
SF074	0.5646191448213282	0.5650222714163111	0.0025521081652367453	2
SF075	0.07234177819412878	0.07236426647867888	4.644898027921025e-05	1
SF076	0.10537150467905869	0.10537150467905869	0.0	0
SF077	0.1521177688123136	0.197517932197789	0.12932421229823945	1
SF078	0.01821053701397172	0.01821053701397172	0.0	0
SF079	0.12721964183407927	0.19678993189180785	0.19025761323171186	6
SF080	0.03345143365381075	0.03396257416430783	0.0009971031406388353	1
SF081	0.00858442989590432	0.02138315111282018	0.021376354608526812	2
SF082	0.033688491929325486	0.035169985369607075	0.0020628131628114025	1
SF083	0.35110977512180946	0.35110977512180946	0.0	0
SF084	0.6459146770296582	0.6459146770296582	0.0	0
SF085	0.16072601878255902	0.16072601878255902	0.0	0
SF086	0.008076235888514903	0.018195518053958974	0.015132521981415412	3
SF087	0.16748514515540658	0.3217898219715353	0.2515631465894411	24
SF088	0.03682115311697845	0.03755682482827051	0.001352359791359893	1
SF089	0.13292275685396013	0.16699384077718832	0.06662395005344077	16
SF090	0.0818504312663612	0.0818504312663612	0.0	0
SF091	0.04056403703024822	0.1260273241618551	0.10161021335265633	1
SF092	0.06405268717405443	0.07921255009747881	0.026579708321867852	7
SF093	0.08283324305529743	0.08283324305529743	0.0	0
SF094	0.025053107101582747	0.025053107101582747	0.0	0
SF095	0.2097008641006471	0.2097008641006471	0.0	0
SF096	0.02850862692507606	0.02850862692507606	0.0	0
SF097	0.07699801570603161	0.07809173228719753	0.0020152471516470083	2
