dataset	sample_id	n_species_tested	n_finite_ptr	n_robust_ptr	median_n_windows
CRA019236	MEC.01	970	26	12	0.0
CRA019236	MEC.02	970	75	33	0.0
CRA019236	MEC.100	970	60	25	0.0
CRA019236	MEC.101	970	12	3	0.0
CRA019236	MEC.120	970	39	22	0.0
CRA019236	MEC.122	970	20	9	0.0
CRA019236	MEC.123	970	23	7	0.0
CRA019236	MEC.136	970	31	13	0.0
CRA019236	MEC.139	970	44	20	0.0
CRA019236	MEC.141	970	20	12	0.0
CRA019236	MEC.143	970	21	6	0.0
CRA019236	MEC.145	970	45	21	0.0
CRA019236	MEC.151	970	75	36	0.0
CRA019236	MEC.154	970	55	30	0.0
CRA019236	MEC.155	970	52	29	0.0
CRA019236	MEC.156	970	51	24	0.0
CRA019236	MEC.158	970	37	19	0.0
CRA019236	MEC.165	970	56	33	0.0
CRA019236	MEC.167	970	42	25	0.0
CRA019236	MEC.168	970	54	19	0.0
CRA019236	MEC.177	970	41	20	0.0
CRA019236	MEC.186	970	39	18	0.0
CRA019236	MEC.19	970	51	22	0.0
CRA019236	MEC.205	970	19	8	0.0
CRA019236	MEC.27	970	17	9	0.0
CRA019236	MEC.29	970	28	14	0.0
CRA019236	MEC.31	970	48	25	0.0
CRA019236	MEC.38	970	23	13	0.0
CRA019236	MEC.53	970	38	23	0.0
CRA019236	MEC.72	970	21	13	0.0
CRA019236	MST.01	970	55	28	0.0
CRA019236	MST.02	970	33	17	0.0
CRA019236	MST.100	970	45	25	0.0
CRA019236	MST.101	970	86	59	0.0
CRA019236	MST.122	970	54	29	0.0
CRA019236	MST.123	970	83	52	0.0
CRA019236	MST.126	970	54	36	0.0
CRA019236	MST.130	970	107	61	0.0
CRA019236	MST.136	970	45	29	0.0
CRA019236	MST.139	970	43	21	0.0
CRA019236	MST.141	970	47	25	0.0
CRA019236	MST.142	970	48	24	0.0
CRA019236	MST.143	970	52	28	0.0
CRA019236	MST.145	970	24	11	0.0
CRA019236	MST.146	970	99	52	0.0
CRA019236	MST.151	970	109	58	0.0
CRA019236	MST.154	970	29	15	0.0
CRA019236	MST.155	970	88	43	0.0
CRA019236	MST.156	970	99	55	0.0
CRA019236	MST.158	970	38	17	0.0
CRA019236	MST.162	970	54	35	0.0
CRA019236	MST.165	970	43	18	0.0
CRA019236	MST.168	970	66	34	0.0
CRA019236	MST.169	970	88	41	0.0
CRA019236	MST.177	970	50	19	0.0
CRA019236	MST.186	970	122	72	0.0
CRA019236	MST.19	970	62	29	0.0
CRA019236	MST.196	970	53	23	0.0
CRA019236	MST.205	970	29	13	0.0
CRA019236	MST.27	970	121	82	0.0
CRA019236	MST.31	970	61	31	0.0
CRA019236	MST.38	970	26	8	0.0
CRA019236	MST.53	970	43	28	0.0
PRJNA1005427	B-10__SRR25655431	970	13	10	0.0
PRJNA1005427	B-1__SRR25655450	970	5	5	0.0
PRJNA1005427	B-2__SRR25655449	970	12	8	0.0
PRJNA1005427	B-3__SRR25655438	970	15	10	0.0
PRJNA1005427	B-4__SRR25655437	970	13	8	0.0
PRJNA1005427	B-5__SRR25655436	970	14	11	0.0
PRJNA1005427	B-6__SRR25655435	970	17	12	0.0
PRJNA1005427	B-7__SRR25655434	970	16	11	0.0
PRJNA1005427	B-8__SRR25655433	970	12	8	0.0
PRJNA1005427	B-9__SRR25655432	970	26	20	0.0
PRJNA1005427	C-10__SRR25655439	970	8	8	0.0
PRJNA1005427	C-1__SRR25655448	970	14	9	0.0
PRJNA1005427	C-2__SRR25655447	970	10	9	0.0
PRJNA1005427	C-3__SRR25655446	970	4	3	0.0
PRJNA1005427	C-4__SRR25655445	970	7	6	0.0
PRJNA1005427	C-5__SRR25655444	970	7	4	0.0
PRJNA1005427	C-6__SRR25655443	970	13	11	0.0
PRJNA1005427	C-7__SRR25655442	970	11	10	0.0
PRJNA1005427	C-8__SRR25655441	970	12	9	0.0
PRJNA1005427	C-9__SRR25655440	970	4	4	0.0
PRJNA946904	MIBC_01T__SRR23960536	970	18	15	0.0
PRJNA946904	MIBC_02T__SRR23960535	970	17	12	0.0
PRJNA946904	MIBC_03T__SRR23960524	970	6	4	0.0
PRJNA946904	MIBC_04T__SRR23960521	970	6	6	0.0
PRJNA946904	MIBC_05T__SRR23960520	970	8	6	0.0
PRJNA946904	MIBC_06T__SRR23960519	970	14	9	0.0
PRJNA946904	MIBC_07T__SRR23960518	970	13	10	0.0
PRJNA946904	MIBC_08T__SRR23960517	970	8	6	0.0
PRJNA946904	MIBC_09T__SRR23960516	970	9	8	0.0
PRJNA946904	MIBC_10T__SRR23960515	970	14	12	0.0
PRJNA946904	MIBC_11T__SRR23960534	970	11	10	0.0
PRJNA946904	MIBC_12T__SRR23960533	970	15	13	0.0
PRJNA946904	MIBC_13T__SRR23960532	970	12	9	0.0
PRJNA946904	MIBC_14T__SRR23960531	970	8	8	0.0
PRJNA946904	MIBC_15T__SRR23960530	970	12	11	0.0
PRJNA946904	NMIBC_15T__SRR23960528	970	9	8	0.0
PRJNA946904	NMIBC_16T__SRR23960527	970	14	10	0.0
PRJNA946904	NMIBC_17T__SRR23960526	970	12	10	0.0
PRJNA946904	NMIBC_18T__SRR23960525	970	16	15	0.0
PRJNA946904	NMIBC_19T__SRR23960523	970	18	13	0.0
PRJNA946904	NMIBC_20T__SRR23960522	970	6	3	0.0
PRJNA946904	NMIBC_6T__SRR23960529	970	13	10	0.0
