genome	std_log2ptr	n	mag	mean_cov	qc_rate_current	qc_any	cov_q
GCA_041389005.1_ASM4138900v1_genomic	0.835895674193979	9	GCA_041389005.1_ASM4138900v1_genomic	2.3228319505555555	0.0	False	Q2
GCA_041389025.1_ASM4138902v1_genomic	0.7530246691607453	9	GCA_041389025.1_ASM4138902v1_genomic	2.7586913794444445	0.0	False	Q3
GCA_041389045.1_ASM4138904v1_genomic	0.9541896696568026	9	GCA_041389045.1_ASM4138904v1_genomic	2.108716451333333	0.0	False	Q1
GCA_041389065.1_ASM4138906v1_genomic	0.3882400052520743	9	GCA_041389065.1_ASM4138906v1_genomic	1.7156156358888888	0.0	False	Q1
GCA_041389085.1_ASM4138908v1_genomic	0.7521180282281212	9	GCA_041389085.1_ASM4138908v1_genomic	2.362868083375	0.0	False	Q2
GCA_041389105.1_ASM4138910v1_genomic	0.642742392207208	8	GCA_041389105.1_ASM4138910v1_genomic	1.586023745875	0.0	False	Q1
GCA_041389125.1_ASM4138912v1_genomic	0.5771963196261255	8	GCA_041389125.1_ASM4138912v1_genomic	1.5384213171428571	0.0	False	Q1
GCA_041389145.1_ASM4138914v1_genomic	0.6917405146655684	9	GCA_041389145.1_ASM4138914v1_genomic	2.7322366986666666	0.0	False	Q3
GCA_041389165.1_ASM4138916v1_genomic	0.4860678032462694	9	GCA_041389165.1_ASM4138916v1_genomic	2.1483809320000002	0.0	False	Q1
GCA_041389185.1_ASM4138918v1_genomic	0.3455722004102347	9	GCA_041389185.1_ASM4138918v1_genomic	22.003767494	0.3333333333333333	True	Q4
GCA_041389205.1_ASM4138920v1_genomic	1.3757413324188443	9	GCA_041389205.1_ASM4138920v1_genomic	7.363762500555556	0.2222222222222222	True	Q4
GCA_041389225.1_ASM4138922v1_genomic	0.5492562934502739	9	GCA_041389225.1_ASM4138922v1_genomic	2.1582825736666664	0.0	False	Q1
GCA_041389245.1_ASM4138924v1_genomic	1.009040896966643	9	GCA_041389245.1_ASM4138924v1_genomic	4.169656488	0.0	False	Q4
GCA_041389265.1_ASM4138926v1_genomic	0.7312473795436749	9	GCA_041389265.1_ASM4138926v1_genomic	5.233400628888889	0.1111111111111111	True	Q4
GCA_041389285.1_ASM4138928v1_genomic	0.5511966841799785	9	GCA_041389285.1_ASM4138928v1_genomic	3.260232780777778	0.0	False	Q3
GCA_041389305.1_ASM4138930v1_genomic	0.8800276096446897	9	GCA_041389305.1_ASM4138930v1_genomic	3.7570138386666665	0.0	False	Q4
GCA_041389325.1_ASM4138932v1_genomic	0.8495974730911353	9	GCA_041389325.1_ASM4138932v1_genomic	9.094965273222222	0.0	False	Q4
GCA_041389345.1_ASM4138934v1_genomic	0.9143993579096097	9	GCA_041389345.1_ASM4138934v1_genomic	11.587881057222223	0.0	False	Q4
