genome_id	mm2	mm1	ratio
0	48	45	0.9375
1	44	36	0.8181818181818182
2	62	59	0.9516129032258065
3	136	127	0.9338235294117647
4	39	35	0.8974358974358975
5	177	163	0.9209039548022598
6	136	123	0.9044117647058824
7	80	76	0.95
8	223	207	0.9282511210762332
9	47200	44324	0.9390677966101695
10	38696	36482	0.9427847839569982
11	748	721	0.963903743315508
12	560	395	0.7053571428571429
13	12615	12304	0.9753468093539437
14	3673	3586	0.976313640076232
15	23188	22905	0.9877954114196998
16	6138	6045	0.9848484848484849
17	36122	35719	0.9888433641548087
18	28489	27632	0.9699182140475271
19	36628	35656	0.9734629245386044
20	3599	3321	0.9227563212003335
21	16165	15355	0.9498917414166409
22	5304	4655	0.8776395173453997
23	4723	4333	0.9174253652339615
24	1455	1417	0.9738831615120275
25	5447	5104	0.9370295575546173
26	8155	7820	0.9589209074187615
27	1690	1176	0.6958579881656805
28	13347	12605	0.9444069828425864
29	15495	14892	0.9610842207163601
30	909	878	0.9658965896589659
31	1205	1088	0.9029045643153527
32	4377	3923	0.8962759881197166
33	7236	6581	0.9094803758982863
34	15269	14679	0.9613596175257056
35	11364	10483	0.9224744808166139
36	17988	17656	0.9815432510562597
37	9579	9129	0.9530222361415597
38	12228	11304	0.9244357212953876
39	14156	13689	0.9670104549307714
40	5671	5232	0.9225886087109857
41	4639	4319	0.9310196162966157
42	3797	3112	0.8195944166447195
43	2203	1923	0.8729005901044031
44	4996	4665	0.9337469975980784
45	5168	4532	0.8769349845201239
46	24596	24036	0.9772320702553261
47	2195	1940	0.8838268792710706
48	4707	4266	0.9063097514340345
49	3866	3432	0.8877392653905846
50	2707	2398	0.8858514961211673
51	1310	1236	0.9435114503816794
52	2137	1614	0.7552643893308376
53	1261	1094	0.8675654242664552
54	5845	5629	0.9630453378956373
55	35771	35370	0.98878980179475
56	8580	8113	0.9455710955710955
57	2466	2296	0.9310624493106245
58	16962	16426	0.9683999528357505
59	34	20	0.5882352941176471
60	3425	3141	0.9170802919708029
61	1356	1194	0.8805309734513275
62	181	179	0.988950276243094
63	36	20	0.5555555555555556
64	4649	4194	0.902129490212949
65	3765	3477	0.9235059760956176
66	2590	2394	0.9243243243243243
67	82	32	0.3902439024390244
68	861	749	0.8699186991869918
69	29	16	0.5517241379310345
70	31	16	0.5161290322580645
71	30	13	0.43333333333333335
72	31	18	0.5806451612903226
73	248	215	0.8669354838709677
74	986	960	0.973630831643002
75	1039	981	0.944177093358999
76	1731	1678	0.9693818601964183
77	3259	3148	0.9659404725375882
78	2679	2583	0.9641657334826428
79	5856	5664	0.9672131147540983
80	1019	841	0.8253189401373896
81	5646	5257	0.9311016648955013
82	1556	1451	0.9325192802056556
83	4404	4227	0.9598092643051771
84	1072	947	0.8833955223880597
85	1292	1168	0.9040247678018576
86	1110	936	0.8432432432432433
87	4752	4575	0.9627525252525253
88	3329	3032	0.9107840192249925
89	1148	978	0.8519163763066202
90	844	794	0.9407582938388626
91	4102	3703	0.9027303754266212
92	907	784	0.86438809261301
93	1104	961	0.8704710144927537
94	2238	2170	0.9696157283288651
95	58271	57132	0.9804533987746906
96	496	366	0.7379032258064516
97	1125	1037	0.9217777777777778
98	2908	2405	0.827028885832187
99	3419	3309	0.9678268499561276
100	2372	2243	0.9456155143338955
101	2939	2680	0.9118747873426335
102	644	495	0.7686335403726708
103	3550	3368	0.9487323943661972
104	53902	53625	0.9948610441171014
105	903	796	0.8815060908084164
106	2163	1974	0.912621359223301
107	3970	3691	0.9297229219143577
108	1017	807	0.7935103244837758
109	626	467	0.7460063897763578
110	1029	811	0.7881438289601554
111	778	657	0.8444730077120822
112	1476	1221	0.8272357723577236
113	1096	1026	0.9361313868613139
114	111	100	0.9009009009009009
115	1534	1426	0.9295958279009127
116	26	13	0.5
117	142	132	0.9295774647887324
118	437	417	0.954233409610984
119	1306	1296	0.9923430321592649
120	244	239	0.9795081967213115
121	2526	2486	0.9841646872525732
122	454	440	0.9691629955947136
123	210	194	0.9238095238095239
124	2110	2060	0.976303317535545
125	8095	7588	0.9373687461395923
126	7023	6802	0.968531966396127
127	211	185	0.8767772511848341
128	3608	3573	0.99029933481153
129	1103	1085	0.9836808703535811
130	445	428	0.9617977528089887
131	249	228	0.9156626506024096
132	878	865	0.9851936218678815
133	19703	19579	0.9937065421509415
134	570	551	0.9666666666666667
135	1122	1066	0.9500891265597148
136	1895	1848	0.9751978891820581
137	653	626	0.9586523736600306
138	1620	1585	0.9783950617283951
139	23833	23493	0.9857340662107162
140	10568	10106	0.9562831188493566
141	766	671	0.8759791122715405
142	4025	3878	0.9634782608695652
143	30018	29388	0.9790125924445333
144	1052	981	0.9325095057034221
145	734	696	0.9482288828337875
146	1717	1656	0.9644729178800233
147	776	723	0.9317010309278351
148	6992	6818	0.9751144164759725
149	720	624	0.8666666666666667
150	1543	1463	0.948152948801037
151	2799	2741	0.9792783136834584
152	679	639	0.9410898379970545
153	3957	3886	0.9820571139752338
154	1422	1362	0.9578059071729957
155	429	395	0.9207459207459208
156	5437	5297	0.9742505057936361
157	3879	3817	0.9840164990977056
158	1290	1243	0.9635658914728682
159	402	360	0.8955223880597015
160	1123	1077	0.9590382902938558
161	3702	3624	0.9789303079416531
162	4147	4015	0.9681697612732095
163	1482	1430	0.9649122807017544
164	373	338	0.9061662198391421
165	1435	1400	0.975609756097561
166	468	441	0.9423076923076923
167	5044	4952	0.9817605075337034
168	100	88	0.88
169	8975	8855	0.9866295264623955
170	95	83	0.8736842105263158
171	538	511	0.949814126394052
172	138	106	0.7681159420289855
173	502	486	0.9681274900398407
174	4771	4726	0.9905680150911759
175	1819	1706	0.9378779549202859
176	22060	21807	0.9885312783318223
177	2766	2563	0.9266088214027477
178	241	228	0.946058091286307
179	5906	5806	0.9830680663731798
180	2629	2493	0.9482693039178395
181	3541	3473	0.9807963852019204
182	2688	2569	0.9557291666666666
183	2854	2706	0.9481429572529783
184	3565	3450	0.967741935483871
185	984	932	0.9471544715447154
186	1455	1388	0.9539518900343643
187	1229	1172	0.9536208299430431
188	1032	990	0.9593023255813954
189	490	477	0.9734693877551021
190	14547	14390	0.9892073967140991
191	1586	1541	0.9716267339218159
192	1258	1231	0.9785373608903021
193	2292	2184	0.9528795811518325
194	2688	2658	0.9888392857142857
195	559	531	0.9499105545617174
196	1414	1361	0.9625176803394625
197	346	332	0.9595375722543352
198	3553	3472	0.9772023641992682
199	94	59	0.6276595744680851
200	3333	3153	0.945994599459946
201	1359	1316	0.9683590875643856
202	2237	2185	0.9767545820295038
203	1058	1029	0.9725897920604915
204	2335	2236	0.9576017130620985
205	419	395	0.9427207637231504
206	967	915	0.9462254395036195
207	764	730	0.9554973821989529
208	147	138	0.9387755102040817
209	28	21	0.75
210	246	229	0.9308943089430894
211	759	722	0.9512516469038208
212	359	242	0.6740947075208914
213	262	235	0.8969465648854962
214	30	21	0.7
215	702	683	0.9729344729344729
216	288	255	0.8854166666666666
217	493	481	0.9756592292089249
218	376	338	0.898936170212766
219	408	340	0.8333333333333334
220	7163	6730	0.9395504676811391
221	274	218	0.7956204379562044
222	1466	1151	0.7851296043656207
223	3319	2977	0.8969569147333534
224	4809	4521	0.9401122894572677
225	1653	1396	0.8445251058681186
226	1716	1489	0.8677156177156177
227	2430	2041	0.839917695473251
228	1237	1135	0.9175424413904608
229	1232	1024	0.8311688311688312
230	882	769	0.8718820861678005
231	1063	858	0.8071495766698025
232	789	616	0.7807351077313055
233	1063	928	0.8730009407337723
234	1206	971	0.8051409618573798
235	872	815	0.9346330275229358
236	3023	2583	0.8544492226265299
237	710	665	0.9366197183098591
238	7335	6831	0.9312883435582822
239	18321	17780	0.9704710441569784
240	8574	8058	0.9398180545836249
241	12919	12039	0.9318832726991253
242	3768	3476	0.9225053078556263
243	5519	4843	0.8775140423989853
244	4291	3941	0.9184339314845025
245	604	526	0.8708609271523179
246	568	494	0.8697183098591549
247	1046	927	0.8862332695984704
248	3242	3181	0.9811844540407156
249	274	248	0.9051094890510949
250	909	804	0.8844884488448845
251	2895	2711	0.9364421416234888
252	2539	2255	0.8881449389523435
253	1603	1382	0.8621334996880848
254	2154	1923	0.8927576601671309
255	2620	2354	0.898473282442748
256	1172	996	0.8498293515358362
257	1952	1603	0.8212090163934426
258	2840	2503	0.8813380281690141
259	3217	3070	0.9543052533416226
260	2301	2105	0.914819643633203
261	404	245	0.6064356435643564
262	2656	2447	0.9213102409638554
263	2941	2686	0.9132947976878613
264	2142	1849	0.8632119514472456
265	3269	2911	0.8904863872743959
266	866	737	0.851039260969977
267	1250	1193	0.9544
268	3532	3173	0.8983578708946772
269	9862	9646	0.9780977489353072
270	2069	1902	0.9192846785886902
271	1801	1640	0.9106052193225985
272	1515	1385	0.9141914191419142
273	924	857	0.9274891774891775
274	1383	1172	0.8474331164135936
275	840	700	0.8333333333333334
276	9497	9139	0.9623038854375066
277	6888	6457	0.9374274099883856
278	1086	854	0.7863720073664825
279	5716	5516	0.9650104968509448
280	3301	3035	0.9194183580733111
281	949	686	0.7228661749209695
282	1409	1100	0.7806955287437899
283	4018	3683	0.9166251866600299
284	2593	2308	0.8900887003470883
285	6112	5601	0.9163939790575916
286	3336	2991	0.8965827338129496
287	1560	1336	0.8564102564102564
288	782	648	0.8286445012787724
289	5226	4975	0.9519709146574818
290	13839	13666	0.9874990967555459
291	1677	1398	0.8336314847942755
292	7381	7205	0.9761549925484352
293	9085	8616	0.9483764446890479
294	2853	2732	0.9575885033298283
295	1548	1246	0.8049095607235142
296	10335	10109	0.9781325592646347
297	236	189	0.8008474576271186
298	285	279	0.9789473684210527
299	1887	1758	0.931637519872814
300	4453	4129	0.927240062878958
301	8328	8110	0.9738232468780019
302	643	564	0.8771384136858476
303	3005	2892	0.962396006655574
304	1061	833	0.7851083883129123
305	150	142	0.9466666666666667
306	5770	5576	0.9663778162911612
307	1500	1416	0.944
308	1658	1565	0.9439083232810616
309	2523	2369	0.9389615537059056
310	5562	5327	0.9577490111470695
311	14467	14147	0.977880693993226
312	2873	2579	0.8976679429168117
313	4057	3800	0.9366526990386985
314	5435	5249	0.9657773689052438
315	9133	8926	0.9773349392313588
316	3241	3080	0.9503239740820735
317	576	480	0.8333333333333334
318	444	380	0.8558558558558559
319	1968	1926	0.9786585365853658
320	753	719	0.9548472775564409
321	6147	6038	0.9822677728973483
322	518	422	0.8146718146718147
323	1178	1096	0.9303904923599321
324	741	633	0.854251012145749
325	756	625	0.8267195767195767
326	20893	20516	0.9819556789355286
327	538	435	0.8085501858736059
328	24859	24575	0.9885755661933304
329	2237	2074	0.9271345552078677
330	1254	1219	0.9720893141945773
331	506	474	0.9367588932806324
332	2939	2829	0.9625723035045934
333	2808	2682	0.9551282051282052
334	603	550	0.912106135986733
335	7115	7025	0.9873506676036542
336	1043	999	0.9578139980824545
337	210	198	0.9428571428571428
338	1444	1329	0.9203601108033241
339	1674	1523	0.9097968936678614
340	402	359	0.8930348258706468
341	1760	1715	0.9744318181818182
342	1471	1321	0.8980285520054385
343	2902	2759	0.950723638869745
344	11124	10983	0.9873247033441208
345	1151	1071	0.9304952215464813
346	2093	2002	0.9565217391304348
347	1161	1049	0.9035314384151594
348	3128	3040	0.9718670076726342
349	502	464	0.9243027888446215
350	1612	1424	0.8833746898263027
351	1872	1638	0.875
352	1434	1241	0.8654114365411436
353	811	703	0.8668310727496917
354	1338	1184	0.8849028400597907
355	1986	1808	0.9103726082578046
356	2105	1942	0.9225653206650831
357	1111	998	0.8982898289828983
358	469	415	0.8848614072494669
359	1854	1681	0.906688241639698
360	1563	1306	0.835572616762636
361	11131	10824	0.9724193693289013
362	2320	2085	0.8987068965517241
363	16863	16684	0.9893850441795647
364	1576	1484	0.9416243654822335
365	13639	13327	0.9771244226116285
366	2518	2211	0.8780778395552026
367	5383	5124	0.951885565669701
368	2427	2228	0.9180057684384013
369	10593	10100	0.9534598319645049
370	2867	2619	0.9134984304150681
371	1482	1293	0.8724696356275303
372	4680	4468	0.9547008547008548
373	1192	1056	0.8859060402684564
374	978	887	0.9069529652351738
375	4547	4336	0.9535957774356719
376	1652	1452	0.8789346246973365
377	1540	1402	0.9103896103896104
378	2081	1852	0.8899567515617491
379	213	201	0.9436619718309859
380	1457	1277	0.876458476321208
381	4668	4307	0.9226649528706083
382	3203	2931	0.915079612862941
383	34	23	0.6764705882352942
384	3506	3332	0.9503707929264119
385	5317	5191	0.9763024261801768
386	3372	3139	0.9309015421115066
387	9702	9459	0.9749536178107606
388	704	625	0.8877840909090909
389	3852	3697	0.9597611630321911
390	1227	1142	0.9307253463732681
391	7538	7356	0.9758556646325285
392	2078	1986	0.9557266602502407
393	3057	2872	0.9394831534183841
394	2482	2289	0.9222401289282837
395	2202	2142	0.9727520435967303
396	1757	1704	0.9698349459305634
397	665	561	0.843609022556391
398	943	745	0.7900318133616119
399	1383	1149	0.8308026030368764
400	1766	1543	0.8737259343148358
401	4993	4741	0.9495293410775085
402	5892	5134	0.8713509843856077
403	6326	5981	0.9454631678785963
404	2165	1931	0.8919168591224018
405	1113	877	0.7879604672057502
406	881	662	0.7514188422247446
407	894	603	0.674496644295302
408	10343	10071	0.973702020690322
409	1703	1356	0.7962419260129184
410	4249	3950	0.9296305012944223
411	1530	1218	0.796078431372549
412	4381	4036	0.9212508559689568
413	1085	847	0.7806451612903226
414	1341	1092	0.814317673378076
415	906	684	0.7549668874172185
416	2593	2341	0.9028152718858465
417	10022	9547	0.9526042706046697
418	1117	934	0.8361683079677709
419	2342	2142	0.9146029035012809
420	3862	3450	0.8933195235629208
421	1962	1634	0.8328236493374108
422	1926	1669	0.8665628245067497
423	3318	3193	0.9623267028330319
424	3689	3360	0.9108159392789373
425	2125	1754	0.8254117647058824
426	3287	3021	0.9190751445086706
427	1952	1685	0.8632172131147541
428	6683	6294	0.9417926081101302
429	6049	5859	0.9685898495619111
430	1126	900	0.7992895204262878
431	1219	1029	0.8441345365053322
432	1620	1425	0.8796296296296297
433	6336	6006	0.9479166666666666
434	4157	3935	0.9465961029588645
435	3740	3376	0.9026737967914439
436	3058	2761	0.9028776978417267
437	5965	5737	0.9617770326906957
438	3263	3025	0.927060986821943
439	1511	1192	0.7888815354070152
440	3418	3247	0.9499707431246343
441	391	376	0.9616368286445013
442	2214	1917	0.8658536585365854
443	314	287	0.9140127388535032
444	1645	1398	0.8498480243161094
445	2583	2220	0.859465737514518
446	3933	3709	0.9430460208492245
447	2868	2664	0.9288702928870293
448	2143	1784	0.8324778348110126
449	831	655	0.7882069795427196
450	670	500	0.746268656716418
451	830	614	0.7397590361445783
452	1690	1388	0.821301775147929
453	1782	1573	0.8827160493827161
454	3109	2751	0.8848504342232228
455	1230	939	0.7634146341463415
456	2919	2596	0.8893456663240836
457	3526	3153	0.8942144072603516
458	4033	3788	0.9392511777832879
459	1405	1298	0.9238434163701068
460	957	834	0.8714733542319749
461	1404	1309	0.9323361823361823
462	3074	2915	0.9482758620689655
463	4585	4464	0.9736095965103598
464	1323	1179	0.891156462585034
465	2337	2158	0.9234060761660248
466	4306	4136	0.9605202043660009
467	862	738	0.8561484918793504
468	2552	2444	0.957680250783699
469	3026	2847	0.940846001321877
470	1831	1666	0.9098853085745494
471	1566	1445	0.9227330779054917
472	1351	1299	0.9615099925980755
473	1608	1497	0.9309701492537313
474	2682	2396	0.8933631618195377
475	8095	7807	0.9644224830142063
476	2636	2436	0.9241274658573596
477	5045	4680	0.9276511397423192
478	1486	1387	0.933378196500673
479	5434	5025	0.9247331615752669
480	1529	1224	0.8005232177894048
481	6224	5840	0.9383033419023136
482	2380	2229	0.9365546218487395
483	4139	4008	0.968349842957236
484	11724	11511	0.9818321392016377
485	1233	1088	0.8824006488240065
486	6520	6126	0.9395705521472393
487	2368	2265	0.9565033783783784
488	7382	7158	0.9696559198049309
489	6832	6422	0.9399882903981265
490	6081	5794	0.95280381516198
491	4561	4255	0.9329094496820872
492	5032	4820	0.9578696343402225
493	3696	3444	0.9318181818181818
494	5403	5015	0.9281880436794373
495	6813	6682	0.9807720534272714
496	5942	5795	0.9752608549309997
497	4376	4126	0.9428702010968921
498	4966	4715	0.9494563028594443
499	3552	3431	0.9659346846846847
500	15149	14895	0.9832332167139746
501	4389	4093	0.9325586694007747
502	4596	4354	0.9473455178416014
503	1993	1808	0.907175112895133
504	1230	1149	0.9341463414634147
505	4260	4189	0.9833333333333333
506	4643	4354	0.9377557613611889
507	1855	1718	0.9261455525606469
508	1991	1798	0.9030637870416875
509	4216	4166	0.9881404174573055
510	528	431	0.8162878787878788
511	1951	1762	0.9031266017426961
512	925	765	0.827027027027027
513	1153	1031	0.8941890719861232
514	2517	2126	0.8446563369090186
515	1231	1182	0.9601949634443542
516	379	360	0.9498680738786279
517	619	599	0.9676898222940227
518	5360	5052	0.9425373134328359
519	59	53	0.8983050847457628
520	33	28	0.8484848484848485
521	138	130	0.9420289855072463
