enzyme	ecoli_measured	ecoli_report	bsubtilis_measured	bsubtilis_report	pputida_measured	pputida_report	max_ratio
AlfI	435.8	436	237.5	237	762.4	760	1.0
AloI	112.7	112	104.1	104	144.0	143	1.0
BaeI	171.7	171	115.5	116	177.0	175	1.0
BcgI	632.3	632	420.8	421	1087.4	1085	1.0
BplI	83.2	83	115.3	115	118.6	119	1.0
BsaXI	212.0	212	337.1	336	272.6	272	1.0
BslFI	577.2	576	783.8	784	689.9	690	1.0
Bsp24I	352.5	351	211.4	211	470.7	469	1.0
CjeI	1962.2	1910	996.3	983	2064.9	2012	1.0
CjePI	1712.1	1701	1469.5	1464	1665.2	1657	1.0
CspCI	132.1	132	65.5	65	142.0	142	1.0
FalI	158.3	158	457.8	457	208.8	209	1.0
HaeIV	1491.7	745	1514.8	755	841.2	420	2.0
Hin4I	1222.6	1650	1379.9	2010	838.7	1057	0.8
PpiI	73.5	73	73.8	74	137.5	137	1.0
PsrI	92.4	92	83.7	84	92.7	93	1.0
