arm	cov	n_surv	n_media	lm_win_med	det_frac_med	n_win_med
A_k16	0.500	17	17	14.072	0.185	554.000
A_k2	0.500	16	17	18.602	0.186	166.000
A_k4	0.500	16	17	18.127	0.185	245.000
A_k8	0.500	17	17	17.092	0.185	391.000
E_s104	0.500	11	17	17.481	0.175	437.000
E_s123	0.500	11	17	17.472	0.175	369.000
E_s184	0.500	11	17	17.339	0.173	248.000
E_s268	0.500	11	17	17.296	0.173	169.000
E_s30	0.500	5	17	17.524	0.175	1516.000
E_s60	0.500	9	17	17.509	0.175	758.000
A_k16	1.000	17	17	25.303	0.331	554.000
A_k2	1.000	15	17	33.355	0.333	166.000
A_k4	1.000	16	17	32.612	0.333	245.000
A_k8	1.000	17	17	30.678	0.333	391.000
E_s104	1.000	17	17	31.416	0.314	437.000
E_s123	1.000	17	17	31.469	0.315	369.000
E_s184	1.000	16	17	31.387	0.314	248.000
E_s268	1.000	17	17	31.485	0.315	169.000
E_s30	1.000	17	17	31.451	0.315	1516.000
E_s60	1.000	16	17	31.522	0.315	758.000
A_k16	2.000	17	17	41.762	0.546	554.000
A_k2	2.000	16	17	54.952	0.549	166.000
A_k4	2.000	17	17	53.865	0.549	245.000
A_k8	2.000	17	17	50.509	0.547	391.000
E_s104	2.000	16	17	52.327	0.524	437.000
E_s123	2.000	17	17	52.350	0.525	369.000
E_s184	2.000	16	17	52.206	0.522	248.000
E_s268	2.000	16	17	52.231	0.522	169.000
E_s30	2.000	17	17	52.225	0.522	1516.000
E_s60	2.000	15	17	52.311	0.523	758.000
A_k16	5.000	17	17	64.110	0.840	554.000
A_k2	5.000	17	17	84.343	0.843	166.000
A_k4	5.000	17	17	82.690	0.843	245.000
A_k8	5.000	17	17	77.864	0.844	391.000
E_s104	5.000	17	17	82.359	0.824	437.000
E_s123	5.000	17	17	82.211	0.823	369.000
E_s184	5.000	17	17	82.315	0.823	248.000
E_s268	5.000	17	17	82.243	0.822	169.000
E_s30	5.000	17	17	82.500	0.825	1516.000
E_s60	5.000	16	17	82.558	0.826	758.000
A_k16	10.000	17	17	73.547	0.964	554.000
A_k2	10.000	17	17	96.584	0.965	166.000
A_k4	10.000	17	17	94.718	0.966	245.000
A_k8	10.000	17	17	89.118	0.965	391.000
E_s104	10.000	17	17	95.341	0.954	437.000
E_s123	10.000	17	17	95.295	0.954	369.000
E_s184	10.000	17	17	95.500	0.955	248.000
E_s268	10.000	17	17	95.728	0.957	169.000
E_s30	10.000	17	17	95.423	0.954	1516.000
E_s60	10.000	17	17	95.464	0.955	758.000
