arm	medium	cov	surv	lm_win	det_frac	n_win
A_k16	M10	0.5000	True	14.1877	0.1855	554
A_k16	M10	10.0000	True	74.0162	0.9704	554
A_k16	M10	1.0000	True	25.2726	0.3303	554
A_k16	M10	2.0000	True	41.7148	0.5465	554
A_k16	M10	5.0000	True	64.5181	0.8488	554
A_k16	M12	0.5000	True	13.8159	0.1790	554
A_k16	M12	10.0000	True	71.0776	0.9320	554
A_k16	M12	1.0000	True	24.5884	0.3217	554
A_k16	M12	2.0000	True	40.3574	0.5225	554
A_k16	M12	5.0000	True	61.7870	0.8087	554
A_k16	M13	0.5000	True	14.2274	0.1868	554
A_k16	M13	10.0000	True	74.1354	0.9731	554
A_k16	M13	1.0000	True	25.6625	0.3359	554
A_k16	M13	2.0000	True	41.5957	0.5452	554
A_k16	M13	5.0000	True	65.2906	0.8537	554
A_k16	M17	0.5000	True	14.0542	0.1854	554
A_k16	M17	10.0000	True	71.8412	0.9413	554
A_k16	M17	1.0000	True	24.5217	0.3200	554
A_k16	M17	2.0000	True	41.0668	0.5375	554
A_k16	M17	5.0000	True	62.3177	0.8172	554
A_k16	M18	0.5000	True	14.4856	0.1882	554
A_k16	M18	10.0000	True	74.0000	0.9687	554
A_k16	M18	1.0000	True	25.4206	0.3325	554
A_k16	M18	2.0000	True	42.0126	0.5529	554
A_k16	M18	5.0000	True	65.1986	0.8554	554
A_k16	M19	0.5000	True	13.2347	0.1734	554
A_k16	M19	10.0000	True	70.2635	0.9199	554
A_k16	M19	1.0000	True	23.5776	0.3058	554
A_k16	M19	2.0000	True	37.9639	0.4974	554
A_k16	M19	5.0000	True	58.8773	0.7695	554
A_k16	M1	0.5000	True	13.6913	0.1797	554
A_k16	M1	10.0000	True	72.4982	0.9501	554
A_k16	M1	1.0000	True	24.6408	0.3216	554
A_k16	M1	2.0000	True	40.6841	0.5333	554
A_k16	M1	5.0000	True	62.5866	0.8211	554
A_k16	M22	0.5000	True	14.3682	0.1865	554
A_k16	M22	10.0000	True	72.9585	0.9567	554
A_k16	M22	1.0000	True	25.3032	0.3309	554
A_k16	M22	2.0000	True	41.7617	0.5473	554
A_k16	M22	5.0000	True	64.1047	0.8379	554
A_k16	M23	0.5000	True	14.2112	0.1860	554
A_k16	M23	10.0000	True	74.3971	0.9758	554
A_k16	M23	1.0000	True	25.6787	0.3356	554
A_k16	M23	2.0000	True	42.4567	0.5573	554
A_k16	M23	5.0000	True	65.9170	0.8631	554
A_k16	M24	0.5000	True	13.9061	0.1828	554
A_k16	M24	10.0000	True	74.3105	0.9744	554
A_k16	M24	1.0000	True	25.5487	0.3373	554
A_k16	M24	2.0000	True	42.2058	0.5523	554
A_k16	M24	5.0000	True	65.8430	0.8626	554
A_k16	M25	0.5000	True	14.0722	0.1834	554
A_k16	M25	10.0000	True	73.6534	0.9662	554
A_k16	M25	1.0000	True	25.4711	0.3317	554
A_k16	M25	2.0000	True	42.0523	0.5494	554
A_k16	M25	5.0000	True	64.7004	0.8495	554
A_k16	M27	0.5000	True	14.2527	0.1890	554
A_k16	M27	10.0000	True	74.5217	0.9773	554
A_k16	M27	1.0000	True	25.8231	0.3378	554
A_k16	M27	2.0000	True	41.9729	0.5505	554
A_k16	M27	5.0000	True	65.9711	0.8649	554
A_k16	M2	0.5000	True	13.6083	0.1763	554
A_k16	M2	10.0000	True	67.9043	0.8903	554
A_k16	M2	1.0000	True	24.3412	0.3180	554
A_k16	M2	2.0000	True	37.8610	0.4944	554
A_k16	M2	5.0000	True	57.5451	0.7528	554
A_k16	M3	0.5000	True	14.1408	0.1849	554
A_k16	M3	10.0000	True	73.5469	0.9637	554
A_k16	M3	1.0000	True	24.8556	0.3294	554
A_k16	M3	2.0000	True	41.8412	0.5504	554
A_k16	M3	5.0000	True	64.0126	0.8402	554
A_k16	M4	0.5000	True	13.8755	0.1842	554
A_k16	M4	10.0000	True	69.6173	0.9106	554
A_k16	M4	1.0000	True	25.2527	0.3303	554
A_k16	M4	2.0000	True	39.2978	0.5096	554
A_k16	M4	5.0000	True	59.8574	0.7840	554
A_k16	M6	0.5000	True	14.0253	0.1847	554
A_k16	M6	10.0000	True	73.6227	0.9652	554
A_k16	M6	1.0000	True	25.4567	0.3345	554
A_k16	M6	2.0000	True	41.8773	0.5506	554
A_k16	M6	5.0000	True	64.4458	0.8451	554
A_k16	RUN_OUT	0.5000	True	14.2365	0.1832	554
A_k16	RUN_OUT	10.0000	True	72.1354	0.9453	554
A_k16	RUN_OUT	1.0000	True	25.8809	0.3391	554
A_k16	RUN_OUT	2.0000	True	41.8845	0.5458	554
A_k16	RUN_OUT	5.0000	True	64.1101	0.8392	554
A_k2	M10	0.5000	True	18.8675	0.1885	166
A_k2	M10	10.0000	True	97.2410	0.9716	166
A_k2	M10	1.0000	True	33.3554	0.3333	166
A_k2	M10	2.0000	True	54.9518	0.5490	166
A_k2	M10	5.0000	True	84.3434	0.8427	166
A_k2	M12	0.5000	True	18.4699	0.1846	166
A_k2	M12	10.0000	True	93.3795	0.9330	166
A_k2	M12	1.0000	True	32.4337	0.3241	166
A_k2	M12	2.0000	True	53.1988	0.5315	166
A_k2	M12	5.0000	True	81.2229	0.8115	166
A_k2	M13	0.5000	True	18.6566	0.1864	166
A_k2	M13	10.0000	True	97.5060	0.9743	166
A_k2	M13	1.0000	True	33.7831	0.3375	166
A_k2	M13	2.0000	True	55.1807	0.5513	166
A_k2	M13	5.0000	True	85.7831	0.8571	166
A_k2	M17	0.5000	True	18.8494	0.1884	166
A_k2	M17	10.0000	True	94.3434	0.9426	166
A_k2	M17	1.0000	False	32.1265	0.3210	166
A_k2	M17	2.0000	True	54.5723	0.5453	166
A_k2	M17	5.0000	True	82.3675	0.8230	166
A_k2	M18	0.5000	True	18.6024	0.1859	166
A_k2	M18	10.0000	True	97.2530	0.9718	166
A_k2	M18	1.0000	True	33.8072	0.3377	166
A_k2	M18	2.0000	True	55.1747	0.5513	166
A_k2	M18	5.0000	True	85.8313	0.8576	166
A_k2	M19	0.5000	True	17.2108	0.1720	166
A_k2	M19	10.0000	True	92.4217	0.9235	166
A_k2	M19	1.0000	True	31.4458	0.3142	166
A_k2	M19	2.0000	True	50.0422	0.5000	166
A_k2	M19	5.0000	True	77.5602	0.7749	166
A_k2	M1	0.5000	True	18.3554	0.1834	166
A_k2	M1	10.0000	True	94.9578	0.9488	166
A_k2	M1	1.0000	True	32.1506	0.3213	166
A_k2	M1	2.0000	True	53.5542	0.5351	166
A_k2	M1	5.0000	True	82.4036	0.8233	166
A_k2	M22	0.5000	True	18.8855	0.1887	166
A_k2	M22	10.0000	True	95.9277	0.9585	166
A_k2	M22	1.0000	True	33.3193	0.3329	166
A_k2	M22	2.0000	True	54.8675	0.5482	166
A_k2	M22	5.0000	True	84.3554	0.8428	166
A_k2	M23	0.5000	True	18.6265	0.1861	166
A_k2	M23	10.0000	True	97.8253	0.9775	166
A_k2	M23	1.0000	True	33.3855	0.3336	166
A_k2	M23	2.0000	True	56.2711	0.5623	166
A_k2	M23	5.0000	True	86.3916	0.8632	166
A_k2	M24	0.5000	True	18.1988	0.1819	166
A_k2	M24	10.0000	True	97.5241	0.9745	166
A_k2	M24	1.0000	True	33.5181	0.3348	166
A_k2	M24	2.0000	True	55.9458	0.5590	166
A_k2	M24	5.0000	True	86.6265	0.8655	166
A_k2	M25	0.5000	True	18.4458	0.1843	166
A_k2	M25	10.0000	True	96.7530	0.9668	166
A_k2	M25	1.0000	True	34.1446	0.3412	166
A_k2	M25	2.0000	True	55.8675	0.5582	166
A_k2	M25	5.0000	True	85.4096	0.8534	166
A_k2	M27	0.5000	False	18.8012	0.1878	166
A_k2	M27	10.0000	True	97.8313	0.9775	166
