genome	gc	mode	ptr	rep	depth	log2ptr	note	out
g00_Buchnera_aphidicola_Y	26.0900	A_k16	0.5000	1	0.5000	0.4631	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr0.5__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	0.5000	1	1.0000	0.4163	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr0.5__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	0.5000	1	2.0000	0.3717	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr0.5__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	0.5000	1	5.0000	0.5482	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr0.5__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	0.5000	2	0.5000	0.0419	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr0.5__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	0.5000	2	1.0000	0.3212	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr0.5__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	0.5000	2	2.0000	0.3336	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr0.5__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	0.5000	2	5.0000	0.4671	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr0.5__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.0000	1	0.5000	1.0219	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.0__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.0000	1	1.0000	0.5477	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.0__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.0000	1	2.0000	0.8743	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.0__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.0000	1	5.0000	0.9715	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.0__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.0000	2	0.5000	0.2346	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.0__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.0000	2	1.0000	1.1131	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.0__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.0000	2	2.0000	0.5043	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.0__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.0000	2	5.0000	0.9517	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.0__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.5000	1	0.5000	1.0155	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.5__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.5000	1	1.0000	0.5435	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.5__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.5000	1	2.0000	1.4195	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.5__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.5000	1	5.0000	1.4245	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.5__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.5000	2	0.5000	0.3913	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.5__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.5000	2	1.0000	1.2944	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.5__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.5000	2	2.0000	1.3111	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.5__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	1.5000	2	5.0000	1.4293	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr1.5__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	2.0000	1	0.5000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr2.0__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	2.0000	1	1.0000	1.6666	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr2.0__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	2.0000	1	2.0000	1.6908	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr2.0__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	2.0000	1	5.0000	1.7962	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr2.0__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	2.0000	2	0.5000	1.0113	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr2.0__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	2.0000	2	1.0000	1.5098	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr2.0__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	2.0000	2	2.0000	1.5320	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr2.0__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k16	2.0000	2	5.0000	1.8269	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k16__g00_Buchnera_aphidicola_Y__ptr2.0__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	1	0.5000	0.2456	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	1	1.0000	0.8371	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	1	2.0000	0.4359	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	1	5.0000	0.3780	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	2	0.5000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	2	1.0000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	2	2.0000	0.1929	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r2__2.0x
