genome	gc	arm	cond	ptr	rep	depth	log2ptr	coverage	note
g06_Bacillus_subtilis	43.5000	enzyme	complete	0.5000	1	1.0000	0.3643	0.8530	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	0.5000	1	5.0000	0.4957	4.0834	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	0.5000	2	1.0000	0.3927	0.8266	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	0.5000	2	5.0000	0.4999	4.1121	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	1.0000	1	1.0000	0.8616	0.8450	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	1.0000	1	5.0000	0.9737	4.0726	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	1.0000	2	1.0000	0.8340	0.8443	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	1.0000	2	5.0000	1.0102	4.0574	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	2.0000	1	1.0000	1.7001	0.8771	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	2.0000	1	5.0000	1.9721	4.0296	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	2.0000	2	1.0000	1.7145	0.8448	ok
g06_Bacillus_subtilis	43.5000	enzyme	complete	2.0000	2	5.0000	2.0103	4.0395	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	0.5000	1	1.0000	0.3283	0.8042	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	0.5000	1	5.0000	0.5137	3.9954	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	0.5000	2	1.0000	0.4272	0.7933	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	0.5000	2	5.0000	0.5064	3.9757	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	1.0000	1	1.0000	0.8163	0.7794	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	1.0000	1	5.0000	1.0195	4.0051	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	1.0000	2	1.0000	0.8940	0.7931	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	1.0000	2	5.0000	1.0286	4.0042	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	2.0000	1	1.0000	1.7553	0.8126	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	2.0000	1	5.0000	1.9856	3.9849	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	2.0000	2	1.0000	1.8723	0.7781	ok
g06_Bacillus_subtilis	43.5000	sketch	complete	2.0000	2	5.0000	1.9910	3.9834	ok
g06_Bacillus_subtilis	43.5000	enzyme	frag	0.5000	1	1.0000	0.1359	1.0283	ok
g06_Bacillus_subtilis	43.5000	enzyme	frag	0.5000	1	5.0000	0.1797	4.1029	ok
g06_Bacillus_subtilis	43.5000	enzyme	frag	0.5000	2	1.0000	0.1978	0.9319	ok
g06_Bacillus_subtilis	43.5000	enzyme	frag	0.5000	2	5.0000	0.1633	4.1075	ok
