cond	medium	cov	log2ptr	passed	growth_rate	pred_log2ptr
complete	M10	0.5000	0.9227	False	1.1500	1.2108
complete	M10	10.0000	1.2245	True	1.1500	1.2108
complete	M10	1.0000	1.0603	False	1.1500	1.2108
complete	M10	2.0000	1.1368	True	1.1500	1.2108
complete	M10	5.0000	1.1907	True	1.1500	1.2108
complete	M12	0.5000	1.1055	False	1.0220	1.1568
complete	M12	10.0000	1.2789	False	1.0220	1.1568
complete	M12	1.0000	1.0063	False	1.0220	1.1568
complete	M12	2.0000	1.1663	False	1.0220	1.1568
complete	M12	5.0000	1.1908	True	1.0220	1.1568
complete	M13	0.5000	0.8122	False	0.8612	1.0326
complete	M13	10.0000	1.0485	True	0.8612	1.0326
complete	M13	1.0000	0.8917	False	0.8612	1.0326
complete	M13	2.0000	0.9118	False	0.8612	1.0326
complete	M13	5.0000	1.0033	True	0.8612	1.0326
complete	M17	0.5000	0.4706	False	0.7440	0.7020
complete	M17	10.0000	0.7539	True	0.7440	0.7020
complete	M17	1.0000	0.7407	False	0.7440	0.7020
complete	M17	2.0000	0.6585	False	0.7440	0.7020
complete	M17	5.0000	0.6780	True	0.7440	0.7020
complete	M18	0.5000	0.7964	False	0.7413	0.8578
complete	M18	10.0000	0.8680	True	0.7413	0.8578
complete	M18	1.0000	0.7423	False	0.7413	0.8578
complete	M18	2.0000	0.8801	False	0.7413	0.8578
complete	M18	5.0000	0.8862	False	0.7413	0.8578
complete	M19	0.5000	0.5749	False	0.5776	0.8862
complete	M19	10.0000	0.8912	True	0.5776	0.8862
complete	M19	1.0000	0.7082	False	0.5776	0.8862
complete	M19	2.0000	0.5997	False	0.5776	0.8862
complete	M19	5.0000	0.8931	True	0.5776	0.8862
complete	M1	0.5000	1.3177	False	1.7207	1.7250
complete	M1	10.0000	1.7976	True	1.7207	1.7250
complete	M1	1.0000	1.5876	False	1.7207	1.7250
complete	M1	2.0000	1.6876	True	1.7207	1.7250
complete	M1	5.0000	1.7850	True	1.7207	1.7250
