cond	medium	cov	log2ptr	spread_se	Q	n_enzymes
spread_complete	M10	0.5000	0.0000	0.0001	1241.1757	16
spread_complete	M10	10.0000	1.2666	0.0116	37.2932	16
spread_complete	M10	1.0000	0.0000	0.0001	2578.5419	16
spread_complete	M10	2.0000	1.3216	0.0193	2580.2749	16
spread_complete	M10	5.0000	1.2160	0.0138	48.4226	16
spread_complete	M12	0.5000	0.0000	0.0001	1664.8006	16
spread_complete	M12	10.0000	1.6281	0.0143	379.4354	16
spread_complete	M12	1.0000	0.0000	0.0001	5691.7488	16
spread_complete	M12	2.0000	1.4418	0.0204	2455.6829	16
spread_complete	M12	5.0000	1.4003	0.0174	116.1863	16
spread_complete	M13	0.5000	0.0000	0.0001	1268.7416	16
spread_complete	M13	10.0000	1.6539	0.0171	601.4002	16
spread_complete	M13	1.0000	0.0000	0.0001	3916.8215	16
spread_complete	M13	2.0000	1.3200	0.0209	4519.7492	16
spread_complete	M13	5.0000	1.3096	0.0187	173.9965	16
spread_complete	M17	0.5000	0.0000	0.0001	93.2757	16
spread_complete	M17	10.0000	1.0185	0.0145	222.5134	16
spread_complete	M17	1.0000	0.0000	0.0001	10155.9133	16
spread_complete	M17	2.0000	1.0319	0.0181	3712.9652	16
spread_complete	M17	5.0000	0.9078	0.0151	153.9759	16
spread_complete	M18	0.5000	0.0000	0.0001	5351.7969	16
spread_complete	M18	10.0000	0.8623	0.0104	38.3225	16
spread_complete	M18	1.0000	1.1631	0.0269	1640.8740	16
spread_complete	M18	2.0000	1.1257	0.0176	5203.6457	16
spread_complete	M18	5.0000	0.8882	0.0116	110.8428	16
spread_complete	M19	0.5000	0.0000	0.0000	4814.4684	16
spread_complete	M19	10.0000	1.2335	0.0178	58.4916	16
spread_complete	M19	1.0000	0.0000	0.0001	29309.3133	16
spread_complete	M19	2.0000	2.4818	0.0294	5251.3119	16
spread_complete	M19	5.0000	0.0001	0.0001	3743.1094	16
spread_complete	M1	0.5000	0.0000	0.0001	583.0573	16
spread_complete	M1	10.0000	1.8253	0.0134	31.0157	16
spread_complete	M1	1.0000	2.3798	0.0299	5934.2491	16
spread_complete	M1	2.0000	1.8580	0.0211	1522.3937	16
spread_complete	M1	5.0000	1.8145	0.0161	27.9010	16
spread_complete	M22	0.5000	0.0000	0.0001	255.1470	16
spread_complete	M22	10.0000	0.8639	0.0118	156.5763	16
spread_complete	M22	1.0000	0.0000	0.0002	2611.0224	16
spread_complete	M22	2.0000	0.8478	0.0170	2290.3124	16
spread_complete	M22	5.0000	0.7362	0.0125	112.8692	16
spread_complete	M23	0.5000	0.6989	0.0468	65.1491	16
spread_complete	M23	10.0000	0.5944	0.0086	32.1794	16
spread_complete	M23	1.0000	0.0000	0.0001	2186.7399	16
spread_complete	M23	2.0000	0.7672	0.0170	1589.2432	16
spread_complete	M23	5.0000	0.6302	0.0114	44.5679	16
spread_complete	M24	0.5000	0.5510	0.0531	105.9193	16
spread_complete	M24	10.0000	0.6638	0.0086	33.1313	16
spread_complete	M24	1.0000	0.0000	0.0001	2340.8006	16
spread_complete	M24	2.0000	0.7147	0.0163	63.8219	16
spread_complete	M24	5.0000	0.7100	0.0111	21.5497	16
spread_complete	M25	0.5000	0.0000	0.0001	1250.1170	16
spread_complete	M25	10.0000	0.7129	0.0107	112.1532	16
spread_complete	M25	1.0000	0.0000	0.0001	3310.8184	16
spread_complete	M25	2.0000	0.7141	0.0161	1468.8689	16
spread_complete	M25	5.0000	0.6428	0.0114	50.5956	16
spread_complete	M27	0.5000	0.0000	0.0001	1805.7240	16
spread_complete	M27	10.0000	0.5983	0.0104	65.5372	16
spread_complete	M27	1.0000	0.0000	0.0001	2959.3178	16
spread_complete	M27	2.0000	0.6230	0.0159	2535.7600	16
spread_complete	M27	5.0000	0.5279	0.0105	67.3888	16
spread_complete	M2	0.5000	0.0000	0.0001	1679.5658	16
spread_complete	M2	10.0000	2.4108	0.0172	338.5025	16
spread_complete	M2	1.0000	2.4300	0.0300	7227.8832	16
spread_complete	M2	2.0000	1.8504	0.0235	2397.7491	16
spread_complete	M2	5.0000	2.0719	0.0204	354.1346	16
spread_complete	M3	0.5000	0.0000	0.0001	375.3583	16
spread_complete	M3	10.0000	1.5170	0.0112	43.6862	16
spread_complete	M3	1.0000	0.0000	0.0001	1689.7675	16
spread_complete	M3	2.0000	1.5151	0.0195	112.3289	16
spread_complete	M3	5.0000	1.5610	0.0142	77.1254	16
spread_complete	M4	0.5000	0.0000	0.0001	198.1536	16
spread_complete	M4	10.0000	1.9379	0.0172	285.7192	16
spread_complete	M4	1.0000	0.0000	0.0001	14374.9184	16
spread_complete	M4	2.0000	1.5655	0.0207	2613.5087	16
spread_complete	M4	5.0000	1.7607	0.0196	156.4105	16
spread_complete	M6	0.5000	0.0000	0.0001	447.1574	16
spread_complete	M6	10.0000	1.2921	0.0113	16.9488	16
spread_complete	M6	1.0000	0.0000	0.0001	5935.5811	16
spread_complete	M6	2.0000	1.7214	0.0203	6273.6912	16
spread_complete	M6	5.0000	1.3174	0.0136	28.6718	16
spread_complete	RUN_OUT	0.5000	0.0000	0.0001	1794.4488	16
spread_complete	RUN_OUT	10.0000	0.4544	0.0097	557.7381	16
spread_complete	RUN_OUT	1.0000	0.0000	0.0001	6666.8342	16
spread_complete	RUN_OUT	2.0000	0.2759	0.0148	154.9919	16
spread_complete	RUN_OUT	5.0000	0.2886	0.0102	229.0913	16
spread_frag	M10	0.5000	0.0000	0.0001	156.5396	16
spread_frag	M10	10.0000	1.2232	0.0103	68.9751	16
spread_frag	M10	1.0000	0.0000	0.0001	3427.1556	16
spread_frag	M10	2.0000	0.0001	0.0001	5789.5605	16
spread_frag	M10	5.0000	1.1676	0.0120	87.7390	16
spread_frag	M12	0.5000	0.0000	0.0001	747.5590	16
spread_frag	M12	10.0000	1.4398	0.0128	317.6114	16
spread_frag	M12	1.0000	0.0000	0.0000	1837.0713	16
spread_frag	M12	2.0000	0.0001	0.0001	5673.8987	16
spread_frag	M12	5.0000	1.3117	0.0137	127.1004	16
spread_frag	M13	0.5000	0.0000	0.0001	269.2442	16
spread_frag	M13	10.0000	1.4370	0.0131	606.6970	16
spread_frag	M13	1.0000	0.0000	0.0001	1953.0948	16
spread_frag	M13	2.0000	1.1968	0.0185	1489.5704	16
spread_frag	M13	5.0000	1.3137	0.0146	190.0031	16
spread_frag	M17	0.5000	0.0000	0.0001	289.7990	16
spread_frag	M17	10.0000	0.9922	0.0115	331.2230	16
spread_frag	M17	1.0000	0.0000	0.0001	7175.1004	16
spread_frag	M17	2.0000	0.0000	0.0001	4200.7659	16
spread_frag	M17	5.0000	0.8539	0.0134	233.0338	16
spread_frag	M18	0.5000	0.0000	0.0001	12.4443	16
spread_frag	M18	10.0000	0.8556	0.0087	67.6733	16
spread_frag	M18	1.0000	0.0000	0.0001	2914.5905	16
spread_frag	M18	2.0000	0.0000	0.0001	2940.5240	16
spread_frag	M18	5.0000	0.8690	0.0104	138.6114	16
spread_frag	M19	0.5000	0.0000	0.0001	5504.3596	16
spread_frag	M19	10.0000	1.2972	0.0144	91.4493	16
spread_frag	M19	1.0000	0.0000	0.0000	12327.4808	16
spread_frag	M19	2.0000	0.0002	0.0003	19069.3635	16
spread_frag	M19	5.0000	1.0935	0.0145	72.5874	16
spread_frag	M1	0.5000	0.0000	0.0001	245.1004	16
spread_frag	M1	10.0000	1.7756	0.0111	68.6958	16
spread_frag	M1	1.0000	0.0000	0.0001	2419.9071	16
spread_frag	M1	2.0000	1.7575	0.0190	1401.9551	16
spread_frag	M1	5.0000	1.7291	0.0138	56.5342	16
spread_frag	M22	0.5000	0.0000	0.0001	128.8005	16
spread_frag	M22	10.0000	0.8362	0.0096	187.5620	16
spread_frag	M22	1.0000	0.0000	0.0001	2943.0849	16
spread_frag	M22	2.0000	0.0000	0.0001	3132.8831	16
spread_frag	M22	5.0000	0.7294	0.0111	265.4790	16
spread_frag	M23	0.5000	0.0000	0.0001	187.1038	16
spread_frag	M23	10.0000	0.5798	0.0076	43.7692	16
spread_frag	M23	1.0000	0.0000	0.0001	3601.1048	16
spread_frag	M23	2.0000	0.0000	0.0001	2190.2350	16
spread_frag	M23	5.0000	0.6084	0.0099	105.5229	16
spread_frag	M24	0.5000	0.0000	0.0001	321.4738	16
spread_frag	M24	10.0000	0.6714	0.0077	46.6284	16
spread_frag	M24	1.0000	1.0956	0.0290	1691.1387	16
spread_frag	M24	2.0000	0.0001	0.0002	2678.8749	15
spread_frag	M24	5.0000	0.7002	0.0099	72.9342	16
spread_frag	M25	0.5000	0.0000	0.0001	1226.3709	16
spread_frag	M25	10.0000	0.7125	0.0089	149.1815	16
spread_frag	M25	1.0000	0.0000	0.0001	1837.1423	16
spread_frag	M25	2.0000	0.0000	0.0001	4660.1053	16
spread_frag	M25	5.0000	0.6372	0.0101	81.7613	16
spread_frag	M27	0.5000	0.0000	0.0001	319.4811	16
spread_frag	M27	10.0000	0.6221	0.0088	192.7031	16
spread_frag	M27	1.0000	0.0000	0.0001	1616.5559	16
spread_frag	M27	2.0000	0.8142	0.0164	1908.4433	16
spread_frag	M27	5.0000	0.5567	0.0097	114.3403	16
spread_frag	M2	0.5000	0.0000	0.0001	1821.3540	16
spread_frag	M2	10.0000	2.1777	0.0149	534.0067	16
spread_frag	M2	1.0000	0.0000	0.0001	6527.0760	16
spread_frag	M2	2.0000	0.0001	0.0001	19083.4145	16
spread_frag	M2	5.0000	2.0628	0.0166	1058.4912	16
spread_frag	M3	0.5000	0.8301	0.0472	280.8122	16
spread_frag	M3	10.0000	1.4798	0.0102	47.3793	16
spread_frag	M3	1.0000	0.0000	0.0001	1012.5428	16
spread_frag	M3	2.0000	0.0001	0.0001	8999.0056	16
spread_frag	M3	5.0000	1.4931	0.0124	108.8533	16
spread_frag	M4	0.5000	0.0000	0.0001	613.9703	16
spread_frag	M4	10.0000	1.7551	0.0131	226.0650	16
spread_frag	M4	1.0000	0.0000	0.0002	5865.9722	16
spread_frag	M4	2.0000	1.5668	0.0193	1352.3813	16
spread_frag	M4	5.0000	1.6191	0.0157	335.4569	16
spread_frag	M6	0.5000	0.0000	0.0001	391.7288	16
spread_frag	M6	10.0000	1.2613	0.0096	36.6826	16
spread_frag	M6	1.0000	0.0000	0.0001	1177.0890	16
spread_frag	M6	2.0000	0.0000	0.0001	5537.6495	16
spread_frag	M6	5.0000	1.2640	0.0116	49.6586	16
spread_frag	RUN_OUT	0.5000	0.0000	0.0001	140.3465	16
spread_frag	RUN_OUT	10.0000	0.4575	0.0084	632.3093	16
spread_frag	RUN_OUT	1.0000	0.0000	0.0001	4600.3209	16
spread_frag	RUN_OUT	2.0000	0.0000	0.0001	544.3731	16
spread_frag	RUN_OUT	5.0000	0.3834	0.0099	364.5800	16
spread_scafRel	M10	0.5000	0.0000	0.0001	276.1851	16
spread_scafRel	M10	10.0000	1.2828	0.0120	54.5270	16
spread_scafRel	M10	1.0000	0.0000	0.0001	5254.8479	16
spread_scafRel	M10	2.0000	1.2775	0.0196	1014.9818	16
spread_scafRel	M10	5.0000	1.2372	0.0143	43.3844	16
spread_scafRel	M12	0.5000	0.0000	0.0001	1352.3145	16
spread_scafRel	M12	10.0000	1.6504	0.0161	321.2937	16
spread_scafRel	M12	1.0000	0.0000	0.0001	6798.5721	16
spread_scafRel	M12	2.0000	1.3553	0.0203	1821.3702	16
spread_scafRel	M12	5.0000	1.4870	0.0189	142.7311	16
spread_scafRel	M13	0.5000	0.0000	0.0001	1499.3515	16
spread_scafRel	M13	10.0000	1.6984	0.0174	560.0135	16
spread_scafRel	M13	1.0000	0.0000	0.0001	3285.4808	16
spread_scafRel	M13	2.0000	1.4185	0.0218	4553.1798	16
spread_scafRel	M13	5.0000	1.3646	0.0191	223.5319	16
spread_scafRel	M17	0.5000	0.0000	0.0001	1414.7189	16
