srr	medium	cov	sample	genome_id	genome	enzyme	log2_ptr	ptr	se	method	n_windows	n_windows_used	ori	ori_confidence	r2	reduced_chi2	segmented	kink	ok	note	mean_rate	mean_detected_fraction	mean_dispersion	n_anchors
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	AlfI	0.278208	1.21269	0.324378	v_shape	22	22	4.16717e+06	0.984812	-0.0240108	0.622128	False		True		0.524117	0.323032	0.22236	1752
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	AloI	0.302723	1.23347	0.622405	v_shape	15	15	4.16717e+06	0.984812	-0.288343	0.48102	False		True		0.493973	0.311167	0.22576	366
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	BaeI	0.717806	1.64468	0.537212	v_shape	21	21	4.16717e+06	0.984812	-0.191418	0.875986	False		True		0.577869	0.349695	0.26259	639
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	BcgI	0.895024	1.85964	0.289041	v_shape	27	27	4.16717e+06	0.984812	0.244386	0.690802	False		True		0.503534	0.31928	0.221074	2672
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	BplI	0.74993	1.68171	0.794242	v_shape	11	11	4.16717e+06	0.984812	-0.224543	1.03943	False		True		0.681601	0.358119	0.321624	279
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	BsaXI	0.72539	1.65335	0.41614	v_shape	25	25	4.16717e+06	0.984812	-0.0947703	0.731527	False		True		0.585831	0.323684	0.253178	932
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	BslFI	1.4989	2.82626	0.370282	v_shape	23	23	4.16717e+06	0.984812	0.355797	1.13625	False		True		0.535658	0.312045	0.258894	2301
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	Bsp24I	1.18177	2.26855	0.446034	v_shape	24	24	4.16717e+06	0.984812	0.00728256	1.01533	False		True		0.493924	0.336878	0.221085	1524
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	CjeI	1.12085	2.17476	0.208408	v_shape	83	83	4.16717e+06	0.984812	0.168188	1.2357	False		True		0.529623	0.32434	0.231882	8297
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	CjePI	0.838826	1.78859	0.210216	v_shape	75	75	4.16717e+06	0.984812	0.0625467	1.17177	False		True		0.51379	0.31692	0.233603	7516
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	CspCI	0.0236313	1.01651	0.670656	v_shape	14	14	4.16717e+06	0.984812	-0.24666	0.469599	False		True		0.609666	0.302857	0.217039	350
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	FalI	0.586326	1.50142	0.404356	v_shape	22	22	4.16717e+06	0.984812	-0.145009	0.387828	False		True		0.547297	0.325433	0.257954	603
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	HaeIV	1.16832	2.2475	0.284425	v_shape	60	60	4.16717e+06	0.984812	0.0224504	1.66593	False		True		0.52983	0.308179	0.209035	6035
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	Hin4I	1.36417	2.57428	0.240842	v_shape	53	53	4.16717e+06	0.984812	0.228944	0.998404	False		True		0.513102	0.308157	0.227057	5330
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	PpiI	0.65668	1.57645	0.590681	v_shape	13	13	4.16717e+06	0.984812	-0.0183254	0.656545	False		True		0.630897	0.348974	0.28073	336
SRR11558945	M6	0.5	SRR11558945.0.5x	0	Escherichia_coli_K12	PsrI	0.109494	1.07885	0.454566	v_shape	12	12	4.16717e+06	0.984812	-0.0354452	0.219574	False		True		0.593786	0.313333	0.280953	300
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	AlfI	-0.387433	0.764488	0.315473	v_shape	22	22	3.91833e+06	0.977239	-0.040726	0.483727	False		True		0.499471	0.29461	0.234333	1752
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	AloI	0.92113	1.8936	0.705863	v_shape	17	17	3.91833e+06	0.977239	-0.269313	0.964582	False		True		0.504459	0.370294	0.166652	416
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	BaeI	-0.213674	0.862338	0.398622	v_shape	17	17	3.91833e+06	0.977239	-0.0607187	0.246311	False		True		0.509119	0.309201	0.215457	519
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	BcgI	0.705392	1.63059	0.296916	v_shape	28	28	3.91833e+06	0.977239	0.0661559	0.93809	False		True		0.50729	0.311706	0.242284	2772
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	BplI	1.98311	3.95345	0.848256	v_shape	12	12	3.91833e+06	0.977239	0.194918	0.947476	False		True		0.731485	0.375862	0.281451	304
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	BsaXI	0.97725	1.96871	0.479274	v_shape	26	26	3.91833e+06	0.977239	-0.00176416	0.663035	False		True		0.482446	0.308198	0.222714	970
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	BslFI	0.911158	1.88055	0.331322	v_shape	24	24	3.91833e+06	0.977239	0.2172	0.928503	False		True		0.565924	0.309406	0.253558	2401
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	Bsp24I	1.22969	2.34516	0.401614	v_shape	23	23	3.91833e+06	0.977239	0.237263	0.904831	False		True		0.552655	0.304486	0.221813	1461
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	CjeI	1.21869	2.32735	0.190178	v_shape	86	86	3.91833e+06	0.977239	0.236407	1.08909	False		True		0.512068	0.313047	0.237124	8597
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	CjePI	0.830359	1.77813	0.220552	v_shape	71	71	3.91833e+06	0.977239	0.0276744	1.38665	False		True		0.533744	0.313191	0.225503	7116
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	CspCI	1.07224	2.1027	0.516715	v_shape	18	18	3.91833e+06	0.977239	-0.0628917	0.4093	False		True		0.51777	0.373333	0.222721	450
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	FalI	-0.170908	0.888284	0.572749	v_shape	21	21	3.91833e+06	0.977239	-0.272551	0.846495	False		True		0.768915	0.29161	0.367348	575
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	HaeIV	0.921074	1.89352	0.281181	v_shape	60	60	3.91833e+06	0.977239	0.00569854	1.72005	False		True		0.501502	0.325	0.194431	6000
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	Hin4I	0.992071	1.98904	0.228797	v_shape	54	54	3.91833e+06	0.977239	0.162952	1.00352	False		True		0.499915	0.317009	0.21535	5430
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	PpiI	0.601415	1.5172	1.16818	v_shape	9	9	3.91833e+06	0.977239	-0.516756	1.81777	False		True		0.645448	0.314321	0.240375	236
SRR11558946	M3	0.5	SRR11558946.0.5x	0	Escherichia_coli_K12	PsrI	0.929664	1.90483	0.901302	v_shape	10	10	3.91833e+06	0.977239	-0.0776126	0.878127	False		True		0.568699	0.36	0.306738	250
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	AlfI	1.77851	3.43072	0.406156	v_shape	23	23	3.82936e+06	0.975548	0.29206	1.22016	False		True		0.663444	0.312343	0.272704	1831
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	AloI	1.3041	2.4693	0.747228	v_shape	12	12	3.82936e+06	0.975548	-0.0417198	0.453778	False		True		0.619007	0.32375	0.332747	291
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	BaeI	-0.277613	0.824955	0.56517	v_shape	16	16	3.82936e+06	0.975548	-0.0876353	0.513754	False		True		0.504959	0.29375	0.235282	489
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	BcgI	1.44875	2.72972	0.267162	v_shape	28	28	3.82936e+06	0.975548	0.451257	0.768105	False		True		0.600518	0.312401	0.298266	2772
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	BplI	0.936891	1.9144	0.348917	v_shape	11	11	3.82936e+06	0.975548	0.427012	0.197997	False		True		0.836208	0.334545	0.403749	275
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	BsaXI	0.714837	1.6413	0.678999	v_shape	22	22	3.82936e+06	0.975548	-0.212353	1.05494	False		True		0.595287	0.317105	0.246752	818
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	BslFI	1.56336	2.95541	0.307668	v_shape	24	24	3.82936e+06	0.975548	0.405498	1.11677	False		True		0.68004	0.300656	0.296527	2401
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	Bsp24I	0.850187	1.80273	0.257758	v_shape	23	23	3.82936e+06	0.975548	0.221707	0.533272	False		True		0.655045	0.349041	0.293921	1461
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	CjeI	1.23095	2.34721	0.191528	v_shape	86	86	3.82936e+06	0.975548	0.221071	1.2292	False		True		0.59169	0.302442	0.272373	8600
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	CjePI	0.865957	1.82255	0.198368	v_shape	72	72	3.82936e+06	0.975548	0.200026	1.05919	False		True		0.622926	0.303922	0.29601	7216
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	CspCI	1.37158	2.58755	0.900139	v_shape	16	16	3.82936e+06	0.975548	-0.180605	0.916908	False		True		0.633717	0.356538	0.305034	388
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	FalI	-0.142393	0.906015	0.363027	v_shape	20	20	3.82936e+06	0.975548	-0.0961024	0.383507	False		True		0.847059	0.305714	0.43745	547
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	HaeIV	1.17256	2.25412	0.282606	v_shape	58	58	3.82936e+06	0.975548	0.117551	2.00784	False		True		0.668253	0.284483	0.277087	5800
SRR11558949	M2	0.5	SRR11558949.0.5x	0	Escherichia_coli_K12	Hin4I	1.00545	2.00757	0.231584	v_shape	51	51	3.82936e+06	0.975548	0.151676	1.12749	False		True		0.6266	0.290256	0.298213	5130
