arm	medium	cov	log2ptr	est_cov	passed	growth_rate	pred_log2ptr
A	M6	0.5	1.108395492	0.517065815	False	1.3549	1.3298
B	M6	0.5	1.892430283	0.5540310768	False	1.3549	1.3298
E	M6	0.5			False	1.3549	1.3298
C_default	M6	0.5				1.3549	1.3298
C_relaxed	M6	0.5	0.0000	1.0000		1.3549	1.3298
A	M3	0.5	1.000449243	0.5505726341	False	1.4380	1.4630
B	M3	0.5	2.169830686	0.5563066484	False	1.4380	1.4630
E	M3	0.5			False	1.4380	1.4630
C_default	M3	0.5				1.4380	1.4630
C_relaxed	M3	0.5	0.0000	1.0000		1.4380	1.4630
A	M2	0.5	1.147133682	0.6655922039	False	1.5100	1.6844
B	M2	0.5	1.961929943	0.6504566519	False	1.5100	1.6844
E	M2	0.5			False	1.5100	1.6844
C_default	M2	0.5				1.5100	1.6844
C_relaxed	M2	0.5	0.0000	1.0000		1.5100	1.6844
A	RUN_OUT	0.5	0.5903667034	0.6105832945	False		
B	RUN_OUT	0.5	1.796135718	0.5232264906	False		
E	RUN_OUT	0.5			False		
C_default	RUN_OUT	0.5					
C_relaxed	RUN_OUT	0.5	0.0000	1.0000			
A	M27	0.5	0.7805027566	0.5181275852	False	0.3992	0.5526
B	M27	0.5	1.718455961	0.4921510666	False	0.3992	0.5526
E	M27	0.5			False	0.3992	0.5526
C_default	M27	0.5				0.3992	0.5526
C_relaxed	M27	0.5	0.0000	1.0000		0.3992	0.5526
A	M25	0.5	1.057068214	0.462793894	False	0.4346	0.6425
B	M25	0.5	1.969721042	0.4782523394	False	0.4346	0.6425
E	M25	0.5			False	0.4346	0.6425
C_default	M25	0.5				0.4346	0.6425
C_relaxed	M25	0.5	0.0000	1.0000		0.4346	0.6425
A	M24	0.5	0.8052254637	0.5381511907	False	0.4648	0.6861
B	M24	0.5	1.924272562	0.5011039961	False	0.4648	0.6861
E	M24	0.5			False	0.4648	0.6861
C_default	M24	0.5				0.4648	0.6861
C_relaxed	M24	0.5	0.0000	1.0000		0.4648	0.6861
A	M22	0.5	0.7455335188	0.5444700528	False	0.4892	0.7233
B	M22	0.5	1.856075014	0.5328763731	False	0.4892	0.7233
E	M22	0.5			False	0.4892	0.7233
C_default	M22	0.5				0.4892	0.7233
C_relaxed	M22	0.5	0.0000	1.0000		0.4892	0.7233
A	M23	0.5	0.1742249469	0.6581763543	False	0.4770	0.5420
B	M23	0.5	1.901017623	0.5439045333	False	0.4770	0.5420
E	M23	0.5			False	0.4770	0.5420
C_default	M23	0.5				0.4770	0.5420
C_relaxed	M23	0.5	0.0000	1.0000		0.4770	0.5420
A	M19	0.5			False	0.5776	0.8862
B	M19	0.5	2.063141869	0.6769206307	False	0.5776	0.8862
E	M19	0.5			False	0.5776	0.8862
C_default	M19	0.5				0.5776	0.8862
C_relaxed	M19	0.5	0.0000	1.0000		0.5776	0.8862
A	M18	0.5	0.6952118748	0.5769876054	False	0.7413	0.8578
B	M18	0.5	1.687172729	0.5635255581	False	0.7413	0.8578
E	M18	0.5			False	0.7413	0.8578
C_default	M18	0.5				0.7413	0.8578
C_relaxed	M18	0.5	0.0000	1.0000		0.7413	0.8578
A	M17	0.5	1.026070388	0.6230423083	False	0.7440	0.7020
B	M17	0.5	1.721998246	0.652034419	False	0.7440	0.7020
E	M17	0.5			False	0.7440	0.7020
C_default	M17	0.5				0.7440	0.7020
C_relaxed	M17	0.5	0.0000	1.0000		0.7440	0.7020
A	M13	0.5	0.9584412812	0.6338037862	False	0.8612	1.0326
B	M13	0.5	1.920624867	0.586530941	False	0.8612	1.0326
E	M13	0.5			False	0.8612	1.0326
C_default	M13	0.5				0.8612	1.0326
C_relaxed	M13	0.5	0.0000	1.0000		0.8612	1.0326
A	M12	0.5	0.9236381818	0.5781182104	False	1.0220	1.1568
B	M12	0.5	1.88458396	0.5905719262	False	1.0220	1.1568
E	M12	0.5			False	1.0220	1.1568
C_default	M12	0.5				1.0220	1.1568
C_relaxed	M12	0.5	0.0000	1.0000		1.0220	1.1568
A	M1	0.5	1.257453337	0.5053663101	False	1.7207	1.7250
B	M1	0.5	2.176150954	0.546837855	False	1.7207	1.7250
E	M1	0.5			False	1.7207	1.7250
C_default	M1	0.5				1.7207	1.7250
C_relaxed	M1	0.5	0.0000	1.0000		1.7207	1.7250
A	M10	0.5	0.74246854	0.53484017	False	1.1500	1.2108
B	M10	0.5	1.873695988	0.5672378597	False	1.1500	1.2108
E	M10	0.5			False	1.1500	1.2108
C_default	M10	0.5				1.1500	1.2108
C_relaxed	M10	0.5	0.0000	1.0000		1.1500	1.2108
A	M4	0.5	1.037222008	0.6792032962	False	1.3718	1.5315
B	M4	0.5	1.943644119	0.6813252591	False	1.3718	1.5315
E	M4	0.5			False	1.3718	1.5315
C_default	M4	0.5				1.3718	1.5315
C_relaxed	M4	0.5	0.0000	1.0000		1.3718	1.5315
A	M6	1	1.035114345	0.9224796056	False	1.3549	1.3298
B	M6	1	1.436448672	0.9258027096	False	1.3549	1.3298
E	M6	1	0.9814888685	0.8178596801	False	1.3549	1.3298
C_default	M6	1				1.3549	1.3298
C_relaxed	M6	1	1.5470	1.3977		1.3549	1.3298
A	M3	1	1.228177276	0.9324148009	False	1.4380	1.4630
B	M3	1	1.571266198	0.9170551063	False	1.4380	1.4630
E	M3	1	1.196248965	0.8167280669	False	1.4380	1.4630
C_default	M3	1				1.4380	1.4630
C_relaxed	M3	1	1.9464	1.3652		1.4380	1.4630
A	M2	1	1.341405339	1.087182587	False	1.5100	1.6844
B	M2	1	1.633384608	1.087182587	False	1.5100	1.6844
E	M2	1	1.314912751	0.9490930089	False	1.5100	1.6844
C_default	M2	1				1.5100	1.6844
C_relaxed	M2	1	1.8340	1.4625		1.5100	1.6844
A	RUN_OUT	1	-0.05471777914	0.9076772692	False		
B	RUN_OUT	1	1.12251692	0.9231199016	False		
E	RUN_OUT	1			False		
C_default	RUN_OUT	1					
C_relaxed	RUN_OUT	1	1.1329	1.4772			
A	M27	1	0.1687622839	0.8819175153	False	0.3992	0.5526
B	M27	1	1.072136627	0.8715701764	False	0.3992	0.5526
E	M27	1			False	0.3992	0.5526
C_default	M27	1				0.3992	0.5526
C_relaxed	M27	1	1.0131	1.3984		0.3992	0.5526
A	M25	1	0.5529804309	0.9365848541	False	0.4346	0.6425
B	M25	1	1.121358225	0.9171398356	False	0.4346	0.6425
E	M25	1	0.6118299724	0.8485866548	False	0.4346	0.6425
C_default	M25	1				0.4346	0.6425
C_relaxed	M25	1	1.4379	1.4348		0.4346	0.6425
A	M24	1	0.544471801	0.8600863598	False	0.4648	0.6861
B	M24	1	1.263390715	0.8434745712	False	0.4648	0.6861
E	M24	1			False	0.4648	0.6861
C_default	M24	1				0.4648	0.6861
C_relaxed	M24	1	1.2779	1.4000		0.4648	0.6861
A	M22	1	0.6257668886	0.9110238174	False	0.4892	0.7233
B	M22	1	1.222386628	0.9194186802	False	0.4892	0.7233
E	M22	1	0.6530939402	0.8235697333	False	0.4892	0.7233
C_default	M22	1				0.4892	0.7233
C_relaxed	M22	1	1.3808	1.4185		0.4892	0.7233
A	M23	1	0.08167696895	0.9650564533	False	0.4770	0.5420
B	M23	1	1.183987602	0.8912734628	False	0.4770	0.5420
E	M23	1			False	0.4770	0.5420
C_default	M23	1				0.4770	0.5420
C_relaxed	M23	1	1.2201	1.3853		0.4770	0.5420
A	M19	1	0.2998685505	1.068429611	False	0.5776	0.8862
B	M19	1	1.522984444	1.014893319	False	0.5776	0.8862
E	M19	1			False	0.5776	0.8862
C_default	M19	1				0.5776	0.8862
C_relaxed	M19	1	1.8298	1.4208		0.5776	0.8862
A	M18	1	0.7380614184	0.9339559222	False	0.7413	0.8578
B	M18	1	1.318353584	0.9173371539	False	0.7413	0.8578
E	M18	1	0.8490846486	0.8572585856	False	0.7413	0.8578
C_default	M18	1				0.7413	0.8578
