sample	genome_id	genome	log2_ptr	ptr	se	ci_low	ci_high	n_enzymes	n_enzymes_attempted	enzyme_fit_rate	enzymes_used	enzyme_consistency	enzyme_q	enzyme_i2	tau2	fusion_model	consistent	n_anchors	n_windows	ori	ori_confidence	coverage	dispersion	fraction	method	excluded	note	cov
SRR11558945.0.5x	0	Escherichia_coli_K12	0.9218457486	1.894537568	0.08497228244	0.7553031353	1.088388362	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.205400072	19.18665057	0.2182064323	0.03361593586	fixed	True	39232	500	4167170	0.984812	0.554031125	0.245301125	0.3238808125	v_shape	-		0.5
SRR11558946.0.5x	0	Escherichia_coli_K12	0.7578759008	1.69099911	0.1405188411	0.4824640331	1.033287768	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.004665554891	33.01899876	0.5457160858	0.1452888146	random	False	39249	498	3918330	0.977239	0.556306875	0.24049075	0.324454625	v_shape	-	enzymes disagree (Q=33.0, p=0.00467); largest deviation from AlfI	0.5
SRR11558949.0.5x	0	Escherichia_coli_K12	1.021742756	2.030370138	0.1234607107	0.7797642094	1.263721302	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.01507438008	29.21827579	0.4866226842	0.1010813873	random	False	38599	485	3829360	0.975548	0.6504565625	0.299391125	0.31096175	v_shape	-	enzymes disagree (Q=29.2, p=0.0151); largest deviation from FalI	0.5
SRR11558950.0.5x	0	Escherichia_coli_K12	0.2375355896	1.178977013	0.07896143192	0.08277402684	0.3922971523	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.8867311476	8.820163671	0	0	fixed	True	39914	512	2955190	0.864352	0.5232264375	0.2387805625	0.3271160625	v_shape	-		0.5
SRR11558953.0.5x	0	Escherichia_coli_K12	0.1290506056	1.093573816	0.08700754061	-0.04148104041	0.2995822516	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.7394750128	11.18358572	0	0	fixed	True	39408	509	3590830	0.844147	0.492151	0.2104588125	0.3381571875	v_shape	-		0.5
SRR11558957.0.5x	0	Escherichia_coli_K12	0.4037902486	1.32297908	0.08550925224	0.2361951939	0.5713853034	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.09938995766	22.3319833	0.3283176063	0.05993978164	fixed	True	39679	508	3901570	0.946778	0.47825225	0.226527625	0.3289895625	v_shape	-		0.5
SRR11558960.0.5x	0	Escherichia_coli_K12	0.457994095	1.373630611	0.08981090504	0.2819679557	0.6340202343	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.9595430047	6.93074746	0	0	fixed	True	39624	505	3289130	0.97377	0.5011040625	0.2247049375	0.325495375	v_shape	-		0.5
SRR11558963.0.5x	0	Escherichia_coli_K12	0.3772248595	1.298841025	0.08222975844	0.2160574945	0.5383922245	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.2466152986	18.31205784	0.1808675936	0.02557360769	fixed	True	38493	488	3828070	0.959121	0.532876375	0.23756525	0.3281913125	v_shape	-		0.5
SRR11558964.0.5x	0	Escherichia_coli_K12	0.3494648966	1.274087974	0.08436644363	0.1841097056	0.5148200876	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.8044145192	10.23943555	0	0	fixed	True	39429	508	3996980	0.94764	0.5439044375	0.238912875	0.3299985	v_shape	-		0.5
SRR11558965.0.5x	0	Escherichia_coli_K12	0.1794434707	1.132446952	0.08252895574	0.01768968981	0.3411972517	16	16	1	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.5843257223	13.23275083	0	0	fixed	True	39098	501	3106040	0.679624	0.6769205625	0.33463625	0.297995125	v_shape	-		0.5
