arm	medium	srr	cov	log2ptr	est_cov	passed	growth_rate
A	M6	SRR11558945	0.5	0.9218468525	0.5540310768	False	1.3549
A	M3	SRR11558946	0.5	0.7578752875	0.5563066484	False	1.438
A	M2	SRR11558949	0.5	1.021742846	0.6504566519	False	1.51
A	RUN_OUT	SRR11558950	0.5	0.2375355244	0.5232264906	False	
A	M27	SRR11558953	0.5	0.1290508433	0.4921510666	False	0.3992
A	M25	SRR11558957	0.5	0.4037909186	0.4782523394	False	0.4346
A	M24	SRR11558960	0.5	0.4579941002	0.5011039961	False	0.4648
A	M22	SRR11558963	0.5	0.3772247052	0.5328763731	False	0.4892
A	M23	SRR11558964	0.5	0.3494645786	0.5439045333	False	0.477
A	M19	SRR11558965	0.5	0.1794432586	0.6769206307	False	0.5776
A	M18	SRR11558969	0.5	0.6058296821	0.5635255581	False	0.7413
A	M17	SRR11558970	0.5	0.400349125	0.652034419	False	0.744
A	M13	SRR11558973	0.5	0.5726185541	0.586530941	False	0.8612
A	M12	SRR11558976	0.5	0.8164368039	0.5905719262	False	1.022
A	M1	SRR11558977	0.5	1.048670244	0.546837855	False	1.7207
A	M10	SRR11558980	0.5	0.6564214203	0.5672378597	False	1.15
A	M4	SRR11558983	0.5	0.869065496	0.6813252591	False	1.3718
A	M6	SRR11558945	1	1.031991872	0.9258027096	False	1.3549
A	M3	SRR11558946	1	1.206376918	0.9170551063	False	1.438
A	M2	SRR11558949	1	1.341405339	1.087182587	False	1.51
A	RUN_OUT	SRR11558950	1	0.01782118348	0.9231199016	False	
A	M27	SRR11558953	1	0.1518450879	0.8715701764	False	0.3992
A	M25	SRR11558957	1	0.5195806183	0.9171398356	False	0.4346
A	M24	SRR11558960	1	0.4053639334	0.8434745712	False	0.4648
A	M22	SRR11558963	1	0.6213970941	0.9194186802	False	0.4892
A	M23	SRR11558964	1	0.09039147188	0.8912734628	False	0.477
A	M19	SRR11558965	1	0.3281493927	1.014893319	False	0.5776
A	M18	SRR11558969	1	0.6839642956	0.9173371539	False	0.7413
A	M17	SRR11558970	1	0.4184716908	0.9986630219	False	0.744
A	M13	SRR11558973	1	0.684892465	0.9312003752	False	0.8612
A	M12	SRR11558976	1	0.8444229249	0.9822429362	False	1.022
A	M1	SRR11558977	1	1.496850605	0.8889698628	False	1.7207
A	M10	SRR11558980	1	0.6597314042	0.9505868568	False	1.15
A	M4	SRR11558983	1	0.8255283107	1.079858143	False	1.3718
A	M6	SRR11558945	2	1.197140889	1.690874282	True	1.3549
A	M3	SRR11558946	2	1.342230719	1.682673779	True	1.438
A	M2	SRR11558949	2	1.44460296	1.88620429	False	1.51
A	RUN_OUT	SRR11558950	2	0.03805212827	1.760748148	True	
A	M27	SRR11558953	2	0.4188424691	1.639948342	False	0.3992
A	M25	SRR11558957	2	0.6465893736	1.682446526	True	0.4346
A	M24	SRR11558960	2	0.7708817332	1.642268496	False	0.4648
A	M22	SRR11558963	2	0.6968403883	1.760796298	True	0.4892
A	M23	SRR11558964	2	0.528494435	1.72710254	False	0.477
A	M19	SRR11558965	2	0.6384654204	1.638920693	False	0.5776
A	M18	SRR11558969	2	0.7953280386	1.715045208	True	0.7413
A	M17	SRR11558970	2	0.5843182378	1.808256326	False	0.744
A	M13	SRR11558973	2	0.8863205932	1.722488126	True	0.8612
A	M12	SRR11558976	2	1.042856012	1.762298694	False	1.022
A	M1	SRR11558977	2	1.715323888	1.660511491	True	1.7207
A	M10	SRR11558980	2	0.9959622999	1.765012349	True	1.15
A	M4	SRR11558983	2	1.218972839	1.860766129	False	1.3718
A	M6	SRR11558945	5	1.31025394	4.055030463	True	1.3549
A	M3	SRR11558946	5	1.489734083	4.052425682	True	1.438
A	M2	SRR11558949	5	1.805282035	4.487063667	True	1.51
A	RUN_OUT	SRR11558950	5	0.04078483868	4.329140207	True	
A	M27	SRR11558953	5	0.5198458516	4.100119929	False	0.3992
A	M25	SRR11558957	5	0.6304910441	4.236389243	True	0.4346
A	M24	SRR11558960	5	0.6336296871	4.096738823	True	0.4648
A	M22	SRR11558963	5	0.7034565769	4.178829285	True	0.4892
A	M23	SRR11558964	5	0.5571711359	4.110358088	True	0.477
A	M19	SRR11558965	5	0.8546863096	3.81674668	True	0.5776
A	M18	SRR11558969	5	0.8255553578	4.145572638	True	0.7413
A	M17	SRR11558970	5	0.7153290387	4.234591438	True	0.744
A	M13	SRR11558973	5	1.009291839	4.130957207	True	0.8612
A	M12	SRR11558976	5	1.260551627	4.196206004	True	1.022
A	M1	SRR11558977	5	1.753768896	4.097618779	True	1.7207
A	M10	SRR11558980	5	1.148118106	4.11296252	True	1.15
A	M4	SRR11558983	5	1.394987338	4.354525919	True	1.3718
A	M6	SRR11558945	10	1.347062992	8.078962652	True	1.3549
A	M3	SRR11558946	10	1.496762796	8.054714384	True	1.438
A	M2	SRR11558949	10	1.793359752	8.458594476	False	1.51
A	RUN_OUT	SRR11558950	10	0.02599068908	8.698974819	True	
A	M27	SRR11558953	10	0.520061394	8.202336756	True	0.3992
A	M25	SRR11558957	10	0.6438211253	8.351419277	True	0.4346
A	M24	SRR11558960	10	0.6442468288	8.138518682	True	0.4648
A	M22	SRR11558963	10	0.7636538015	8.333558592	True	0.4892
A	M23	SRR11558964	10	0.5637511175	8.192104414	True	0.477
A	M19	SRR11558965	10	0.9362687406	7.503633458	True	0.5776
A	M18	SRR11558969	10	0.8397292979	8.211686482	True	0.7413
A	M17	SRR11558970	10	0.6810481122	8.457624806	True	0.744
A	M13	SRR11558973	10	1.008173394	8.183668524	True	0.8612
A	M12	SRR11558976	10	1.224278684	8.279563822	True	1.022
A	M1	SRR11558977	10	1.81389611	8.06987744	True	1.7207
A	M10	SRR11558980	10	1.244437173	8.176410504	True	1.15
A	M4	SRR11558983	10	1.548475124	8.700351305	True	1.3718
B	M6	SRR11558945	0.5	1.892430283	0.5540310768	False	1.3549
B	M3	SRR11558946	0.5	2.169830686	0.5563066484	False	1.438
B	M2	SRR11558949	0.5	1.961929943	0.6504566519	False	1.51
B	RUN_OUT	SRR11558950	0.5	1.796135718	0.5232264906	False	
B	M27	SRR11558953	0.5	1.718455961	0.4921510666	False	0.3992
B	M25	SRR11558957	0.5	1.969721042	0.4782523394	False	0.4346
B	M24	SRR11558960	0.5	1.924272562	0.5011039961	False	0.4648
B	M22	SRR11558963	0.5	1.856075014	0.5328763731	False	0.4892
B	M23	SRR11558964	0.5	1.901017623	0.5439045333	False	0.477
B	M19	SRR11558965	0.5	2.063141869	0.6769206307	False	0.5776
B	M18	SRR11558969	0.5	1.687172729	0.5635255581	False	0.7413
B	M17	SRR11558970	0.5	1.721998246	0.652034419	False	0.744
B	M13	SRR11558973	0.5	1.920624867	0.586530941	False	0.8612
B	M12	SRR11558976	0.5	1.88458396	0.5905719262	False	1.022
B	M1	SRR11558977	0.5	2.176150954	0.546837855	False	1.7207
B	M10	SRR11558980	0.5	1.873695988	0.5672378597	False	1.15
B	M4	SRR11558983	0.5	1.943644119	0.6813252591	False	1.3718
B	M6	SRR11558945	1	1.436448672	0.9258027096	False	1.3549
B	M3	SRR11558946	1	1.571266198	0.9170551063	False	1.438
B	M2	SRR11558949	1	1.633384608	1.087182587	False	1.51
