medium	cov	signed_ivw_dl	signed_se	signed_positive_r2_gate	passed_positive_r2_gate
M6	0.5	0.9218457486	0.08497228244	1.108395492	False
M3	0.5	0.7578759008	0.1405188411	1.000449243	False
M2	0.5	1.021742756	0.1234607107	1.147133682	False
RUN_OUT	0.5	0.2375355896	0.07896143192	0.5903667034	False
M27	0.5	0.1290506056	0.08700754061	0.7805027566	False
M25	0.5	0.4037902486	0.08550925224	1.057068214	False
M24	0.5	0.457994095	0.08981090504	0.8052254637	False
M22	0.5	0.3772248595	0.08222975844	0.7455335188	False
M23	0.5	0.3494648966	0.08436644363	0.1742249469	False
M19	0.5	0.1794434707	0.08252895574		False
M18	0.5	0.6058299291	0.07974048668	0.6952118748	False
M17	0.5	0.4003492208	0.1233483926	1.026070388	False
M13	0.5	0.5726186653	0.07590418829	0.9584412812	False
M12	0.5	0.8164375994	0.07626480388	0.9236381818	False
M1	0.5	1.048671145	0.09632552973	1.257453337	False
M10	0.5	0.6564211444	0.07701047701	0.74246854	False
M4	0.5	0.8690651826	0.1207312286	1.037222008	False
M6	1	1.031991398	0.05064124573	1.035114345	False
M3	1	1.206378972	0.05382811332	1.228177276	False
M2	1	1.341407063	0.05558911633	1.341405339	False
RUN_OUT	1	0.01782106272	0.04361050022	-0.05471777914	False
M27	1	0.1518453805	0.05069777272	0.1687622839	False
M25	1	0.5195807695	0.0458555773	0.5529804309	False
M24	1	0.4053635506	0.05599863637	0.544471801	False
M22	1	0.6213976682	0.04883773865	0.6257668886	False
M23	1	0.09039138335	0.05519346748	0.08167696895	False
M19	1	0.3281494624	0.07778091738	0.2998685505	False
M18	1	0.6839644842	0.05455419817	0.7380614184	False
M17	1	0.4184717626	0.05062503743	0.4967452099	False
M13	1	0.6848921667	0.04510200423	0.7424305021	False
M12	1	0.84442327	0.1041843092	0.8749297526	False
M1	1	1.496850653	0.05661793654	1.496850605	False
M10	1	0.6597315162	0.0699511151	0.7153188796	False
M4	1	0.825528793	0.05315699654	0.8504269429	False
M6	2	1.197141345	0.02764296727	1.197140889	True
M3	2	1.342231391	0.0302969563	1.342230719	True
M2	2	1.444603366	0.04341898407	1.44460296	False
RUN_OUT	2	0.03805212293	0.02850700866	0.1023426596	False
M27	2	0.41884265	0.03910110833	0.4585948548	True
M25	2	0.646589339	0.03124687731	0.6545199943	True
M24	2	0.7708814744	0.04824332348	0.7815667646	False
M22	2	0.6968404642	0.02954207488	0.6978279332	True
M23	2	0.5284945946	0.04492735477	0.528494435	False
M19	2	0.6384656513	0.05126535403	0.6760302809	False
M18	2	0.7953282851	0.03100772397	0.7953280386	True
M17	2	0.5843181699	0.03329065448	0.5862041044	False
M13	2	0.8863204402	0.03280592531	0.8863205932	True
M12	2	1.042855649	0.03697508981	1.051601651	False
M1	2	1.715323198	0.03356692115	1.715323888	True
M10	2	0.9959624754	0.03002107334	0.9959622999	True
M4	2	1.218973875	0.03888399564	1.218972839	False
M6	5	1.310253421	0.01757839075	1.31025394	True
M3	5	1.489734294	0.0163226773	1.489734083	True
M2	5	1.805282457	0.04641105125	1.805282035	True
RUN_OUT	5	0.04078484299	0.01713694946	0.04551006838	False
M27	5	0.5198458381	0.02500872646	0.5198458516	False
M25	5	0.6304909077	0.01637628197	0.6304910441	True
M24	5	0.633629617	0.01488097063	0.6336296871	True
M22	5	0.7034564767	0.01849961291	0.7034565769	True
M23	5	0.5571712153	0.01415226767	0.5571711359	True
M19	5	0.8546869279	0.03322202537	0.8546863096	True
M18	5	0.8255554094	0.0159012404	0.8255553578	True
M17	5	0.7153289813	0.02285855165	0.7153290387	True
M13	5	1.009291856	0.01616332767	1.009291839	True
M12	5	1.260551141	0.026685994	1.260551627	True
M1	5	1.753767028	0.01677384091	1.753768896	True
M10	5	1.148118658	0.01753965936	1.148118106	True
M4	5	1.394987626	0.03162312499	1.394987338	True
M6	10	1.347063744	0.009911998127	1.347062992	True
M3	10	1.496764007	0.01178136879	1.496762796	True
M2	10	1.793358769	0.07225852525	1.793359752	False
RUN_OUT	10	0.02599066653	0.01924728013	0.02874529721	True
M27	10	0.5200615342	0.009999705088	0.520061394	True
M25	10	0.6438211013	0.01488865717	0.6438211253	True
M24	10	0.6442469249	0.0113431462	0.6442468288	True
M22	10	0.7636537118	0.0165570267	0.7636538015	True
M23	10	0.5637510564	0.01063308606	0.5637511175	True
M19	10	0.9362680863	0.03895874657	0.9362687406	True
M18	10	0.8397294484	0.01195067923	0.8397292979	True
M17	10	0.6810481028	0.02677148473	0.6810481122	True
M13	10	1.008171669	0.01185387661	1.008173394	True
M12	10	1.22427818	0.0332211667	1.224278684	True
M1	10	1.813897032	0.01408158465	1.81389611	True
M10	10	1.244435438	0.01212193919	1.244437173	True
M4	10	1.548476522	0.03917538682	1.548475124	True
