depth	k	n	anchors	r	rmse	slope	ctl_bias	seconds	rss_mb	index_seconds	index_rss_mb	pilea_seconds	pilea_rss_mb	pilea_default_seconds	pilea_default_rss_mb
0.5000	2	16	17055	0.9171	0.2793	0.7332	0.0344	2.1535	161.3208	0.2600	14.9219	5.5953	152.4844	0.9435	153.0790
0.5000	4	16	24753	0.9357	0.2382	0.7603	0.0913	2.8029	170.7546	0.4300	21.0938	5.5953	152.4844	0.9435	153.0790
0.5000	8	16	37232	0.9392	0.2731	0.7121	0.2208	3.8235	186.9651	0.8200	24.2969	5.5953	152.4844	0.9435	153.0790
0.5000	12	16	41662	0.9369	0.2860	0.6756	0.2387	4.2276	192.2518	1.2200	25.6250	5.5953	152.4844	0.9435	153.0790
0.5000	16	16	43735	0.9132	0.3040	0.6152	0.2597	4.2894	192.5147	1.5300	21.4219	5.5953	152.4844	0.9435	153.0790
1.0000	2	16	17055	0.9599	0.1776	0.8350		3.0624	162.4586	0.2600	14.9219	16.7759	153.9807	0.9847	153.7748
1.0000	4	16	24753	0.9725	0.1472	0.8621	0.0406	4.1424	173.7114	0.4300	21.0938	16.7759	153.9807	0.9847	153.7748
1.0000	8	16	37232	0.9864	0.1394	0.8410	0.0620	5.9394	184.7132	0.8200	24.2969	16.7759	153.9807	0.9847	153.7748
1.0000	12	16	41662	0.9852	0.1477	0.8150	0.0693	6.7153	191.5414	1.2200	25.6250	16.7759	153.9807	0.9847	153.7748
1.0000	16	16	43735	0.9809	0.1568	0.7791	0.0771	6.8294	195.7197	1.5300	21.4219	16.7759	153.9807	0.9847	153.7748
2.0000	2	16	17055	0.9755	0.1077	0.8562	0.1124	3.4100	162.5625	0.2600	14.9219	21.0500	158.8474	1.0129	158.6140
2.0000	4	16	24753	0.9691	0.1106	0.8539	0.0895	4.6747	175.0699	0.4300	21.0938	21.0500	158.8474	1.0129	158.6140
2.0000	8	16	37232	0.9819	0.1017	0.8745	0.0873	6.8371	184.8824	0.8200	24.2969	21.0500	158.8474	1.0129	158.6140
2.0000	12	16	41662	0.9847	0.1165	0.8614	0.0878	7.9576	193.7169	1.2200	25.6250	21.0500	158.8474	1.0129	158.6140
2.0000	16	16	43735	0.9815	0.1278	0.8402	0.0971	8.2847	195.6783	1.5300	21.4219	21.0500	158.8474	1.0129	158.6140
5.0000	2	16	17055	0.9722	0.0545	0.9205	0.0653	3.6388	162.6645	0.2600	14.9219	8.5982	159.1627	1.0676	160.1149
5.0000	4	16	24753	0.9717	0.0490	0.9299	0.0608	5.0065	172.3088	0.4300	21.0938	8.5982	159.1627	1.0676	160.1149
5.0000	8	16	37232	0.9770	0.0433	0.9374	0.0639	7.4871	186.9586	0.8200	24.2969	8.5982	159.1627	1.0676	160.1149
5.0000	12	16	41662	0.9759	0.0418	0.9277	0.0557	9.1365	191.1838	1.2200	25.6250	8.5982	159.1627	1.0676	160.1149
5.0000	16	16	43735	0.9788	0.0388	0.9197	0.0601	9.8018	195.2252	1.5300	21.4219	8.5982	159.1627	1.0676	160.1149
10.0000	2	16	17055	0.9583	0.0939	0.9601	0.0228	3.9506	163.1397	0.2600	14.9219	5.6431	160.8984	5.5459	161.1480
10.0000	4	16	24753	0.9583	0.0882	0.9694	0.0418	5.5265	171.7849	0.4300	21.0938	5.6431	160.8984	5.5459	161.1480
10.0000	8	16	37232	0.9607	0.0880	0.9711	0.0316	8.3782	185.3088	0.8200	24.2969	5.6431	160.8984	5.5459	161.1480
10.0000	12	16	41662	0.9677	0.0685	0.9620	0.0433	10.7712	191.4724	1.2200	25.6250	5.6431	160.8984	5.5459	161.1480
10.0000	16	16	43735	0.9684	0.0625	0.9506	0.0464	11.8712	194.6305	1.5300	21.4219	5.6431	160.8984	5.5459	161.1480
