k	medium	depth	seconds	rss_mb	log2ptr	i2	growth_rate	pred
12	M10	0.5	4.14	193.016	0.94429	0.248829	1.15	1.2108
12	M10	10	11.57	191.75	1.2268	0.270051	1.15	1.2108
12	M10	1	6.68	188.766	1.10447	0	1.15	1.2108
12	M10	2	7.73	200.781	1.14606	0	1.15	1.2108
12	M10	5	9.21	203.578	1.20143	0	1.15	1.2108
12	M12	0.5	4.39	195.359	1.12991	0.0564001	1.022	1.1568
12	M12	10	10.41	178.016	1.27303	0.613059	1.022	1.1568
12	M12	1	6.71	192.891	1.00081	0.627671	1.022	1.1568
12	M12	2	7.91	202.625	1.10405	0.332448	1.022	1.1568
12	M12	5	9.17	178.984	1.20003	0	1.022	1.1568
12	M13	0.5	4.11	178.344	0.774713	0.528679	0.8612	1.0326
12	M13	10	9.22	176.188	1.0362	0	0.8612	1.0326
12	M13	1	6.61	193.062	0.812908	0.404439	0.8612	1.0326
12	M13	2	8.17	189.75	0.942293	0	0.8612	1.0326
12	M13	5	8.79	192.938	1.02201	0	0.8612	1.0326
12	M17	0.5	4.37	191.234	0.477441	0	0.744	0.702
12	M17	10	10.53	192.531	0.753292	0	0.744	0.702
12	M17	1	6.97	198.688	0.743014	0.328401	0.744	0.702
12	M17	2	8.51	201.656	0.678837	0.662798	0.744	0.702
12	M17	5	9.68	187.703	0.680547	0	0.744	0.702
12	M18	0.5	4.37	204.688	0.785429	0	0.7413	0.8578
12	M18	10	11.83	176.438	0.870536	0.33149	0.7413	0.8578
12	M18	1	6.83	170.078	0.745663	0	0.7413	0.8578
12	M18	2	8.03	203.688	0.915476	0.437866	0.7413	0.8578
12	M18	5	10	210.516	0.918874	0.521494	0.7413	0.8578
12	M19	0.5	4.45	190.859	0.566802	0.0291631	0.5776	0.8862
12	M19	10	9.78	209.766	0.867432	0.447884	0.5776	0.8862
12	M19	1	7.89	209.219	0.700663	0	0.5776	0.8862
12	M19	2	8.21	211.641	0.599846	0	0.5776	0.8862
12	M19	5	8.86	205.312	0.911228	0.338773	0.5776	0.8862
12	M1	0.5	4.47	197.25	1.36189	0	1.7207	1.725
12	M1	10	11.85	185.219	1.79672	0.0131384	1.7207	1.725
12	M1	1	6.59	211.344	1.62116	0.160891	1.7207	1.725
12	M1	2	7.87	201.703	1.68487	0	1.7207	1.725
12	M1	5	9.47	174.828	1.78193	0	1.7207	1.725
12	M22	0.5	4.18	176.312	0.501847	0	0.4892	0.7233
12	M22	10	10.97	193.734	0.724602	0.133253	0.4892	0.7233
12	M22	1	6.97	173.688	0.595024	0	0.4892	0.7233
12	M22	2	8.25	204.359	0.690923	0	0.4892	0.7233
12	M22	5	9.68	189.281	0.689319	0.518714	0.4892	0.7233
12	M23	0.5	4.4	190.984	0.498047	0	0.477	0.542
12	M23	10	11.35	210.734	0.550855	0.789634	0.477	0.542
12	M23	1	6.83	194.156	0.48468	0.0294731	0.477	0.542
12	M23	2	7.85	200.125	0.632623	0.415565	0.477	0.542
12	M23	5	8.89	193.844	0.590297	0.727824	0.477	0.542
12	M24	0.5	4.16	200.672	0.368034	0	0.4648	0.6861
12	M24	10	11.21	197.672	0.674844	0	0.4648	0.6861
12	M24	1	6.53	188.891	0.586509	0	0.4648	0.6861
12	M24	2	7.93	176	0.614507	0.494264	0.4648	0.6861
12	M24	5	9.09	201.328	0.68272	0	0.4648	0.6861
12	M25	0.5	4.22	199.938	0.665458	0.081723	0.4346	0.6425
12	M25	10	11.23	184.078	0.653596	0.54579	0.4346	0.6425
12	M25	1	6.7	185.938	0.656089	0.549051	0.4346	0.6425
12	M25	2	8.12	176.906	0.587866	0.0940234	0.4346	0.6425
12	M25	5	9.71	175.5	0.62241	0.48905	0.4346	0.6425
12	M27	0.5	4.16	175.391	0.3546	0	0.3992	0.5526
12	M27	10	11.31	200.203	0.541197	0	0.3992	0.5526
12	M27	1	6.83	189.438	0.399899	0	0.3992	0.5526
12	M27	2	7.86	176.391	0.432587	0.559835	0.3992	0.5526
12	M27	5	9.19	176.766	0.497778	0	0.3992	0.5526
12	M2	0.5	4.19	202.516	1.15844	0	1.51	1.6844
12	M2	10	9.57	196.109	1.90212	0.361792	1.51	1.6844
12	M2	1	6.22	187.516	1.40807	0	1.51	1.6844
12	M2	2	7.84	176.938	1.52831	0.47936	1.51	1.6844
12	M2	5	8.6	183.672	1.73687	0.439708	1.51	1.6844
12	M3	0.5	3.96	179.203	1.08804	0	1.438	1.463
12	M3	10	10.87	183.297	1.51654	0.616549	1.438	1.463
12	M3	1	6.31	197.969	1.2824	0.0943625	1.438	1.463
12	M3	2	7.62	178.578	1.44888	0	1.438	1.463
12	M3	5	8.63	194.016	1.54154	0.673812	1.438	1.463
12	M4	0.5	4.02	187.938	1.06584	0	1.3718	1.5315
12	M4	10	9.89	191.641	1.56364	0	1.3718	1.5315
12	M4	1	6.54	208.172	1.36658	0	1.3718	1.5315
12	M4	2	8.06	200.609	1.29189	0	1.3718	1.5315
12	M4	5	8.82	194.469	1.4876	0.278652	1.3718	1.5315
12	M6	0.5	4.13	197.5	1.09481	0.00854157	1.3549	1.3298
12	M6	10	10.95	196.203	1.29381	0.330114	1.3549	1.3298
12	M6	1	6.43	193.656	1.20264	0	1.3549	1.3298
12	M6	2	7.55	199.141	1.29914	0	1.3549	1.3298
12	M6	5	8.42	191.484	1.33654	0	1.3549	1.3298
12	RUN_OUT	0.5	4.15	207.078	0.238718	0		
12	RUN_OUT	10	10.57	191.453	0.0433001	0		
12	RUN_OUT	1	6.52	172.734	0.0692531	0		
12	RUN_OUT	2	7.77	192.297	0.0877702	0		
12	RUN_OUT	5	9.11	195.906	0.0556531	0		
16	M10	0.5	4.26	196.406	0.922703	0.188454	1.15	1.2108
16	M10	10	12.61	194.625	1.22446	0.0847128	1.15	1.2108
16	M10	1	6.87	189.703	1.0603	0.0668602	1.15	1.2108
16	M10	2	8.14	207.609	1.13677	0	1.15	1.2108
16	M10	5	9.97	195.844	1.19069	0.282722	1.15	1.2108
16	M12	0.5	4.52	199.875	1.10552	0.0523948	1.022	1.1568
16	M12	10	11.6	189.109	1.27894	0.462272	1.022	1.1568
16	M12	1	6.9	191.906	1.0063	0.496205	1.022	1.1568
16	M12	2	8.26	194.031	1.16627	0.0469743	1.022	1.1568
16	M12	5	10.06	178.203	1.19081	0.27241	1.022	1.1568
16	M13	0.5	4.34	192.5	0.812196	0.451074	0.8612	1.0326
16	M13	10	10.55	208.312	1.04847	0.189787	0.8612	1.0326
16	M13	1	6.84	194.094	0.891717	0.492401	0.8612	1.0326
16	M13	2	8.34	192.359	0.911821	0	0.8612	1.0326
16	M13	5	9.39	194.984	1.00334	0.215525	0.8612	1.0326
16	M17	0.5	4.46	199.078	0.470551	0	0.744	0.702
16	M17	10	11.46	194.562	0.753926	0	0.744	0.702
16	M17	1	6.99	195.203	0.740669	0.181666	0.744	0.702
16	M17	2	8.32	193.297	0.658508	0.588858	0.744	0.702
16	M17	5	10.14	201	0.677994	0	0.744	0.702
16	M18	0.5	4.24	184.453	0.796361	0	0.7413	0.8578
16	M18	10	12.9	193.438	0.867959	0.22134	0.7413	0.8578
16	M18	1	6.93	203.375	0.742266	0	0.7413	0.8578
16	M18	2	8.22	193.344	0.880096	0.612573	0.7413	0.8578
16	M18	5	9.91	211.234	0.886243	0.727719	0.7413	0.8578
16	M19	0.5	4.47	198.609	0.574924	0	0.5776	0.8862
16	M19	10	10.19	195.188	0.891213	0.320978	0.5776	0.8862
16	M19	1	7.11	194.797	0.708154	0	0.5776	0.8862
16	M19	2	8.36	193.766	0.599687	0	0.5776	0.8862
16	M19	5	8.83	194.891	0.893131	0.341675	0.5776	0.8862
16	M1	0.5	4.22	192.375	1.31772	0	1.7207	1.725
16	M1	10	12.9	209.75	1.7976	0	1.7207	1.725
16	M1	1	6.43	187.859	1.58762	0.164806	1.7207	1.725
16	M1	2	8.17	209.547	1.6876	0	1.7207	1.725
16	M1	5	10.15	189.094	1.78504	0	1.7207	1.725
16	M22	0.5	4.27	190.078	0.606527	0	0.4892	0.7233
16	M22	10	12.18	188.953	0.721327	0	0.4892	0.7233
16	M22	1	7.08	191.125	0.570931	0	0.4892	0.7233
16	M22	2	8.61	215.578	0.701362	0.0639114	0.4892	0.7233
16	M22	5	10.45	203.188	0.682538	0.540199	0.4892	0.7233
16	M23	0.5	4.25	201.469	0.543778	0	0.477	0.542
16	M23	10	12.46	188.656	0.55038	0.748166	0.477	0.542
16	M23	1	6.92	202.172	0.506323	0	0.477	0.542
16	M23	2	8.27	188.078	0.64093	0.363343	0.477	0.542
16	M23	5	9.74	211.125	0.598543	0.65171	0.477	0.542
16	M24	0.5	4.39	193.438	0.311866	0	0.4648	0.6861
16	M24	10	12.28	196.547	0.671169	0	0.4648	0.6861
16	M24	1	6.71	208.75	0.578022	0	0.4648	0.6861
16	M24	2	8.41	197.234	0.624022	0.352332	0.4648	0.6861
16	M24	5	9.86	203.375	0.686248	0	0.4648	0.6861
16	M25	0.5	4.39	189.281	0.657769	0.192369	0.4346	0.6425
16	M25	10	12.5	193.312	0.646544	0.479581	0.4346	0.6425
16	M25	1	6.95	194.703	0.696979	0.578617	0.4346	0.6425
16	M25	2	8.57	178.219	0.579299	0.16544	0.4346	0.6425
16	M25	5	10.43	204.969	0.615864	0.39572	0.4346	0.6425
16	M27	0.5	4.26	184.859	0.357164	0	0.3992	0.5526
16	M27	10	12.45	199.797	0.548769	0.0829495	0.3992	0.5526
16	M27	1	7.08	195.234	0.393371	0	0.3992	0.5526
16	M27	2	8.38	178.766	0.441494	0.418732	0.3992	0.5526
16	M27	5	9.94	183	0.501111	0.0804614	0.3992	0.5526
16	M2	0.5	4.21	194.062	1.11003	0	1.51	1.6844
16	M2	10	10.51	197.344	1.8715	0.296713	1.51	1.6844
16	M2	1	6.36	190.234	1.36925	0.380176	1.51	1.6844
16	M2	2	8.17	191.547	1.43696	0.595994	1.51	1.6844
16	M2	5	9.29	195.109	1.69878	0.395006	1.51	1.6844
16	M3	0.5	4.03	176.016	1.02765	0	1.438	1.463
16	M3	10	12.23	178.609	1.50938	0.546188	1.438	1.463
16	M3	1	6.64	198.703	1.23995	0.012547	1.438	1.463
16	M3	2	7.96	187.156	1.43332	0.00393788	1.438	1.463
16	M3	5	9.49	195.516	1.52966	0.608157	1.438	1.463
