medium	depth	enzyme	log2ptr	se	ok	nw	na	r2	growth_rate	pred
M10	0.5	AlfI	0.77264	0.396035	True	23	1831	0.0229913	1.15	1.2108
M10	0.5	AloI	0.117935	0.711204	True	14	350	-0.315626	1.15	1.2108
M10	0.5	BaeI	0.21117	0.663058	True	21	639	-0.423566	1.15	1.2108
M10	0.5	BcgI	0.985883	0.338787	True	27	2672	0.248028	1.15	1.2108
M10	0.5	BplI			False	11	279		1.15	1.2108
M10	0.5	BsaXI	0.354047	0.488379	True	23	856	-0.170848	1.15	1.2108
M10	0.5	BslFI	1.48784	0.391828	True	23	2301	0.22612	1.15	1.2108
M10	0.5	Bsp24I			False	24	1524		1.15	1.2108
M10	0.5	CjeI	1.06399	0.183634	True	86	8597	0.135878	1.15	1.2108
M10	0.5	CjePI	0.676119	0.212511	True	74	7416	-0.0543254	1.15	1.2108
M10	0.5	CspCI	1.91779	0.479874	True	17	413	0.567577	1.15	1.2108
M10	0.5	FalI			False	23	644		1.15	1.2108
M10	0.5	HaeIV	0.865615	0.296363	True	59	5935	-0.0826678	1.15	1.2108
M10	0.5	Hin4I	0.91798	0.240115	True	52	5230	0.0715607	1.15	1.2108
M10	0.5	PpiI			False	10	261		1.15	1.2108
M10	0.5	PsrI			False	14	344		1.15	1.2108
M10	10	AlfI	1.23075	0.0385552	True	25	1989	0.978406	1.15	1.2108
M10	10	AloI	1.16203	0.108676	True	18	441	0.8738	1.15	1.2108
M10	10	BaeI	1.12706	0.056213	True	25	759	0.94392	1.15	1.2108
M10	10	BcgI	1.22898	0.0360636	True	29	2872	0.976552	1.15	1.2108
M10	10	BplI	1.2325	0.103841	True	15	379	0.917203	1.15	1.2108
M10	10	BsaXI	1.16578	0.0684169	True	26	970	0.931457	1.15	1.2108
M10	10	BslFI	1.21068	0.0430933	True	25	2501	0.971759	1.15	1.2108
M10	10	Bsp24I	1.11743	0.043864	True	25	1587	0.964032	1.15	1.2108
M10	10	CjeI	1.25265	0.0275223	True	89	8897	0.96241	1.15	1.2108
M10	10	CjePI	1.25018	0.0320596	True	77	7716	0.953143	1.15	1.2108
M10	10	CspCI	1.17659	0.0793624	True	24	588	0.889814	1.15	1.2108
M10	10	FalI	1.19514	0.085868	True	26	715	0.906303	1.15	1.2108
M10	10	HaeIV	1.25486	0.0398998	True	66	6635	0.935723	1.15	1.2108
M10	10	Hin4I	1.28334	0.0367779	True	54	5430	0.962706	1.15	1.2108
M10	10	PpiI	1.2078	0.0853332	True	13	336	0.940768	1.15	1.2108
M10	10	PsrI	1.1136	0.119497	True	17	419	0.850683	1.15	1.2108
M10	1	AlfI	1.31718	0.230463	True	25	1989	0.572993	1.15	1.2108
M10	1	AloI	0.67406	0.390897	True	18	441	-0.0248774	1.15	1.2108
M10	1	BaeI	0.928467	0.414839	True	23	699	0.203998	1.15	1.2108
M10	1	BcgI	1.05644	0.218736	True	27	2672	0.510198	1.15	1.2108
M10	1	BplI	0.391349	0.340503	True	14	354	0.00541503	1.15	1.2108
M10	1	BsaXI	1.04722	0.348188	True	26	970	0.220563	1.15	1.2108
M10	1	BslFI	1.16806	0.241554	True	24	2401	0.467331	1.15	1.2108
M10	1	Bsp24I	0.628506	0.217855	True	24	1524	0.300618	1.15	1.2108
M10	1	CjeI	1.15664	0.0969831	True	85	8497	0.584911	1.15	1.2108
M10	1	CjePI	1.1933	0.115574	True	74	7416	0.622549	1.15	1.2108
M10	1	CspCI	1.22225	0.555819	True	24	588	-0.00167408	1.15	1.2108
M10	1	FalI	0.799608	0.355215	True	25	687	-0.0177156	1.15	1.2108
M10	1	HaeIV	1.02918	0.176933	True	63	6335	0.280315	1.15	1.2108
M10	1	Hin4I	1.0109	0.150547	True	54	5430	0.423896	1.15	1.2108
M10	1	PpiI	0.261415	0.494272	True	13	336	-0.0793373	1.15	1.2108
M10	1	PsrI	0.912601	0.520006	True	17	419	-0.0128994	1.15	1.2108
M10	2	AlfI	1.3214	0.122245	True	25	1989	0.821864	1.15	1.2108
M10	2	AloI	0.975896	0.248276	True	18	441	0.19688	1.15	1.2108
M10	2	BaeI	1.02424	0.204119	True	24	729	0.524597	1.15	1.2108
M10	2	BcgI	1.18685	0.105642	True	29	2872	0.77471	1.15	1.2108
M10	2	BplI	1.02842	0.242805	True	15	379	0.631413	1.15	1.2108
M10	2	BsaXI	1.1325	0.170089	True	25	932	0.622283	1.15	1.2108
M10	2	BslFI	1.12052	0.0878089	True	25	2501	0.876227	1.15	1.2108
M10	2	Bsp24I	0.988358	0.141719	True	25	1587	0.687831	1.15	1.2108
M10	2	CjeI	1.14181	0.0684543	True	89	8897	0.755957	1.15	1.2108
M10	2	CjePI	1.21222	0.0775074	True	77	7716	0.742342	1.15	1.2108
M10	2	CspCI	1.32237	0.289346	True	24	588	0.487219	1.15	1.2108
M10	2	FalI	0.9297	0.223565	True	25	687	0.356695	1.15	1.2108
M10	2	HaeIV	1.12651	0.105825	True	64	6435	0.639815	1.15	1.2108
M10	2	Hin4I	1.11483	0.0770221	True	53	5330	0.760788	1.15	1.2108
M10	2	PpiI	1.11615	0.242986	True	11	275	0.551238	1.15	1.2108
