instance	medium	srr	cov	arm	log2ptr	est_cov	growth_rate
20260912	M6	SRR11558945	0.5	A	0.7579636057	0.5740985829	1.3549
20260912	M6	SRR11558945	0.5	B	1.870663343	0.5740985829	1.3549
20260912	M6	SRR11558945	0.5	E	0.8987062099	0.4649965404	1.3549
20260912	M6	SRR11558945	0.5	C_default			1.3549
20260912	M6	SRR11558945	0.5	C_relaxed	0.0000	1.0000	1.3549
20260912	M3	SRR11558946	0.5	A	0.8680489761	0.5586560798	1.4380
20260912	M3	SRR11558946	0.5	B	1.985659816	0.5530823546	1.4380
20260912	M3	SRR11558946	0.5	E	0.7517318325	0.4779160302	1.4380
20260912	M3	SRR11558946	0.5	C_default			1.4380
20260912	M3	SRR11558946	0.5	C_relaxed	0.0000	1.0000	1.4380
20260912	M2	SRR11558949	0.5	A	1.084480648	0.6394447178	1.5100
20260912	M2	SRR11558949	0.5	B	1.89820808	0.6413716273	1.5100
20260912	M2	SRR11558949	0.5	E	1.001323392	0.5495864789	1.5100
20260912	M2	SRR11558949	0.5	C_default			1.5100
20260912	M2	SRR11558949	0.5	C_relaxed	0.0000	1.0000	1.5100
20260912	RUN_OUT	SRR11558950	0.5	A	0.3387419629	0.5035836845	
20260912	RUN_OUT	SRR11558950	0.5	B	1.697469748	0.5089277505	
20260912	RUN_OUT	SRR11558950	0.5	E	0.05282835623	0.4391303903	
20260912	RUN_OUT	SRR11558950	0.5	C_default			
20260912	RUN_OUT	SRR11558950	0.5	C_relaxed	0.0000	1.0000	
20260912	M27	SRR11558953	0.5	A	0.5071544699	0.5072680477	0.3992
20260912	M27	SRR11558953	0.5	B	1.893787855	0.5169623226	0.3992
20260912	M27	SRR11558953	0.5	E	0.3662066525	0.4193613158	0.3992
20260912	M27	SRR11558953	0.5	C_default			0.3992
20260912	M27	SRR11558953	0.5	C_relaxed	0.0000	1.0000	0.3992
20260912	M25	SRR11558957	0.5	A	0.5896553884	0.5147770085	0.4346
20260912	M25	SRR11558957	0.5	B	1.935616521	0.5208853285	0.4346
20260912	M25	SRR11558957	0.5	E	0.4740802653	0.4247748949	0.4346
20260912	M25	SRR11558957	0.5	C_default			0.4346
20260912	M25	SRR11558957	0.5	C_relaxed	0.0000	1.0000	0.4346
20260912	M24	SRR11558960	0.5	A	0.1745246547	0.4996229564	0.4648
20260912	M24	SRR11558960	0.5	B	1.709546269	0.4871309421	0.4648
20260912	M24	SRR11558960	0.5	E	0.3914101234	0.4341234885	0.4648
20260912	M24	SRR11558960	0.5	C_default			0.4648
20260912	M24	SRR11558960	0.5	C_relaxed	0.0000	1.0000	0.4648
20260912	M22	SRR11558963	0.5	A	0.5064414449	0.5422518731	0.4892
20260912	M22	SRR11558963	0.5	B	1.712905351	0.5347486555	0.4892
20260912	M22	SRR11558963	0.5	E	0.464249074	0.446804853	0.4892
20260912	M22	SRR11558963	0.5	C_default			0.4892
20260912	M22	SRR11558963	0.5	C_relaxed	0.0000	1.0000	0.4892
20260912	M23	SRR11558964	0.5	A	0.3959110342	0.4948481532	0.4770
20260912	M23	SRR11558964	0.5	B	1.680364367	0.5031545198	0.4770
20260912	M23	SRR11558964	0.5	E	0.5222454623	0.4785036444	0.4770
20260912	M23	SRR11558964	0.5	C_default			0.4770
20260912	M23	SRR11558964	0.5	C_relaxed	0.0000	1.0000	0.4770
20260912	M19	SRR11558965	0.5	A	0.5203271667	0.6560900214	0.5776
20260912	M19	SRR11558965	0.5	B	1.754315746	0.6680557988	0.5776
20260912	M19	SRR11558965	0.5	E	0.3731665479	0.545939137	0.5776
20260912	M19	SRR11558965	0.5	C_default			0.5776
20260912	M19	SRR11558965	0.5	C_relaxed	0.0000	1.0000	0.5776
