medium	srr	cov	log2ptr	est_cov	pass_qc	growth_rate
M6	SRR11558945	0.5	1.892430283	0.5540310768	False	1.3549
M3	SRR11558946	0.5	2.169830686	0.5563066484	False	1.4380
M2	SRR11558949	0.5	1.961929943	0.6504566519	False	1.5100
RUN_OUT	SRR11558950	0.5	1.796135718	0.5232264906	False	
M27	SRR11558953	0.5	1.718455961	0.4921510666	False	0.3992
M25	SRR11558957	0.5	1.969721042	0.4782523394	False	0.4346
M24	SRR11558960	0.5	1.924272562	0.5011039961	False	0.4648
M22	SRR11558963	0.5	1.856075014	0.5328763731	False	0.4892
M23	SRR11558964	0.5	1.901017623	0.5439045333	False	0.4770
M19	SRR11558965	0.5	2.063141869	0.6769206307	False	0.5776
M18	SRR11558969	0.5	1.687172729	0.5635255581	False	0.7413
M17	SRR11558970	0.5	1.721998246	0.652034419	False	0.7440
M13	SRR11558973	0.5	1.920624867	0.586530941	False	0.8612
M12	SRR11558976	0.5	1.88458396	0.5905719262	False	1.0220
M1	SRR11558977	0.5	2.176150954	0.546837855	False	1.7207
M10	SRR11558980	0.5	1.873695988	0.5672378597	False	1.1500
M4	SRR11558983	0.5	1.943644119	0.6813252591	False	1.3718
M6	SRR11558945	1	1.436448672	0.9258027096	False	1.3549
M3	SRR11558946	1	1.571266198	0.9170551063	False	1.4380
M2	SRR11558949	1	1.633384608	1.087182587	False	1.5100
RUN_OUT	SRR11558950	1	1.12251692	0.9231199016	False	
M27	SRR11558953	1	1.072136627	0.8715701764	False	0.3992
M25	SRR11558957	1	1.121358225	0.9171398356	False	0.4346
M24	SRR11558960	1	1.263390715	0.8434745712	False	0.4648
M22	SRR11558963	1	1.222386628	0.9194186802	False	0.4892
M23	SRR11558964	1	1.183987602	0.8912734628	False	0.4770
M19	SRR11558965	1	1.522984444	1.014893319	False	0.5776
M18	SRR11558969	1	1.318353584	0.9173371539	False	0.7413
M17	SRR11558970	1	1.090164077	0.9986630219	False	0.7440
M13	SRR11558973	1	1.275724036	0.9312003752	False	0.8612
M12	SRR11558976	1	1.472356947	0.9822429362	False	1.0220
M1	SRR11558977	1	1.802471256	0.8889698628	False	1.7207
M10	SRR11558980	1	1.266801436	0.9505868568	False	1.1500
M4	SRR11558983	1	1.317786341	1.079858143	False	1.3718
M6	SRR11558945	2	1.296323077	1.690874282	True	1.3549
M3	SRR11558946	2	1.381087633	1.682673779	True	1.4380
M2	SRR11558949	2	1.582379246	1.88620429	False	1.5100
RUN_OUT	SRR11558950	2	0.6259240976	1.760748148	False	
M27	SRR11558953	2	0.6831792964	1.639948342	True	0.3992
M25	SRR11558957	2	0.873693689	1.682446526	True	0.4346
M24	SRR11558960	2	0.8605638751	1.642268496	True	0.4648
M22	SRR11558963	2	0.839663204	1.760796298	True	0.4892
M23	SRR11558964	2	0.7781547132	1.72710254	False	0.4770
M19	SRR11558965	2	1.123393951	1.638920693	False	0.5776
M18	SRR11558969	2	0.989723367	1.715045208	False	0.7413
M17	SRR11558970	2	0.9442316876	1.808256326	False	0.7440
M13	SRR11558973	2	1.069212342	1.722488126	False	0.8612
M12	SRR11558976	2	1.287349401	1.762298694	False	1.0220
M1	SRR11558977	2	1.837891458	1.660511491	True	1.7207
M10	SRR11558980	2	1.016815635	1.765012349	True	1.1500
M4	SRR11558983	2	1.352747007	1.860766129	False	1.3718
M6	SRR11558945	5	1.27472662	4.055030463	True	1.3549
M3	SRR11558946	5	1.496085911	4.052425682	True	1.4380
M2	SRR11558949	5	1.854357334	4.487063667	True	1.5100
RUN_OUT	SRR11558950	5	0.3834865174	4.329140207	False	
M27	SRR11558953	5	0.6120252644	4.100119929	True	0.3992
M25	SRR11558957	5	0.6929530112	4.236389243	True	0.4346
M24	SRR11558960	5	0.6786301802	4.096738823	True	0.4648
M22	SRR11558963	5	0.765561379	4.178829285	True	0.4892
M23	SRR11558964	5	0.6134163939	4.110358088	True	0.4770
M19	SRR11558965	5	1.074298559	3.81674668	True	0.5776
M18	SRR11558969	5	0.844841405	4.145572638	True	0.7413
M17	SRR11558970	5	0.7820078077	4.234591438	True	0.7440
M13	SRR11558973	5	1.046698678	4.130957207	True	0.8612
M12	SRR11558976	5	1.330105432	4.196206004	True	1.0220
M1	SRR11558977	5	1.783877777	4.097618779	True	1.7207
M10	SRR11558980	5	1.196552754	4.11296252	True	1.1500
M4	SRR11558983	5	1.46027539	4.354525919	True	1.3718
M6	SRR11558945	10	1.343505846	8.078962652	True	1.3549
M3	SRR11558946	10	1.51558835	8.054714384	True	1.4380
M2	SRR11558949	10	1.795584459	8.458594476	True	1.5100
RUN_OUT	SRR11558950	10	0.3861122506	8.698974819	False	
M27	SRR11558953	10	0.540670837	8.202336756	True	0.3992
M25	SRR11558957	10	0.6910429061	8.351419277	True	0.4346
M24	SRR11558960	10	0.6826710121	8.138518682	True	0.4648
M22	SRR11558963	10	0.7934461006	8.333558592	True	0.4892
M23	SRR11558964	10	0.5848272256	8.192104414	True	0.4770
M19	SRR11558965	10	1.201256567	7.503633458	True	0.5776
M18	SRR11558969	10	0.8375012927	8.211686482	True	0.7413
M17	SRR11558970	10	0.7839722686	8.457624806	False	0.7440
M13	SRR11558973	10	0.9979014615	8.183668524	True	0.8612
M12	SRR11558976	10	1.310185411	8.279563822	True	1.0220
M1	SRR11558977	10	1.800957447	8.06987744	True	1.7207
M10	SRR11558980	10	1.190833348	8.176410504	True	1.1500
M4	SRR11558983	10	1.645095453	8.700351305	True	1.3718
