medium	srr	cov	mode	log2ptr	est_cov	passed	growth_rate
M6	SRR11558945	0.5	default				1.3549
M6	SRR11558945	0.5	relaxed	0.0000	1.0000		1.3549
M6	SRR11558945	1	default				1.3549
M6	SRR11558945	1	relaxed	1.5470	1.3977		1.3549
M6	SRR11558945	2	default				1.3549
M6	SRR11558945	2	relaxed	1.4398	1.9033		1.3549
M6	SRR11558945	5	default				1.3549
M6	SRR11558945	5	relaxed	1.4076	3.6180		1.3549
M6	SRR11558945	10	default	1.1518	7.2350		1.3549
M6	SRR11558945	10	relaxed	1.1518	7.2350		1.3549
M3	SRR11558946	0.5	default				1.4380
M3	SRR11558946	0.5	relaxed	0.0000	1.0000		1.4380
M3	SRR11558946	1	default				1.4380
M3	SRR11558946	1	relaxed	1.9464	1.3652		1.4380
M3	SRR11558946	2	default				1.4380
M3	SRR11558946	2	relaxed	1.3231	1.8517		1.4380
M3	SRR11558946	5	default				1.4380
M3	SRR11558946	5	relaxed	1.5932	3.5259		1.4380
M3	SRR11558946	10	default	1.3337	7.1331		1.4380
M3	SRR11558946	10	relaxed	1.3337	7.1331		1.4380
M2	SRR11558949	0.5	default				1.5100
M2	SRR11558949	0.5	relaxed	0.0000	1.0000		1.5100
M2	SRR11558949	1	default				1.5100
M2	SRR11558949	1	relaxed	1.8340	1.4625		1.5100
M2	SRR11558949	2	default				1.5100
M2	SRR11558949	2	relaxed	1.8439	1.9772		1.5100
M2	SRR11558949	5	default				1.5100
M2	SRR11558949	5	relaxed	1.6765	3.6376		1.5100
M2	SRR11558949	10	default	1.5188	6.2992		1.5100
M2	SRR11558949	10	relaxed	1.5188	6.2992		1.5100
RUN_OUT	SRR11558950	0.5	default				
RUN_OUT	SRR11558950	0.5	relaxed	0.0000	1.0000		
RUN_OUT	SRR11558950	1	default				
RUN_OUT	SRR11558950	1	relaxed	1.1329	1.4772		
RUN_OUT	SRR11558950	2	default				
RUN_OUT	SRR11558950	2	relaxed	0.6461	2.0438		
RUN_OUT	SRR11558950	5	default				
RUN_OUT	SRR11558950	5	relaxed	0.2406	4.2000		
RUN_OUT	SRR11558950	10	default	0.2306	7.5739		
RUN_OUT	SRR11558950	10	relaxed	0.2306	7.5739		
M27	SRR11558953	0.5	default				0.3992
M27	SRR11558953	0.5	relaxed	0.0000	1.0000		0.3992
M27	SRR11558953	1	default				0.3992
M27	SRR11558953	1	relaxed	1.0131	1.3984		0.3992
M27	SRR11558953	2	default				0.3992
M27	SRR11558953	2	relaxed	0.6476	1.8931		0.3992
M27	SRR11558953	5	default				0.3992
M27	SRR11558953	5	relaxed	0.7553	4.0648		0.3992
M27	SRR11558953	10	default	0.5423	7.6674		0.3992
M27	SRR11558953	10	relaxed	0.5423	7.6674		0.3992
M25	SRR11558957	0.5	default				0.4346
M25	SRR11558957	0.5	relaxed	0.0000	1.0000		0.4346
M25	SRR11558957	1	default				0.4346
M25	SRR11558957	1	relaxed	1.4379	1.4348		0.4346
M25	SRR11558957	2	default				0.4346
M25	SRR11558957	2	relaxed	0.9518	1.9640		0.4346
M25	SRR11558957	5	default				0.4346
