medium	srr	cov	log2ptr	est_cov	pass_qc	growth_rate
M6	SRR11558945	0.5	0.7202032279	0.2030861253	False	1.3549
M3	SRR11558946	0.5	0.2666204967	0.2034253932	False	1.4380
M2	SRR11558949	0.5	0.7584869459	0.3536616171	False	1.5100
RUN_OUT	SRR11558950	0.5	0.1116123776	0.2834269343	False	
M27	SRR11558953	0.5	0.08848439885	0.198710579	False	0.3992
M25	SRR11558957	0.5			False	0.4346
M24	SRR11558960	0.5	0.2122091931	0.1894258933	False	0.4648
M22	SRR11558963	0.5	0.0697403548	0.2104702509	False	0.4892
M23	SRR11558964	0.5			False	0.4770
M19	SRR11558965	0.5	0.1762005922	0.3547221793	False	0.5776
M18	SRR11558969	0.5			False	0.7413
M17	SRR11558970	0.5	0.3570006956	0.301869219	False	0.7440
M13	SRR11558973	0.5			False	0.8612
M12	SRR11558976	0.5	0.2813077363	0.3025413117	False	1.0220
M1	SRR11558977	0.5			False	1.7207
M10	SRR11558980	0.5			False	1.1500
M4	SRR11558983	0.5	0.563053869	0.2406353575	False	1.3718
M6	SRR11558945	1	0.9905167162	0.3997030095	False	1.3549
M3	SRR11558946	1	1.172166443	0.3910787881	False	1.4380
M2	SRR11558949	1	1.325989818	0.4987072848	False	1.5100
RUN_OUT	SRR11558950	1	0.05016098142	0.427305607	False	
M27	SRR11558953	1	0.5310899888	0.3857318731	False	0.3992
M25	SRR11558957	1	0.5760208483	0.4372886658	False	0.4346
M24	SRR11558960	1	0.4127937936	0.3940567553	False	0.4648
M22	SRR11558963	1	0.6315363894	0.4247582688	False	0.4892
M23	SRR11558964	1	0.3092857988	0.4007600886	False	0.4770
M19	SRR11558965	1	0.697290884	0.4810701627	False	0.5776
M18	SRR11558969	1	0.894079664	0.400974269	False	0.7413
M17	SRR11558970	1	0.7332802772	0.4451369296	False	0.7440
M13	SRR11558973	1	0.7485087866	0.3923908952	False	0.8612
M12	SRR11558976	1	1.122499793	0.4344307608	False	1.0220
M1	SRR11558977	1	1.334940555	0.420494826	False	1.7207
M10	SRR11558980	1	0.783865697	0.3946027729	False	1.1500
M4	SRR11558983	1	1.017744591	0.4571716413	False	1.3718
M6	SRR11558945	2	1.106507008	0.7774938089	False	1.3549
M3	SRR11558946	2	1.348066024	0.7772310448	False	1.4380
M2	SRR11558949	2	1.486652798	0.9071170498	False	1.5100
RUN_OUT	SRR11558950	2			False	
M27	SRR11558953	2	0.2581029403	0.7673486838	False	0.3992
M25	SRR11558957	2	0.5081811821	0.7956565045	False	0.4346
M24	SRR11558960	2	0.3465556359	0.7838434083	False	0.4648
M22	SRR11558963	2	0.7090630319	0.8237230793	False	0.4892
M23	SRR11558964	2	0.4087357215	0.7863491872	False	0.4770
M19	SRR11558965	2	0.4548462042	0.8760923727	False	0.5776
M18	SRR11558969	2	0.7757156476	0.7970603751	False	0.7413
M17	SRR11558970	2	0.5297018017	0.8569658203	False	0.7440
M13	SRR11558973	2	0.7909787606	0.8006118178	False	0.8612
M12	SRR11558976	2	0.8424810709	0.8500443058	False	1.0220
M1	SRR11558977	2	1.607402914	0.764399252	False	1.7207
M10	SRR11558980	2	1.009191082	0.7852383572	False	1.1500
M4	SRR11558983	2	1.24898848	0.8652133881	False	1.3718
M6	SRR11558945	5	1.411753149	1.931148648	True	1.3549
M3	SRR11558946	5	1.465408228	1.941224349	True	1.4380
M2	SRR11558949	5	1.509161195	2.162418822	False	1.5100
RUN_OUT	SRR11558950	5	0.02369154171	2.063134337	True	
M27	SRR11558953	5	0.5772769729	1.952221534	True	0.3992
M25	SRR11558957	5	0.5579017344	1.980905096	True	0.4346
M24	SRR11558960	5	0.6227763127	1.927327649	True	0.4648
M22	SRR11558963	5	0.6881258971	2.020477882	True	0.4892
M23	SRR11558964	5	0.5556074695	1.954921676	True	0.4770
M19	SRR11558965	5	0.8308368141	1.889758383	True	0.5776
M18	SRR11558969	5	0.8789323831	1.953283478	True	0.7413
M17	SRR11558970	5	0.6683310363	2.045376095	True	0.7440
M13	SRR11558973	5	0.9770108016	1.945074451	True	0.8612
M12	SRR11558976	5	1.094874491	2.041320807	True	1.0220
M1	SRR11558977	5	1.690679746	1.942255544	True	1.7207
M10	SRR11558980	5	1.172298903	1.916320836	True	1.1500
M4	SRR11558983	5	1.442178545	2.090390093	True	1.3718
M6	SRR11558945	10	1.436897035	3.865347327	True	1.3549
M3	SRR11558946	10	1.562762094	3.839000974	True	1.4380
M2	SRR11558949	10	1.795040212	4.156127829	True	1.5100
RUN_OUT	SRR11558950	10	0.04432152363	4.105658212	True	
M27	SRR11558953	10	0.5187575623	3.893368023	True	0.3992
M25	SRR11558957	10	0.6688215712	3.915713514	True	0.4346
M24	SRR11558960	10	0.6478856997	3.87776716	True	0.4648
M22	SRR11558963	10	0.7011182506	3.905587518	True	0.4892
M23	SRR11558964	10	0.5762313714	3.897216136	True	0.4770
M19	SRR11558965	10	0.8526645152	3.569708133	True	0.5776
M18	SRR11558969	10	0.8323717222	3.90247934	True	0.7413
M17	SRR11558970	10	0.6880647109	4.035087414	True	0.7440
M13	SRR11558973	10	1.014557138	3.889346423	True	0.8612
M12	SRR11558976	10	1.173450571	4.002284047	True	1.0220
M1	SRR11558977	10	1.773022972	3.849734225	True	1.7207
M10	SRR11558980	10	1.249442266	3.864787254	True	1.1500
M4	SRR11558983	10	1.512248274	4.10739342	True	1.3718
