medium	srr	log2ptr_new	log2ptr_committed	log2ptr_f1_A_k16_0.5x	growth_rate
M6	SRR11558945	0.9218	0.9879	0.6861	1.3549
M3	SRR11558946	0.9974	1.2354	0.5195	1.438
M2	SRR11558949	1.1345	1.1591	1.0547	1.51
RUN_OUT	SRR11558950	0.3008	0.3453	0.3788	
M27	SRR11558953	0.2477	0.3179	0.2825	0.3992
M25	SRR11558957	0.5203	0.6513	0.3353	0.4346
M24	SRR11558960	0.477	0.8771	0.6201	0.4648
M22	SRR11558963	0.4084	0.4759	0.3904	0.4892
M23	SRR11558964	0.379	0.4438	0.4431	0.477
M19	SRR11558965	0.2696	0.6831	0.4708	0.5776
M18	SRR11558969	0.6668	0.7281	0.599	0.7413
M17	SRR11558970	0.5815	0.7574	0.6095	0.744
M13	SRR11558973	0.5726	0.5886	0.545	0.8612
M12	SRR11558976	0.8384	0.8791	0.3977	1.022
M1	SRR11558977	1.0825	1.3383	0.4581	1.7207
M10	SRR11558980	0.672	0.8496	0.6337	1.15
M4	SRR11558983	1.0363	1.1913	0.8939	1.3718
