arm	medium	cov	log2ptr	est_cov	passed	growth_rate	pred_log2ptr
A	M10	0.5000	0.6720	0.5646	False	1.1500	1.2108
A	M10	10.0000	1.2444	8.1764	True	1.1500	1.2108
A	M10	1.0000	0.7143	0.9344	False	1.1500	1.2108
A	M10	2.0000	0.9960	1.7650	True	1.1500	1.2108
A	M10	5.0000	1.1481	4.1130	True	1.1500	1.2108
A	M12	0.5000	0.8384	0.5914	False	1.0220	1.1568
A	M12	10.0000	1.2243	8.2796	True	1.0220	1.1568
A	M12	1.0000	0.9269	0.9693	False	1.0220	1.1568
A	M12	2.0000	1.0429	1.7623	False	1.0220	1.1568
A	M12	5.0000	1.2606	4.1962	True	1.0220	1.1568
A	M13	0.5000	0.5726	0.5865	False	0.8612	1.0326
A	M13	10.0000	1.0082	8.1837	True	0.8612	1.0326
A	M13	1.0000	0.6849	0.9312	False	0.8612	1.0326
A	M13	2.0000	0.8863	1.7225	True	0.8612	1.0326
A	M13	5.0000	1.0093	4.1310	True	0.8612	1.0326
A	M17	0.5000	0.5815	0.6427	False	0.7440	0.7020
A	M17	10.0000	0.6810	8.4576	True	0.7440	0.7020
A	M17	1.0000	0.4391	1.0022	False	0.7440	0.7020
A	M17	2.0000	0.5843	1.8083	False	0.7440	0.7020
A	M17	5.0000	0.7153	4.2346	True	0.7440	0.7020
A	M18	0.5000	0.6668	0.5552	False	0.7413	0.8578
A	M18	10.0000	0.8397	8.2117	True	0.7413	0.8578
A	M18	1.0000	0.6840	0.9173	False	0.7413	0.8578
A	M18	2.0000	0.7953	1.7150	True	0.7413	0.8578
A	M18	5.0000	0.8256	4.1456	True	0.7413	0.8578
A	M19	0.5000	0.2696	0.6850	False	0.5776	0.8862
A	M19	10.0000	0.9363	7.5036	True	0.5776	0.8862
A	M19	1.0000	0.3952	1.0118	False	0.5776	0.8862
A	M19	2.0000	0.6486	1.6491	False	0.5776	0.8862
A	M19	5.0000	0.8547	3.8167	True	0.5776	0.8862
A	M1	0.5000	1.0825	0.5187	False	1.7207	1.7250
A	M1	10.0000	1.8139	8.0699	True	1.7207	1.7250
A	M1	1.0000	1.4969	0.8890	False	1.7207	1.7250
A	M1	2.0000	1.7153	1.6605	True	1.7207	1.7250
A	M1	5.0000	1.7538	4.0976	True	1.7207	1.7250
A	M22	0.5000	0.4084	0.5305	False	0.4892	0.7233
A	M22	10.0000	0.7637	8.3336	True	0.4892	0.7233
A	M22	1.0000	0.6214	0.9194	False	0.4892	0.7233
A	M22	2.0000	0.6968	1.7608	True	0.4892	0.7233
A	M22	5.0000	0.7035	4.1788	True	0.4892	0.7233
A	M23	0.5000	0.3790	0.5362	False	0.4770	0.5420
A	M23	10.0000	0.5638	8.1921	True	0.4770	0.5420
A	M23	1.0000	0.1728	0.8710	False	0.4770	0.5420
A	M23	2.0000	0.5285	1.7271	False	0.4770	0.5420
A	M23	5.0000	0.5572	4.1104	True	0.4770	0.5420
A	M24	0.5000	0.4770	0.4940	False	0.4648	0.6861
A	M24	10.0000	0.6442	8.1385	True	0.4648	0.6861
A	M24	1.0000	0.4393	0.8344	False	0.4648	0.6861
A	M24	2.0000	0.7709	1.6423	False	0.4648	0.6861
A	M24	5.0000	0.6336	4.0967	True	0.4648	0.6861
A	M25	0.5000	0.5203	0.4779	False	0.4346	0.6425
A	M25	10.0000	0.6438	8.3514	True	0.4346	0.6425
A	M25	1.0000	0.5347	0.9152	False	0.4346	0.6425
A	M25	2.0000	0.6466	1.6824	True	0.4346	0.6425
A	M25	5.0000	0.6305	4.2364	True	0.4346	0.6425
A	M27	0.5000	0.2477	0.4779	False	0.3992	0.5526
A	M27	10.0000	0.5201	8.2023	True	0.3992	0.5526
A	M27	1.0000	0.2132	0.8644	False	0.3992	0.5526
A	M27	2.0000	0.4461	1.6301	True	0.3992	0.5526
A	M27	5.0000	0.5198	4.1001	False	0.3992	0.5526
A	M2	0.5000	1.1345	0.6468	False	1.5100	1.6844
A	M2	10.0000	1.8026	8.4586	False	1.5100	1.6844
A	M2	1.0000	1.3414	1.0872	False	1.5100	1.6844
A	M2	2.0000	1.4635	1.8862	False	1.5100	1.6844
A	M2	5.0000	1.8053	4.4871	True	1.5100	1.6844
A	M3	0.5000	0.9974	0.5480	False	1.4380	1.4630
A	M3	10.0000	1.5036	8.0547	True	1.4380	1.4630
A	M3	1.0000	1.2064	0.9171	False	1.4380	1.4630
A	M3	2.0000	1.3422	1.6827	True	1.4380	1.4630
A	M3	5.0000	1.5049	4.0524	True	1.4380	1.4630
A	M4	0.5000	1.0363	0.6684	False	1.3718	1.5315
A	M4	10.0000	1.5485	8.7004	True	1.3718	1.5315
A	M4	1.0000	0.8255	1.0799	False	1.3718	1.5315
A	M4	2.0000	1.2190	1.8608	False	1.3718	1.5315
A	M4	5.0000	1.3950	4.3545	True	1.3718	1.5315
A	M6	0.5000	0.9218	0.5540	False	1.3549	1.3298
A	M6	10.0000	1.3471	8.0790	True	1.3549	1.3298
A	M6	1.0000	1.0320	0.9258	False	1.3549	1.3298
A	M6	2.0000	1.2044	1.6909	True	1.3549	1.3298
A	M6	5.0000	1.3170	4.0550	True	1.3549	1.3298
A	RUN_OUT	0.5000	0.3008	0.5261	False		
A	RUN_OUT	10.0000	0.0639	8.6760	False		
A	RUN_OUT	1.0000	0.1104	0.9215	False		
A	RUN_OUT	2.0000	0.1067	1.7606	False		
A	RUN_OUT	5.0000	0.0611	4.2949	False		
B	M10	0.5000	1.873695988	0.5672378597	False	1.1500	1.2108
B	M10	10.0000	1.190833348	8.176410504	True	1.1500	1.2108
B	M10	1.0000	1.266801436	0.9505868568	False	1.1500	1.2108
B	M10	2.0000	1.016815635	1.765012349	True	1.1500	1.2108
B	M10	5.0000	1.196552754	4.11296252	True	1.1500	1.2108
B	M12	0.5000	1.88458396	0.5905719262	False	1.0220	1.1568
B	M12	10.0000	1.310185411	8.279563822	True	1.0220	1.1568
B	M12	1.0000	1.472356947	0.9822429362	False	1.0220	1.1568
B	M12	2.0000	1.287349401	1.762298694	False	1.0220	1.1568
B	M12	5.0000	1.330105432	4.196206004	True	1.0220	1.1568
B	M13	0.5000	1.920624867	0.586530941	False	0.8612	1.0326
B	M13	10.0000	0.9979014615	8.183668524	True	0.8612	1.0326
B	M13	1.0000	1.275724036	0.9312003752	False	0.8612	1.0326
B	M13	2.0000	1.069212342	1.722488126	False	0.8612	1.0326
B	M13	5.0000	1.046698678	4.130957207	True	0.8612	1.0326
B	M17	0.5000	1.721998246	0.652034419	False	0.7440	0.7020
B	M17	10.0000	0.7839722686	8.457624806	False	0.7440	0.7020
B	M17	1.0000	1.090164077	0.9986630219	False	0.7440	0.7020
B	M17	2.0000	0.9442316876	1.808256326	False	0.7440	0.7020
B	M17	5.0000	0.7820078077	4.234591438	True	0.7440	0.7020
B	M18	0.5000	1.687172729	0.5635255581	False	0.7413	0.8578
B	M18	10.0000	0.8375012927	8.211686482	True	0.7413	0.8578
B	M18	1.0000	1.318353584	0.9173371539	False	0.7413	0.8578
B	M18	2.0000	0.989723367	1.715045208	False	0.7413	0.8578
B	M18	5.0000	0.844841405	4.145572638	True	0.7413	0.8578
B	M19	0.5000	2.063141869	0.6769206307	False	0.5776	0.8862
B	M19	10.0000	1.201256567	7.503633458	True	0.5776	0.8862
