sample	srr	genome_id	genome	n_anchors	m_B	m_C	sd_loge_obs	pois_sd	sigma_eff	med_e
S01	SRR13371683	1682	MGYG000001763	248	1618.0300	205.7700	2.2709	0.0740	2.2697	0.5138
S01	SRR13371683	546	MGYG000000553	70	4040.1700	553.1300	2.0559	0.0453	2.0554	1.8261
S01	SRR13371683	2838	MGYG000002960	83	4291.8200	1254.9200	2.0061	0.0321	2.0059	1.2825
S01	SRR13371683	214	MGYG000000215	1802	1880.4100	354.5300	1.9927	0.0579	1.9918	0.3057
S01	SRR13371683	2190	MGYG000002293	1115	11985.8800	2999.2900	1.9588	0.0204	1.9586	0.5574
S01	SRR13371683	635	MGYG000000644	94	5362.8700	1321.4900	1.8993	0.0307	1.8990	1.2373
S01	SRR13371683	271	MGYG000000272	1195	3629.3600	970.4200	1.8817	0.0361	1.8813	0.4402
S01	SRR13371683	2496	MGYG000002603	104	5595.9100	1378.5500	1.8470	0.0301	1.8468	0.9584
S01	SRR13371683	2892	MGYG000003017	95	261.6800	64.1900	1.8390	0.1393	1.8337	0.3525
S01	SRR13371683	4264	MGYG000004456	140	6233.5600	1546.9400	1.7973	0.0284	1.7971	1.0074
S01	SRR13371683	2716	MGYG000002834	104	4314.2100	822.8800	1.7231	0.0380	1.7226	1.3107
S01	SRR13371683	3518	MGYG000003693	719	533.0700	143.0800	1.7218	0.0942	1.7192	0.4894
S01	SRR13371683	1887	MGYG000001977	92	201.9300	54.2800	1.7088	0.1529	1.7019	0.7536
S01	SRR13371683	1983	MGYG000002080	95	6363.3900	1602.8100	1.6827	0.0279	1.6825	0.9925
S01	SRR13371683	1280	MGYG000001346	1444	420.2200	104.0000	1.6683	0.1095	1.6647	0.4530
S01	SRR13371683	224	MGYG000000225	1502	280.8000	57.1900	1.6688	0.1451	1.6625	0.3529
S01	SRR13371683	189	MGYG000000190	826	244.1800	69.7300	1.6621	0.1358	1.6565	0.4402
S01	SRR13371683	272	MGYG000000273	1094	341.8700	86.2800	1.6509	0.1205	1.6465	0.3982
S01	SRR13371683	1298	MGYG000001364	187	441.1300	163.9700	1.6443	0.0915	1.6418	0.3104
S01	SRR13371683	4134	MGYG000004323	848	299.7500	80.2100	1.6357	0.1257	1.6308	0.4132
S01	SRR13371683	3522	MGYG000003697	100	4900.8800	1218.9200	1.6305	0.0320	1.6302	1.0052
S01	SRR13371683	4560	MGYG000004768	65	247.4500	53.0500	1.6176	0.1513	1.6105	0.5183
S01	SRR13371683	1241	MGYG000001306	1048	276.3500	80.2000	1.5998	0.1268	1.5947	0.4717
S01	SRR13371683	127	MGYG000000128	107	237.9800	46.7700	1.5993	0.1600	1.5913	0.3483
S01	SRR13371683	2557	MGYG000002670	90	104.5000	20.1800	1.5969	0.2432	1.5782	0.5491
S01	SRR13371683	56	MGYG000000057	175	224.8200	62.9200	1.5543	0.1426	1.5477	0.5104
S01	SRR13371683	53	MGYG000000054	72	214.1900	94.1500	1.5208	0.1237	1.5158	0.7242
S01	SRR13371683	1306	MGYG000001372	159	104.1400	30.6500	1.5280	0.2055	1.5141	0.4307
S01	SRR13371683	242	MGYG000000243	1013	158.0800	43.7000	1.5210	0.1709	1.5113	0.4582
S01	SRR13371683	40	MGYG000000041	443	151.5300	48.7500	1.5183	0.1647	1.5094	0.4512
S01	SRR13371683	195	MGYG000000196	1382	142.5300	42.4700	1.4913	0.1748	1.4810	0.5575
S01	SRR13371683	583	MGYG000000591	62	106.5000	34.9000	1.4846	0.1950	1.4717	0.5728
S01	SRR13371683	2335	MGYG000002438	1378	120.3700	36.0200	1.4652	0.1899	1.4528	0.5119
S01	SRR13371683	2178	MGYG000002281	158	101.9700	36.0900	1.4454	0.1937	1.4324	0.6378
S01	SRR13371683	43	MGYG000000044	1318	113.6900	31.4500	1.4447	0.2015	1.4306	0.4888
S01	SRR13371683	2437	MGYG000002540	969	97.2000	27.2300	1.4458	0.2168	1.4294	0.4533
S01	SRR13371683	1299	MGYG000001365	470	111.2900	30.3200	1.4421	0.2048	1.4275	0.4731
S01	SRR13371683	4062	MGYG000004250	113	130.2300	51.7900	1.4314	0.1643	1.4219	0.6608
S01	SRR13371683	2375	MGYG000002478	510	108.2000	64.4100	1.4290	0.1574	1.4203	0.3272
S01	SRR13371683	494	MGYG000000501	51	234.5300	78.2000	1.4225	0.1306	1.4165	0.7623
S01	SRR13371683	4589	MGYG000004797	159	77.2300	21.2500	1.4347	0.2450	1.4136	0.5254
S01	SRR13371683	2389	MGYG000002492	430	82.7800	26.9300	1.4245	0.2219	1.4071	0.5384
S01	SRR13371683	3506	MGYG000003681	1154	116.7800	32.2200	1.4204	0.1990	1.4064	0.4922
S01	SRR13371683	1874	MGYG000001964	56	88.3900	22.9800	1.3845	0.2341	1.3646	0.8919
S01	SRR13371683	3994	MGYG000004180	98	52.1100	25.5100	1.3829	0.2416	1.3616	0.4731
S01	SRR13371683	3295	MGYG000003458	51	229.0600	79.0400	1.3464	0.1305	1.3401	0.6777
S01	SRR13371683	1938	MGYG000002033	84	57.7100	23.4500	1.3356	0.2449	1.3129	0.5596
S01	SRR13371683	59	MGYG000000060	149	46.0000	20.2200	1.3369	0.2668	1.3100	0.6319
S01	SRR13371683	2602	MGYG000002717	56	55.6800	20.2000	1.3189	0.2598	1.2931	0.5207
S01	SRR13371683	1689	MGYG000001770	60	2611.0000	573.5800	1.2854	0.0461	1.2846	1.5442
S01	SRR13371683	3196	MGYG000003351	166	67.1300	22.5900	1.2925	0.2432	1.2695	0.7208
S01	SRR13371683	2181	MGYG000002284	123	64.1300	24.4300	1.2814	0.2378	1.2592	0.5706
S06	SRR13371682	1682	MGYG000001763	256	1894.9100	283.9800	2.1129	0.0636	2.1119	0.7085
S06	SRR13371682	2496	MGYG000002603	92	3896.5400	1003.9300	1.9447	0.0354	1.9444	0.7362
S06	SRR13371682	214	MGYG000000215	1801	1925.7000	333.0200	1.8925	0.0593	1.8916	0.4200
S06	SRR13371682	2838	MGYG000002960	71	3591.3900	1045.3400	1.8400	0.0351	1.8397	1.1452
S06	SRR13371682	683	MGYG000000695	50	2969.3200	617.0000	1.8255	0.0442	1.8250	1.6042
S06	SRR13371682	4264	MGYG000004456	131	4730.0000	1116.2600	1.7649	0.0333	1.7646	0.8475
S06	SRR13371682	2190	MGYG000002293	1154	10976.5000	2932.2900	1.7620	0.0208	1.7618	0.5371
S06	SRR13371682	2486	MGYG000002592	95	188.1500	30.1800	1.7018	0.1961	1.6905	0.8906
S06	SRR13371682	546	MGYG000000553	67	3161.8500	486.4800	1.6858	0.0487	1.6851	1.6249
S06	SRR13371682	4460	MGYG000004658	94	212.4400	36.0500	1.6761	0.1801	1.6664	0.7684
S06	SRR13371682	137	MGYG000000138	91	398.3000	64.7000	1.6708	0.1340	1.6654	0.6643
S06	SRR13371682	271	MGYG000000272	1162	2598.1200	659.3200	1.6335	0.0436	1.6330	0.5132
S06	SRR13371682	4495	MGYG000004698	72	216.1100	47.7600	1.6387	0.1599	1.6309	0.4397
S06	SRR13371682	4589	MGYG000004797	177	324.7400	74.7200	1.6293	0.1283	1.6242	0.6405
S06	SRR13371682	272	MGYG000000273	1194	992.5900	241.4400	1.6220	0.0718	1.6204	0.5097
S06	SRR13371682	2658	MGYG000002773	88	1042.1100	287.1500	1.6213	0.0666	1.6199	0.7916
S06	SRR13371682	1343	MGYG000001410	2235	338.1900	50.6100	1.6255	0.1507	1.6185	0.3552
S06	SRR13371682	2452	MGYG000002556	1911	372.4300	66.1900	1.6115	0.1334	1.6059	0.4265
S06	SRR13371682	986	MGYG000001029	542	345.8500	64.2300	1.6058	0.1359	1.6000	0.4121
S06	SRR13371682	2716	MGYG000002834	99	2956.3100	805.8800	1.5955	0.0397	1.5951	0.9637
S06	SRR13371682	3518	MGYG000003693	664	353.0500	91.1300	1.5956	0.1175	1.5912	0.5634
S06	SRR13371682	2389	MGYG000002492	496	528.8900	165.7100	1.5901	0.0890	1.5876	0.6019
S06	SRR13371682	4560	MGYG000004768	70	427.1700	67.4100	1.5894	0.1311	1.5839	0.5130
S06	SRR13371682	73	MGYG000000074	2474	234.0400	41.9000	1.5785	0.1677	1.5696	0.3917
S06	SRR13371682	1298	MGYG000001364	110	407.6500	87.8600	1.5731	0.1176	1.5687	0.5558
S06	SRR13371682	2375	MGYG000002478	1024	409.8500	116.7700	1.5587	0.1049	1.5552	0.6564
S06	SRR13371682	2557	MGYG000002670	110	507.7900	134.2900	1.5523	0.0970	1.5493	0.6825
S06	SRR13371682	1353	MGYG000001420	107	223.4700	40.3900	1.5527	0.1710	1.5433	0.4574
S06	SRR13371682	43	MGYG000000044	1191	261.5500	62.2600	1.5428	0.1410	1.5363	0.5197
S06	SRR13371682	1887	MGYG000001977	99	130.0600	33.6400	1.5408	0.1934	1.5286	0.6751
S06	SRR13371682	2679	MGYG000002794	393	159.8500	29.4900	1.5371	0.2004	1.5240	0.4197
S06	SRR13371682	1013	MGYG000001060	1025	214.5900	56.2100	1.5219	0.1498	1.5145	0.4750
S06	SRR13371682	3519	MGYG000003694	772	171.7000	49.1400	1.5198	0.1618	1.5112	0.5706
S06	SRR13371682	4640	MGYG000004848	73	224.6000	36.6700	1.5163	0.1781	1.5059	0.4575
S06	SRR13371682	3522	MGYG000003697	102	4709.2000	1236.5500	1.5045	0.0320	1.5041	1.1467
S06	SRR13371682	2291	MGYG000002394	1202	233.2500	50.9200	1.5083	0.1547	1.5003	0.5259
S06	SRR13371682	3511	MGYG000003686	957	175.0000	26.8900	1.4975	0.2071	1.4831	0.4406
S06	SRR13371682	1280	MGYG000001346	1371	221.7500	52.2900	1.4895	0.1537	1.4815	0.5949
S06	SRR13371682	2600	MGYG000002715	927	135.8900	22.1500	1.4987	0.2291	1.4811	0.4321
S06	SRR13371682	1983	MGYG000002080	92	2946.3500	804.7200	1.4552	0.0398	1.4546	1.1813
S06	SRR13371682	2181	MGYG000002284	135	106.3500	35.7300	1.4580	0.1934	1.4451	0.6779
S06	SRR13371682	2292	MGYG000002395	1250	101.5200	24.3500	1.4449	0.2257	1.4272	0.4750
S06	SRR13371682	2169	MGYG000002272	749	113.7200	21.5700	1.4232	0.2349	1.4037	0.5273
S06	SRR13371682	635	MGYG000000644	88	3312.1800	1188.0900	1.3836	0.0338	1.3832	1.0715
S06	SRR13371682	3823	MGYG000004003	82	210.4400	61.3900	1.3895	0.1451	1.3819	1.0522
S06	SRR13371682	2335	MGYG000002438	1514	131.3800	34.3300	1.3881	0.1917	1.3748	0.5765
S06	SRR13371682	3506	MGYG000003681	1248	123.4800	32.2300	1.3796	0.1978	1.3654	0.5511
S06	SRR13371682	1689	MGYG000001770	65	1542.9400	493.5200	1.3394	0.0517	1.3384	1.0421
S06	SRR13371682	2178	MGYG000002281	116	67.7800	24.0900	1.3388	0.2372	1.3176	0.6405
S06	SRR13371682	3289	MGYG000003452	137	70.9600	21.1100	1.3265	0.2479	1.3032	0.6548
S06	SRR13371682	56	MGYG000000057	202	122.4900	36.8800	1.3131	0.1878	1.2996	0.7013
