# block: (a) Sun fecal cohort (PRJNA689204): cross-method agreement on the WGS arms
comparison	sample	n	pearson_r	ccc	bias	loa_lo	loa_hi	sk2bgrow_wgs_range	comparator_range
A_default_vs_B	S01	58	0.4308	0.3133	0.2473	-0.4185	0.9131	0.04..1.45	0.32..1.74
A_default_vs_B	S06	68	0.3439	0.2526	0.2215	-0.445	0.888	0.01..1.45	0.28..1.23
A_default_vs_B	S07	78	0.5054	0.3681	0.2246	-0.4331	0.8824	0.03..1.49	0.30..1.36
A_gatesoff_vs_B	S01	381	0.0952	0.0705	-0.9325	-6.3628	4.4979	0.00..15.86	0.00..13.70
A_gatesoff_vs_B	S06	459	0.0053	0.0031	-1.1532	-7.8117	5.5053	0.01..35.46	0.00..8.00
A_gatesoff_vs_B	S07	403	0.0463	0.0262	-1.2375	-7.5615	5.0866	0.00..27.21	0.00..10.85

# block: (b) Same cohort, in-silico vs real 2bRAD library (same method, two preparations)
arm	sample	n	pearson_r	ccc	bias	loa_lo	loa_hi	sk2bgrow_wgs_range	comparator_range
real 2bRAD, deduped	S01	18	0.2968	0.1857	-0.7296	-4.4458	2.9865	0.08..7.73	0.04..2.55
real 2bRAD, deduped	S06	18	0.4355	0.1915	-1.2105	-6.4515	4.0304	0.14..10.84	0.05..2.33
real 2bRAD, deduped	S07	20	0.6036	0.3081	-0.6306	-5.5676	4.3064	0.03..10.45	0.17..3.16
real 2bRAD, deduped	ALL	56	0.4553	0.2376	-0.8488	-5.4778	3.7801	0.03..10.84	0.04..3.16
real 2bRAD, raw	S01	8	0.449	0.44	-0.23				
real 2bRAD, raw	S06	10	0.797	0.728	0.6				
real 2bRAD, raw	S07	16	0.734	0.566	0.62				

# block: (b, cont.) Per-anchor capture efficiency (route-B characterization)
metric	value	note
sigma_eff, raw per-anchor dispersion	1.53	first per-anchor capture-efficiency measurement for 2bRAD
ICC-correctable fraction, median (IQR)	0.748 (0.679-0.816)	between/(between+within), Poisson-corrected; 21 species with >=30 shared anchors across the 3 samples
residual sigma_eff after e_prior, median	0.699	within-batch; window averaging (/sqrt(99)) dilutes it to ~0.07-0.10 on the gradient scale

# block: (c) C5 rotating biological contactor (PRJNA974210, 9 samples, 522 MAGs)
metric	value	note
legacy sk2bgrow reported_fraction	1.00 (522/522)	no output gate; a denominator artifact, never a performance claim
legacy sk2bgrow estimate_fraction	0.989-1.000	19 rows carry no PTR estimate (coverage NaN, 0 QC pass)
legacy sk2bgrow qc_recall	3.8-13.8% (20-72 of 522)	former sorted-fallback statistics, not current-default behavior
Pilea default reported	5.0-11.1% (26-58 of 522)	overlaps legacy sk2bgrow qc_recall almost exactly
common denominator	Pilea-default MAGs are a strict subset of sk2bgrow outputs; sk2bgrow QC passes 15-36 of 26-58 on it	c5_common_denominator.tsv
legacy QC pass vs MAG fragmentation	Spearman rho -0.41 vs n_contigs; -0.34 controlling mean coverage	legacy result; coverage is the strongest single predictor and the two effects are partially entangled
cost vs Pilea, per sample	89.5-240.8x at mm=2; 4.0-12.8x (median 8.1x) at mm=1	both measured against Pilea defaults; mm=1 loses a median 4.4% of detected anchors and no genome on all nine samples
current auto-policy refusion QC	26 of 4698 observations; 1-6 per sample	current code refuses unsafe sorted-rank fallback on fragmented MAGs
current QC vs fragmentation	contigs rho -0.21 (-0.18 coverage-partial); completeness rho 0.16 (0.12)	attenuated legacy association; current QC recall is too sparse for the former real-MAG QC validation claim
explicit sorted-policy refusion QC	108 of 4698 observations; 2-30 per sample	contigs rho 0.04 (0.08 coverage-partial); current code, fallback selected deliberately
