estimator	landmark_source	depth	shared_fraction	n	bias	rmse	correlation	bias_lo	rmse_lo	corr_lo	bias_hi	rmse_hi	corr_hi
coordinate_vfit	coordinate_grid	0.5	0	1800	-0.014472	0.120744	0.979249	-0.029818	0.0758191	0.962336	-0.00342904	0.163332	0.991587
coordinate_vfit	coordinate_grid	0.5	0.05	1800	-0.013946	0.109713	0.983239	-0.0269669	0.080932	0.972852	-0.00517422	0.141479	0.990547
coordinate_vfit	coordinate_grid	0.5	0.15	1800	-0.015685	0.140162	0.973763	-0.0329895	0.101881	0.957644	-0.00211738	0.178155	0.986357
coordinate_vfit	coordinate_grid	1	0	1800	-0.00823429	0.0748595	0.992109	-0.0182689	0.0504152	0.98631	-0.00138609	0.0998049	0.996387
coordinate_vfit	coordinate_grid	1	0.05	1800	-0.00817452	0.0818001	0.990763	-0.0158151	0.0616619	0.98584	-0.00279452	0.101955	0.994707
coordinate_vfit	coordinate_grid	1	0.15	1800	-0.0108218	0.110711	0.982791	-0.019248	0.0821793	0.973588	-0.00321137	0.136276	0.990837
coordinate_vfit	coordinate_grid	2	0	1800	-0.0029895	0.0401528	0.997427	-0.00701055	0.0306885	0.995703	-0.000271063	0.0513505	0.998562
coordinate_vfit	coordinate_grid	2	0.05	1800	-0.00276121	0.0540138	0.995756	-0.00533937	0.0455864	0.994429	-0.000349107	0.061276	0.996964
coordinate_vfit	coordinate_grid	2	0.15	1800	-0.00384896	0.0790492	0.99113	-0.00771071	0.0734694	0.989778	-0.000462725	0.0843561	0.992357
coordinate_vfit	coordinate_grid	4	0	1800	0.000181162	0.0255718	0.999052	-0.0010126	0.0210659	0.998637	0.00149657	0.0307536	0.999353
coordinate_vfit	coordinate_grid	4	0.05	1800	-0.000609007	0.0450994	0.996972	-0.00209229	0.0427573	0.996539	0.000772566	0.0474602	0.997345
coordinate_vfit	coordinate_grid	4	0.15	1800	-0.00167903	0.0728483	0.992958	-0.00311359	0.0688588	0.992222	-6.40899e-05	0.0761468	0.993932
coordinate_vfit	coordinate_grid	8	0	1800	0.000380794	0.0178453	0.999525	-0.000955617	0.0150372	0.999353	0.00175563	0.0207521	0.99967
coordinate_vfit	coordinate_grid	8	0.05	1800	-0.000750107	0.0413391	0.997493	-0.00141064	0.0387647	0.9973	-3.95338e-05	0.0430758	0.997792
coordinate_vfit	coordinate_grid	8	0.15	1800	-0.000883124	0.0681561	0.993779	-0.00237585	0.06279	0.992849	0.000497879	0.0730475	0.994696
coordinate_vfit	random_sketch	0.5	0	1800	-0.0171119	0.123277	0.980374	-0.0334713	0.0780994	0.96471	-0.0059455	0.168201	0.991998
coordinate_vfit	random_sketch	0.5	0.05	1800	-0.832069	0.886129	0.934596	-0.92972	0.698908	0.922357	-0.642064	0.96898	0.945388
coordinate_vfit	random_sketch	0.5	0.15	1800	-1.91109	2.01947	0.822515	-2.14776	1.56813	0.782525	-1.46366	2.22015	0.8583
coordinate_vfit	random_sketch	1	0	1800	-0.00742508	0.0685799	0.993023	-0.0155242	0.0470775	0.987664	-0.0015634	0.0912455	0.996667
coordinate_vfit	random_sketch	1	0.05	1800	-0.984635	1.04852	0.924413	-1.10791	0.811218	0.909065	-0.748498	1.15227	0.934203
coordinate_vfit	random_sketch	1	0.15	1800	-2.28571	2.41363	0.785502	-2.5691	1.87357	0.71908	-1.74694	2.65326	0.837588
coordinate_vfit	random_sketch	2	0	1800	-0.00119036	0.0376494	0.997879	-0.004895	0.0306454	0.996872	0.00151176	0.0454026	0.998626
coordinate_vfit	random_sketch	2	0.05	1800	-1.1474	1.22051	0.898785	-1.28708	0.975241	0.874708	-0.888876	1.33663	0.916599
coordinate_vfit	random_sketch	2	0.15	1800	-2.6649	2.81215	0.734043	-2.98819	2.21786	0.653259	-2.05156	3.08055	0.793782
coordinate_vfit	random_sketch	4	0	1800	0.000129699	0.0244218	0.999113	-0.000759281	0.0200525	0.998737	0.00130144	0.0290423	0.999408
coordinate_vfit	random_sketch	4	0.05	1800	-1.31143	1.39589	0.878653	-1.4707	1.10881	0.854699	-1.01107	1.5258	0.896536
coordinate_vfit	random_sketch	4	0.15	1800	-3.0519	3.22281	0.708394	-3.42807	2.55471	0.638923	-2.34739	3.53199	0.757021
coordinate_vfit	random_sketch	8	0	1800	-3.13522e-05	0.0190624	0.999441	-0.00076302	0.0150633	0.999124	0.000496031	0.0238934	0.999652
coordinate_vfit	random_sketch	8	0.05	1800	-1.47176	1.56505	0.862018	-1.65422	1.23695	0.829522	-1.13135	1.71643	0.884306
coordinate_vfit	random_sketch	8	0.15	1800	-3.44473	3.63576	0.653436	-3.86383	2.85848	0.556437	-2.64239	3.97969	0.724818
sorted_rank	coordinate_grid	0.5	0	1800	0.451424	0.610448	0.770738	0.428515	0.549504	0.663966	0.473765	0.674184	0.871009
