estimator	depth	shared_fraction	n	bias	rmse	correlation
coordinate_vfit	0.5	0	3600	-0.015792	0.122017	0.979811
coordinate_vfit	0.5	0.05	3600	-0.423007	0.631372	0.958917
coordinate_vfit	0.5	0.15	3600	-0.963389	1.43142	0.898139
coordinate_vfit	1	0	3600	-0.00782968	0.0717884	0.992566
coordinate_vfit	1	0.05	3600	-0.496405	0.74367	0.957588
coordinate_vfit	1	0.15	3600	-1.14827	1.70849	0.884147
coordinate_vfit	2	0	3600	-0.00208993	0.0389212	0.997653
coordinate_vfit	2	0.05	3600	-0.575078	0.863875	0.947271
coordinate_vfit	2	0.15	3600	-1.33438	1.98928	0.862587
coordinate_vfit	4	0	3600	0.000155431	0.0250034	0.999083
coordinate_vfit	4	0.05	3600	-0.656022	0.987557	0.937813
coordinate_vfit	4	0.15	3600	-1.52679	2.27945	0.850676
coordinate_vfit	8	0	3600	0.000174721	0.0184639	0.999483
coordinate_vfit	8	0.05	3600	-0.736253	1.10704	0.929756
coordinate_vfit	8	0.15	3600	-1.72281	2.57133	0.823607
sorted_rank	0.5	0	3600	0.460924	0.62216	0.764285
sorted_rank	0.5	0.05	3600	0.544195	0.693412	0.744396
sorted_rank	0.5	0.15	3600	0.701318	0.833907	0.729182
sorted_rank	1	0	3600	0.300158	0.496758	0.82471
sorted_rank	1	0.05	3600	0.361412	0.55213	0.803487
sorted_rank	1	0.15	3600	0.484992	0.638521	0.819489
sorted_rank	2	0	3600	0.167243	0.322253	0.897741
sorted_rank	2	0.05	3600	0.214377	0.366736	0.885524
sorted_rank	2	0.15	3600	0.330478	0.486547	0.851462
sorted_rank	4	0	3600	0.0984089	0.218801	0.950387
sorted_rank	4	0.05	3600	0.136979	0.252182	0.940162
sorted_rank	4	0.15	3600	0.221027	0.333294	0.926571
sorted_rank	8	0	3600	0.0510553	0.13828	0.976519
sorted_rank	8	0.05	3600	0.092441	0.179857	0.968014
sorted_rank	8	0.15	3600	0.157308	0.235984	0.960497
