enzyme	ecoli_measured	ecoli_report	bsubtilis_measured	bsubtilis_report	pputida_measured	pputida_report	max_ratio
AlfI	435.8000	436	237.5000	237	762.4000	760	1.0000
AloI	112.7000	112	104.1000	104	144.0000	143	1.0000
BaeI	171.7000	171	115.5000	116	177.0000	175	1.0000
BcgI	632.3000	632	420.8000	421	1087.4000	1085	1.0000
BplI	83.2000	83	115.3000	115	118.6000	119	1.0000
BsaXI	212.0000	212	337.1000	336	272.6000	272	1.0000
BslFI	577.2000	576	783.8000	784	689.9000	690	1.0000
Bsp24I	352.5000	351	211.4000	211	470.7000	469	1.0000
CjeI	1962.2000	1910	996.3000	983	2064.9000	2012	1.0000
CjePI	1712.1000	1701	1469.5000	1464	1665.2000	1657	1.0000
CspCI	132.1000	132	65.5000	65	142.0000	142	1.0000
FalI	158.3000	158	457.8000	457	208.8000	209	1.0000
HaeIV	1491.7000	745	1514.8000	755	841.2000	420	2.0000
Hin4I	1222.6000	1650	1379.9000	2010	838.7000	1057	0.8000
PpiI	73.5000	73	73.8000	74	137.5000	137	1.0000
PsrI	92.4000	92	83.7000	84	92.7000	93	1.0000
