arm	n_strains	coverage	recall	rmse	bias	seconds	peak_rss_mb
Pilea (defaults)	4	1.0000	0.0000			1.2100	181.6739
Pilea (defaults)	4	2.0000	0.0000			1.1600	192.4710
Pilea (defaults)	4	4.0000	0.0000			1.3000	195.4447
Pilea (defaults)	4	8.0000	1.0000	0.0751	-0.0385	4.8650	199.5899
Pilea (defaults)	8	1.0000	0.0000			1.1850	201.0153
Pilea (defaults)	8	2.0000	0.0000			1.3000	205.2342
Pilea (defaults)	8	4.0000	0.0000			1.8500	212.1401
Pilea (defaults)	8	8.0000	0.9375	0.0795	-0.0376	6.7400	229.2285
Pilea (defaults)	16	1.0000	0.0000			1.5500	229.7364
Pilea (defaults)	16	2.0000	0.0000			1.9700	246.9479
Pilea (defaults)	16	4.0000	0.0000			2.5450	288.6697
Pilea (defaults)	16	8.0000	0.7500	0.0948	-0.0586	8.3400	296.1162
Pilea (gates off)	4	1.0000	1.0000	0.3861	0.2257	21.1250	181.1661
Pilea (gates off)	4	2.0000	1.0000	0.2970	0.2713	21.0600	191.7337
Pilea (gates off)	4	4.0000	1.0000	0.1192	0.0296	14.5150	195.9936
Pilea (gates off)	4	8.0000	1.0000	0.0751	-0.0385	4.6600	193.7490
Pilea (gates off)	8	1.0000	1.0000	0.5347	0.4795	22.0400	201.9901
Pilea (gates off)	8	2.0000	1.0000	0.3395	0.2914	21.6100	206.3401
Pilea (gates off)	8	4.0000	1.0000	0.1699	0.0996	11.6900	211.7796
Pilea (gates off)	8	8.0000	1.0000	0.0761	-0.0352	6.2300	229.0975
Pilea (gates off)	16	1.0000	0.9688	0.6356	0.4386	24.7200	228.4176
Pilea (gates off)	16	2.0000	1.0000	0.2925	0.2363	31.4200	249.4218
Pilea (gates off)	16	4.0000	1.0000	0.1590	0.0795	24.7550	285.0897
Pilea (gates off)	16	8.0000	1.0000	0.0895	-0.0571	8.9550	287.8997
sk2bGrow	4	1.0000	1.0000	0.3891	-0.2983	3.1600	188.8092
sk2bGrow	4	2.0000	1.0000	0.1249	-0.0570	6.2550	187.1463
sk2bGrow	4	4.0000	1.0000	0.1008	0.0144	10.3800	190.1691
sk2bGrow	4	8.0000	1.0000	0.0493	0.0111	20.3200	190.8818
sk2bGrow	8	1.0000	1.0000	0.2440	-0.1664	6.1850	187.3428
sk2bGrow	8	2.0000	1.0000	0.1376	-0.0688	11.0100	190.8818
sk2bGrow	8	4.0000	1.0000	0.1274	0.0490	19.4550	189.5874
sk2bGrow	8	8.0000	1.0000	0.1593	0.0900	38.1300	182.7635
sk2bGrow	16	1.0000	1.0000	0.3715	-0.3090	10.9250	190.8163
sk2bGrow	16	2.0000	1.0000	0.1622	-0.1162	21.0850	188.8256
sk2bGrow	16	4.0000	1.0000	0.0604	-0.0198	40.9150	188.6208
sk2bGrow	16	8.0000	1.0000	0.0908	0.0269	80.3850	185.4178
