coverage	reference	n	pearson_r	rmse	bias	slope	qc_pass	stationary_control
0.5000	complete chromosome	16	0.9132	0.3041	-0.2520	0.6152	0.0000	0.2597
0.5000	100 contigs	16	0.3819	0.8332	-0.7498	0.0819	0.0000	0.1498
0.5000	100 contigs, scaffolded vs itself	16	0.9218	0.3039	-0.2553	0.6319	0.0000	0.2567
0.5000	100 contigs, scaffolded vs a relative	16	0.9211	0.2659	-0.2268	0.6853	0.0000	0.2994
0.5000	100 contigs, Pilea	16		1.1168	-1.0454			0.0000
0.5000	100 contigs, order-free spread MLE	16	0.3079	1.0671	-0.9935	0.1430		0.0000
1.0000	complete chromosome	16	0.9809	0.1568	-0.1302	0.7791	0.0000	0.0771
1.0000	100 contigs	16	0.5499	0.8904	-0.8173	0.1031	0.0000	0.1920
1.0000	100 contigs, scaffolded vs itself	16	0.9828	0.1550	-0.1280	0.7719	0.0000	0.0784
1.0000	100 contigs, scaffolded vs a relative	16	0.9773	0.1517	-0.1173	0.7547	0.0000	0.1128
1.0000	100 contigs, Pilea	16	0.8270	0.5454	0.5082	0.6277		1.1532
1.0000	100 contigs, order-free spread MLE	16	-0.2731	1.1083	-0.9769	-0.1674		0.0000
2.0000	complete chromosome	16	0.9815	0.1278	-0.0783	0.8402	50.0000	0.0971
2.0000	100 contigs	16	0.7739	0.8863	-0.8291	0.2077	75.0000	0.1353
2.0000	100 contigs, scaffolded vs itself	16	0.9857	0.1226	-0.0737	0.8370	50.0000	0.1037
2.0000	100 contigs, scaffolded vs a relative	16	0.9821	0.0990	-0.0464	0.8565	62.5000	0.1228
2.0000	100 contigs, Pilea	16	0.9443	0.3474	0.3335	0.7903		0.6209
2.0000	100 contigs, order-free spread MLE	16	0.3841	0.9138	-0.7119	0.5374		0.0000
5.0000	complete chromosome	16	0.9788	0.0387	0.0013	0.9197	75.0000	0.0601
5.0000	100 contigs	16	0.8710	0.8708	-0.8132	0.1869	100.0000	0.0504
5.0000	100 contigs, scaffolded vs itself	16	0.9808	0.0423	-0.0021	0.9105	62.5000	0.0552
5.0000	100 contigs, scaffolded vs a relative	16	0.9784	0.0528	0.0234	0.9460	81.2500	0.0639
5.0000	100 contigs, Pilea	16	0.9477	0.1161	0.0534	0.8883		0.2553
5.0000	100 contigs, order-free spread MLE	16	0.9175	0.1440	0.0802	0.9216		0.3834
10.0000	complete chromosome	16	0.9684	0.0625	0.0310	0.9506	75.0000	0.0464
10.0000	100 contigs	16	0.8587	0.8616	-0.8075	0.2100	100.0000	0.0588
10.0000	100 contigs, scaffolded vs itself	16	0.9727	0.0559	0.0263	0.9480	68.7500	0.0586
10.0000	100 contigs, scaffolded vs a relative	16	0.9673	0.0859	0.0522	0.9839	87.5000	0.0517
10.0000	100 contigs, Pilea	16	0.9601	0.0774	-0.0307	0.8205		0.2030
10.0000	100 contigs, order-free spread MLE	16	0.8712	0.2266	0.1494	0.9189		0.4575
