genome	gc	mode	tag_len	n_landmarks	n_unique	pairs_le1_uu	pairs_le1_um	pairs_le1_mm	pairs_le2_uu	pairs_le2_um	pairs_le2_mm
g00_Buchnera_aphidicola_Y	26.09	enzyme_k16	25	138	138	0	0	0	0	0	0
g00_Buchnera_aphidicola_Y	26.09	enzyme_k16	27	2291	2291	0	0	0	1	0	0
g00_Buchnera_aphidicola_Y	26.09	enzyme_k16	28	580	580	1	0	0	1	0	0
g00_Buchnera_aphidicola_Y	26.09	enzyme_k16	32	94	94	0	0	0	0	0	0
g00_Buchnera_aphidicola_Y	26.09	enzyme_k16	33	22	22	0	0	0	0	0	0
g00_Buchnera_aphidicola_Y	26.09	fmh_k16matched	31	3109	3109	0	0	0	0	0	0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	25	92	92	0	0	0	0	0	0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	27	2141	2141	0	0	0	0	0	0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	28	568	568	0	0	0	0	0	0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	32	58	58	0	0	0	0	0	0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	33	13	13	0	0	0	0	0	0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	31	2875	2875	0	0	0	0	0	0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	25	310	280	1	0	0	1	0	0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	27	5535	5421	1	0	0	4	0	0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	28	1368	1322	0	0	0	1	0	0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	32	473	465	0	0	0	1	0	0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	33	110	110	0	0	0	0	0	0
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	31	7940	7811	0	0	0	0	0	0
g03_Campylobacter_devanensis	33.5	enzyme_k16	25	436	405	0	0	0	0	0	0
g03_Campylobacter_devanensis	33.5	enzyme_k16	27	6468	6249	4	0	3	7	2	3
g03_Campylobacter_devanensis	33.5	enzyme_k16	28	2006	1922	2	0	6	4	3	6
g03_Campylobacter_devanensis	33.5	enzyme_k16	32	553	539	0	0	0	0	0	0
g03_Campylobacter_devanensis	33.5	enzyme_k16	33	116	112	0	0	0	0	0	0
g03_Campylobacter_devanensis	33.5	fmh_k16matched	31	9600	9228	0	0	0	0	0	0
g04_Staphylococcus_equorum	33.0	enzyme_k16	25	1023	953	2	6	0	5	20	0
g04_Staphylococcus_equorum	33.0	enzyme_k16	27	11406	11071	11	19	0	30	37	0
g04_Staphylococcus_equorum	33.0	enzyme_k16	28	4077	3983	2	0	0	3	0	0
g04_Staphylococcus_equorum	33.0	enzyme_k16	32	759	750	0	0	0	0	0	0
g04_Staphylococcus_equorum	33.0	enzyme_k16	33	178	178	0	0	0	1	0	0
g04_Staphylococcus_equorum	33.0	fmh_k16matched	31	17269	16988	0	0	0	0	0	0
g05_Staphylococcus_aureus	33.0	enzyme_k16	25	947	808	1	39	33	6	87	38
g05_Staphylococcus_aureus	33.0	enzyme_k16	27	12096	11437	37	214	519	147	657	1229
g05_Staphylococcus_aureus	33.0	enzyme_k16	28	4239	4057	6	14	4	17	21	4
g05_Staphylococcus_aureus	33.0	enzyme_k16	32	854	830	1	0	0	3	0	0
g05_Staphylococcus_aureus	33.0	enzyme_k16	33	172	167	0	0	0	0	3	0
