genome_id	gc	ncbi_accession	gtdb_species	gtdb_gc	size_bp	contigs
g00_Buchnera_aphidicola_Y	26.09	GCA_005081705.1	Buchnera aphidicola_Y	26.0872	652809	4
g01_Buchnera_aphidicola_C	25.44	GCA_001939165.1	Buchnera aphidicola_C	25.4389	643531	2
g02_Campylobacter_D_jejuni	30.60	GCA_020720145.1	Campylobacter_D jejuni	30.6028	1625720	2
g03_Campylobacter_devanensis	33.50	GCA_900446565.1	Campylobacter devanensis	33.5046	1621429	2
g04_Staphylococcus_equorum	33.00	GCA_033447145.1	Staphylococcus equorum	33.0036	2871638	2
g05_Staphylococcus_aureus	33.00	GCA_049558145.1	Staphylococcus aureus	32.9961	2973479	1
g06_Bacillus_subtilis	43.50	GCA_049945055.1	Bacillus subtilis	43.5011	4222131	4
g07_Bacillus_atrophaeus	43.48	GCA_052441705.1	Bacillus atrophaeus	43.4823	4050843	1
g08_Escherichia_coli	50.80	GCA_030294385.1	Escherichia coli	50.8002	5168473	3
g09_Escherichia_sp005843885	50.74	GCA_005781185.1	Escherichia sp005843885	50.7399	5120753	1
g10_Klebsiella_pneumoniae	57.00	GCA_029291275.1	Klebsiella pneumoniae	57.0005	5830071	4
g11_Klebsiella_variicola	57.02	GCA_017255425.1	Klebsiella variicola	57.0182	5696278	2
g12_Aquipseudomonas_alloputida	61.52	GCA_024662295.1	Aquipseudomonas alloputida	61.5244	6181761	4
g13_Pseudomonas_aeruginosa	65.30	GCA_037996905.1	Pseudomonas aeruginosa	65.3012	7533884	3
g14_Mycobacterium_kubicae	66.01	GCA_010723135.1	Mycobacterium kubicae	66.0063	6014391	5
g15_Mycobacterium_peregrinum	66.06	GCA_048287135.1	Mycobacterium peregrinum	66.0614	7307615	4
g16_Streptomyces_violaceoruber	72.00	GCA_000203835.1	Streptomyces violaceoruber	71.9984	9054847	3
g17_Streptomyces_fungicidicus	72.01	GCA_044383995.1	Streptomyces fungicidicus	72.0077	8363733	5
g018_GCA_944359085_1	24.26	GCA_944359085.1	GCA_944359085.1	24.2573	1125979	59
g019_GCF_037032185_1	26.72	GCF_037032185.1	GCF_037032185.1	26.7227	2470402	93
g020_GCA_947627105_1	27.29	GCA_947627105.1	GCA_947627105.1	27.2882	1334555	63
g021_GCF_019705255_1	27.93	GCF_019705255.1	GCF_019705255.1	27.9330	2785617	74
g022_GCF_900689035_1	28.31	GCF_900689035.1	GCF_900689035.1	28.3123	3943131	73
g023_GCF_900165415_1	28.50	GCF_900165415.1	GCF_900165415.1	28.5043	4243278	42
g024_GCF_949488045_1	28.91	GCF_949488045.1	GCF_949488045.1	28.9125	2099868	132
g025_GCA_902577605_1	29.58	GCA_902577605.1	GCA_902577605.1	29.5801	1876955	65
g026_GCF_013149425_1	29.83	GCF_013149425.1	GCF_013149425.1	29.8299	6126292	5
g027_GCF_030076545_1	30.33	GCF_030076545.1	GCF_030076545.1	30.3327	1671630	105
g028_GCA_947311835_1	30.54	GCA_947311835.1	GCA_947311835.1	30.5446	2287451	195
g029_GCF_001419005_1	31.07	GCF_001419005.1	GCF_001419005.1	31.0716	1879180	314
g030_GCF_001498795_1	31.38	GCF_001498795.1	GCF_001498795.1	31.3827	1647824	31
g031_GCA_902633145_1	31.56	GCA_902633145.1	GCA_902633145.1	31.5551	1072128	60
g032_GCF_014266335_1	31.86	GCF_014266335.1	GCF_014266335.1	31.8636	2683235	228
g033_GCF_004375015_1	32.05	GCF_004375015.1	GCF_004375015.1	32.0545	2426786	137
g034_GCF_029537395_1	32.23	GCF_029537395.1	GCF_029537395.1	32.2268	2947135	1
g035_GCF_021188895_1	32.45	GCF_021188895.1	GCF_021188895.1	32.4478	2734294	30
g036_GCF_900251065_1	32.62	GCF_900251065.1	GCF_900251065.1	32.6191	2880204	86
g037_GCF_002905435_1	32.68	GCF_002905435.1	GCF_002905435.1	32.6841	2920250	115
g038_GCF_018999025_1	32.70	GCF_018999025.1	GCF_018999025.1	32.7044	2795662	131
g039_GCF_014181205_1	32.72	GCF_014181205.1	GCF_014181205.1	32.7192	2781276	18
g040_GCF_001971525_1	32.75	GCF_001971525.1	GCF_001971525.1	32.7491	2753674	59
