genome	n_anchors_k16	n_anchors_k8	ratio
GCA_041389005.1_ASM4138900v1_genomic	308	0	0
GCA_041389025.1_ASM4138902v1_genomic	3553	0	0
GCA_041389045.1_ASM4138904v1_genomic	620	0	0
GCA_041389065.1_ASM4138906v1_genomic	2261	0	0
GCA_041389085.1_ASM4138908v1_genomic	439	0	0
GCA_041389105.1_ASM4138910v1_genomic	340	0	0
GCA_041389125.1_ASM4138912v1_genomic	428	0	0
GCA_041389145.1_ASM4138914v1_genomic	759	0	0
GCA_041389165.1_ASM4138916v1_genomic	7103	0	0
GCA_041389185.1_ASM4138918v1_genomic	17685	0	0
GCA_041389205.1_ASM4138920v1_genomic	18228	0	0
GCA_041389225.1_ASM4138922v1_genomic	2378	0	0
GCA_041389245.1_ASM4138924v1_genomic	37782	0	0
GCA_041389265.1_ASM4138926v1_genomic	28768	0	0
GCA_041389285.1_ASM4138928v1_genomic	17865	0	0
GCA_041389305.1_ASM4138930v1_genomic	1609	0	0
GCA_041389325.1_ASM4138932v1_genomic	47935	0	0
GCA_041389345.1_ASM4138934v1_genomic	13887	16859	1.21401
GCA_041389365.1_ASM4138936v1_genomic	26410	0	0
GCA_041389385.1_ASM4138938v1_genomic	25010	0	0
GCA_041389405.1_ASM4138940v1_genomic	2922	0	0
GCA_041389425.1_ASM4138942v1_genomic	54414	0	0
GCA_041389445.1_ASM4138944v1_genomic	56902	0	0
GCA_041389465.1_ASM4138946v1_genomic	1991	0	0
GCA_041389485.1_ASM4138948v1_genomic	24399	0	0
GCA_041389495.1_ASM4138949v1_genomic	36944	0	0
GCA_041389525.1_ASM4138952v1_genomic	31089	0	0
GCA_041389545.1_ASM4138954v1_genomic	72553	0	0
GCA_041389565.1_ASM4138956v1_genomic	59723	0	0
GCA_041389585.1_ASM4138958v1_genomic	41824	0	0
GCA_041389605.1_ASM4138960v1_genomic	4765	0	0
GCA_041389625.1_ASM4138962v1_genomic	7905	0	0
GCA_041389635.1_ASM4138963v1_genomic	38052	0	0
GCA_041389665.1_ASM4138966v1_genomic	54229	0	0
GCA_041389685.1_ASM4138968v1_genomic	36869	0	0
GCA_041389705.1_ASM4138970v1_genomic	18545	0	0
GCA_041389725.1_ASM4138972v1_genomic	48817	0	0
GCA_041389745.1_ASM4138974v1_genomic	83592	0	0
GCA_041389765.1_ASM4138976v1_genomic	27552	0	0
GCA_041389785.1_ASM4138978v1_genomic	70071	0	0
GCA_041389805.1_ASM4138980v1_genomic	96099	0	0
GCA_041389825.1_ASM4138982v1_genomic	43234	0	0
GCA_041389845.1_ASM4138984v1_genomic	84764	0	0
GCA_041389865.1_ASM4138986v1_genomic	55538	0	0
GCA_041389885.1_ASM4138988v1_genomic	21117	0	0
GCA_041389905.1_ASM4138990v1_genomic	63857	0	0
GCA_041389925.1_ASM4138992v1_genomic	21733	0	0
