mag	n50
GCA_041389005.1_ASM4138900v1_genomic	100969
GCA_041389025.1_ASM4138902v1_genomic	622966
GCA_041389045.1_ASM4138904v1_genomic	237115
GCA_041389065.1_ASM4138906v1_genomic	134277
GCA_041389085.1_ASM4138908v1_genomic	312629
GCA_041389105.1_ASM4138910v1_genomic	143066
GCA_041389125.1_ASM4138912v1_genomic	381443
GCA_041389145.1_ASM4138914v1_genomic	68009
GCA_041389165.1_ASM4138916v1_genomic	256965
GCA_041389185.1_ASM4138918v1_genomic	235174
GCA_041389205.1_ASM4138920v1_genomic	77310
GCA_041389225.1_ASM4138922v1_genomic	74977
GCA_041389245.1_ASM4138924v1_genomic	99091
GCA_041389265.1_ASM4138926v1_genomic	109354
GCA_041389285.1_ASM4138928v1_genomic	276263
GCA_041389305.1_ASM4138930v1_genomic	216551
GCA_041389325.1_ASM4138932v1_genomic	3774741
GCA_041389345.1_ASM4138934v1_genomic	4146961
GCA_041389365.1_ASM4138936v1_genomic	46165
GCA_041389385.1_ASM4138938v1_genomic	283193
GCA_041389405.1_ASM4138940v1_genomic	55104
GCA_041389425.1_ASM4138942v1_genomic	147814
GCA_041389445.1_ASM4138944v1_genomic	641634
GCA_041389465.1_ASM4138946v1_genomic	423026
GCA_041389485.1_ASM4138948v1_genomic	63964
GCA_041389495.1_ASM4138949v1_genomic	1288955
GCA_041389525.1_ASM4138952v1_genomic	93940
GCA_041389545.1_ASM4138954v1_genomic	107756
GCA_041389565.1_ASM4138956v1_genomic	263826
GCA_041389585.1_ASM4138958v1_genomic	181519
GCA_041389605.1_ASM4138960v1_genomic	116050
GCA_041389625.1_ASM4138962v1_genomic	106367
GCA_041389635.1_ASM4138963v1_genomic	50503
GCA_041389665.1_ASM4138966v1_genomic	50134
GCA_041389685.1_ASM4138968v1_genomic	373517
GCA_041389705.1_ASM4138970v1_genomic	55380
GCA_041389725.1_ASM4138972v1_genomic	782159
GCA_041389745.1_ASM4138974v1_genomic	259201
GCA_041389765.1_ASM4138976v1_genomic	58968
GCA_041389785.1_ASM4138978v1_genomic	679916
GCA_041389805.1_ASM4138980v1_genomic	148180
GCA_041389825.1_ASM4138982v1_genomic	128680
GCA_041389845.1_ASM4138984v1_genomic	80993
GCA_041389865.1_ASM4138986v1_genomic	36490
GCA_041389885.1_ASM4138988v1_genomic	180884
GCA_041389905.1_ASM4138990v1_genomic	96690
GCA_041389925.1_ASM4138992v1_genomic	755846
GCA_041389945.1_ASM4138994v1_genomic	137253
GCA_041389965.1_ASM4138996v1_genomic	326305
GCA_041389985.1_ASM4138998v1_genomic	150251
GCA_041390005.1_ASM4139000v1_genomic	49893
GCA_041390025.1_ASM4139002v1_genomic	145773
GCA_041390045.1_ASM4139004v1_genomic	64895
GCA_041390065.1_ASM4139006v1_genomic	259993
GCA_041390085.1_ASM4139008v1_genomic	396185
GCA_041390105.1_ASM4139010v1_genomic	940639
GCA_041390125.1_ASM4139012v1_genomic	310828
GCA_041390145.1_ASM4139014v1_genomic	253077
GCA_041390165.1_ASM4139016v1_genomic	193701
GCA_041390185.1_ASM4139018v1_genomic	28317
GCA_041390205.1_ASM4139020v1_genomic	85753
GCA_041390225.1_ASM4139022v1_genomic	57023
GCA_041390245.1_ASM4139024v1_genomic	241942
GCA_041390265.1_ASM4139026v1_genomic	26688
GCA_041390285.1_ASM4139028v1_genomic	178312
GCA_041390305.1_ASM4139030v1_genomic	169691
GCA_041390325.1_ASM4139032v1_genomic	77015
GCA_041390345.1_ASM4139034v1_genomic	61842
GCA_041390365.1_ASM4139036v1_genomic	1196977
GCA_041390385.1_ASM4139038v1_genomic	29076
GCA_041390405.1_ASM4139040v1_genomic	25852
GCA_041390425.1_ASM4139042v1_genomic	31349
GCA_041390445.1_ASM4139044v1_genomic	31313
GCA_041390465.1_ASM4139046v1_genomic	51050
GCA_041390485.1_ASM4139048v1_genomic	49172
GCA_041390505.1_ASM4139050v1_genomic	98106
GCA_041390515.1_ASM4139051v1_genomic	217252
GCA_041390525.1_ASM4139052v1_genomic	80283
GCA_041390565.1_ASM4139056v1_genomic	53964
GCA_041390585.1_ASM4139058v1_genomic	237836
GCA_041390605.1_ASM4139060v1_genomic	67084
GCA_041390625.1_ASM4139062v1_genomic	204406
GCA_041390645.1_ASM4139064v1_genomic	2949603
GCA_041390665.1_ASM4139066v1_genomic	86193
GCA_041390685.1_ASM4139068v1_genomic	2615142
GCA_041390705.1_ASM4139070v1_genomic	1312267
GCA_041390725.1_ASM4139072v1_genomic	50150
GCA_041390745.1_ASM4139074v1_genomic	210816
GCA_041390765.1_ASM4139076v1_genomic	129268
GCA_041390785.1_ASM4139078v1_genomic	47945
GCA_041390805.1_ASM4139080v1_genomic	138642
GCA_041390825.1_ASM4139082v1_genomic	121631
GCA_041390845.1_ASM4139084v1_genomic	85733
GCA_041390865.1_ASM4139086v1_genomic	176906
GCA_041390885.1_ASM4139088v1_genomic	411570
GCA_041390905.1_ASM4139090v1_genomic	1400197
GCA_041390925.1_ASM4139092v1_genomic	94300
GCA_041390945.1_ASM4139094v1_genomic	172253
GCA_041390965.1_ASM4139096v1_genomic	61547
GCA_041390985.1_ASM4139098v1_genomic	807179
GCA_041391005.1_ASM4139100v1_genomic	134601
GCA_041391025.1_ASM4139102v1_genomic	215020
GCA_041391045.1_ASM4139104v1_genomic	29487
GCA_041391065.1_ASM4139106v1_genomic	343240
GCA_041391085.1_ASM4139108v1_genomic	14277107
GCA_041391105.1_ASM4139110v1_genomic	168423
GCA_041391125.1_ASM4139112v1_genomic	100613
GCA_041391145.1_ASM4139114v1_genomic	326216
GCA_041391165.1_ASM4139116v1_genomic	53886
GCA_041391185.1_ASM4139118v1_genomic	30069
GCA_041391205.1_ASM4139120v1_genomic	55264
GCA_041391225.1_ASM4139122v1_genomic	196343
GCA_041391245.1_ASM4139124v1_genomic	155697
GCA_041391265.1_ASM4139126v1_genomic	62182
GCA_041391285.1_ASM4139128v1_genomic	53647
GCA_041391305.1_ASM4139130v1_genomic	266620
GCA_041391325.1_ASM4139132v1_genomic	79249
GCA_041391345.1_ASM4139134v1_genomic	96178
GCA_041391365.1_ASM4139136v1_genomic	641458
GCA_041391385.1_ASM4139138v1_genomic	400680
GCA_041391405.1_ASM4139140v1_genomic	69685
GCA_041391425.1_ASM4139142v1_genomic	351081
GCA_041391435.1_ASM4139143v1_genomic	203080
GCA_041391465.1_ASM4139146v1_genomic	107492
GCA_041391485.1_ASM4139148v1_genomic	102725
GCA_041391505.1_ASM4139150v1_genomic	173694
GCA_041391525.1_ASM4139152v1_genomic	405086
GCA_041391545.1_ASM4139154v1_genomic	40654
GCA_041391565.1_ASM4139156v1_genomic	1080366
GCA_041391585.1_ASM4139158v1_genomic	1477773
GCA_041391605.1_ASM4139160v1_genomic	62126
GCA_041391625.1_ASM4139162v1_genomic	51012
GCA_041391645.1_ASM4139164v1_genomic	1663831
GCA_041391665.1_ASM4139166v1_genomic	2808451
GCA_041391685.1_ASM4139168v1_genomic	53644
GCA_041391705.1_ASM4139170v1_genomic	60108
GCA_041391725.1_ASM4139172v1_genomic	175189
GCA_041391745.1_ASM4139174v1_genomic	152835
GCA_041391765.1_ASM4139176v1_genomic	96711
GCA_041391785.1_ASM4139178v1_genomic	221942
GCA_041391805.1_ASM4139180v1_genomic	110461
GCA_041391825.1_ASM4139182v1_genomic	177481
GCA_041391845.1_ASM4139184v1_genomic	624514
GCA_041391865.1_ASM4139186v1_genomic	217224
GCA_041391885.1_ASM4139188v1_genomic	81322
GCA_041391905.1_ASM4139190v1_genomic	70388
GCA_041391925.1_ASM4139192v1_genomic	407532
GCA_041391945.1_ASM4139194v1_genomic	368295
GCA_041391965.1_ASM4139196v1_genomic	487383
GCA_041391985.1_ASM4139198v1_genomic	58181
GCA_041392005.1_ASM4139200v1_genomic	85053
GCA_041392025.1_ASM4139202v1_genomic	556758
GCA_041392045.1_ASM4139204v1_genomic	158462
GCA_041392065.1_ASM4139206v1_genomic	592174
GCA_041392085.1_ASM4139208v1_genomic	333288
GCA_041392105.1_ASM4139210v1_genomic	50126
GCA_041392125.1_ASM4139212v1_genomic	247994
GCA_041392145.1_ASM4139214v1_genomic	245260
GCA_041392165.1_ASM4139216v1_genomic	519640
GCA_041392175.1_ASM4139217v1_genomic	100544
GCA_041392205.1_ASM4139220v1_genomic	156264
GCA_041392225.1_ASM4139222v1_genomic	331778
GCA_041392235.1_ASM4139223v1_genomic	514045
GCA_041392255.1_ASM4139225v1_genomic	115079
GCA_041392275.1_ASM4139227v1_genomic	82698
GCA_041392305.1_ASM4139230v1_genomic	123025
GCA_041392315.1_ASM4139231v1_genomic	334191
GCA_041392325.1_ASM4139232v1_genomic	1646117
GCA_041392355.1_ASM4139235v1_genomic	35242
GCA_041392385.1_ASM4139238v1_genomic	1287921
GCA_041392405.1_ASM4139240v1_genomic	32056
GCA_041392415.1_ASM4139241v1_genomic	67218
GCA_041392425.1_ASM4139242v1_genomic	58674
GCA_041392465.1_ASM4139246v1_genomic	470388
GCA_041392475.1_ASM4139247v1_genomic	2416666
GCA_041392505.1_ASM4139250v1_genomic	128334
GCA_041392515.1_ASM4139251v1_genomic	569827
GCA_041392545.1_ASM4139254v1_genomic	213013
GCA_041392555.1_ASM4139255v1_genomic	112268
GCA_041392585.1_ASM4139258v1_genomic	832442
GCA_041392605.1_ASM4139260v1_genomic	508118
GCA_041392615.1_ASM4139261v1_genomic	81712
GCA_041392625.1_ASM4139262v1_genomic	133400
GCA_041392665.1_ASM4139266v1_genomic	202820
GCA_041392685.1_ASM4139268v1_genomic	122482
GCA_041392695.1_ASM4139269v1_genomic	43378
GCA_041392715.1_ASM4139271v1_genomic	88843
GCA_041392725.1_ASM4139272v1_genomic	62075
GCA_041392765.1_ASM4139276v1_genomic	111763
GCA_041392785.1_ASM4139278v1_genomic	288790
GCA_041392805.1_ASM4139280v1_genomic	5763876
GCA_041392825.1_ASM4139282v1_genomic	278550
GCA_041392835.1_ASM4139283v1_genomic	449073
GCA_041392845.1_ASM4139284v1_genomic	130737
GCA_041392855.1_ASM4139285v1_genomic	2966268
GCA_041392895.1_ASM4139289v1_genomic	66445
GCA_041392925.1_ASM4139292v1_genomic	147772
GCA_041392935.1_ASM4139293v1_genomic	145669
GCA_041392945.1_ASM4139294v1_genomic	457732
GCA_041392955.1_ASM4139295v1_genomic	79963
GCA_041392965.1_ASM4139296v1_genomic	99456
GCA_041393015.1_ASM4139301v1_genomic	404879
GCA_041393035.1_ASM4139303v1_genomic	529354
GCA_041393055.1_ASM4139305v1_genomic	91209
GCA_041393075.1_ASM4139307v1_genomic	371791
GCA_041393095.1_ASM4139309v1_genomic	88149
GCA_041393115.1_ASM4139311v1_genomic	121841
GCA_041393135.1_ASM4139313v1_genomic	123681
GCA_041393155.1_ASM4139315v1_genomic	43480
GCA_041393175.1_ASM4139317v1_genomic	56764
GCA_041393195.1_ASM4139319v1_genomic	82663
GCA_041393215.1_ASM4139321v1_genomic	193203
GCA_041393235.1_ASM4139323v1_genomic	131441
GCA_041393255.1_ASM4139325v1_genomic	117145
GCA_041393275.1_ASM4139327v1_genomic	50830
GCA_041393295.1_ASM4139329v1_genomic	542830
GCA_041393315.1_ASM4139331v1_genomic	226450
GCA_041393335.1_ASM4139333v1_genomic	53962
GCA_041393355.1_ASM4139335v1_genomic	87382
