genome	gc	size_bp	n_anchors_k16	n_anchors_k8	scale_match16	scale_match8
g00_Buchnera_aphidicola_Y	26.09	652809	3125	2608	209	250
g01_Buchnera_aphidicola_C	25.44	643531	2872	2439	224	264
g02_Campylobacter_D_jejuni	30.6	1625720	7796	5633	209	289
g03_Campylobacter_devanensis	33.5	1621429	9579	8097	169	200
g04_Staphylococcus_equorum	33.0	2871638	17443	14191	165	202
g05_Staphylococcus_aureus	33.0	2973479	18308	15142	162	196
g06_Bacillus_subtilis	43.5	4222131	35197	27549	120	153
g07_Bacillus_atrophaeus	43.48	4050843	33417	25960	121	156
g08_Escherichia_coli	50.8	5168473	48801	41402	106	125
g09_Escherichia_sp005843885	50.74	5120753	49111	41532	104	123
g10_Klebsiella_pneumoniae	57.0	5830071	54878	45080	106	129
g11_Klebsiella_variicola	57.02	5696278	54270	44715	105	127
g12_Aquipseudomonas_alloputida	61.52	6181761	60038	49467	103	125
g13_Pseudomonas_aeruginosa	65.3	7533884	72952	56236	103	134
g14_Mycobacterium_kubicae	66.01	6014391	73284	57547	82	105
g15_Mycobacterium_peregrinum	66.06	7307615	95469	74521	77	98
g16_Streptomyces_violaceoruber	72.0	9054847	112497	72321	80	125
g17_Streptomyces_fungicidicus	72.01	8363733	103978	65871	80	127
g018_GCA_944359085_1	24.26	1125979	4299	3520	262	320
g019_GCF_037032185_1	26.72	2470402	11356	8687	218	284
g020_GCA_947627105_1	27.29	1334555	5711	4363	234	306
g021_GCF_019705255_1	27.93	2785617	14085	10890	198	256
g022_GCF_900689035_1	28.31	3943131	20859	16477	189	239
g023_GCF_900165415_1	28.5	4243278	22701	17813	187	238
g024_GCF_949488045_1	28.91	2099868	8793	6704	239	313
g025_GCA_902577605_1	29.58	1876955	11372	9266	165	203
g026_GCF_013149425_1	29.83	6126292	33577	26498	182	231
g027_GCF_030076545_1	30.33	1671630	7961	5766	210	290
g028_GCA_947311835_1	30.54	2287451	12197	10249	188	223
g029_GCF_001419005_1	31.07	1879180	9458	6993	199	269
g030_GCF_001498795_1	31.38	1647824	8654	6412	190	257
g031_GCA_902633145_1	31.56	1072128	7562	6005	142	179
g032_GCF_014266335_1	31.86	2683235	16601	13311	162	202
g033_GCF_004375015_1	32.05	2426786	15211	12198	160	199
g034_GCF_029537395_1	32.23	2947135	19094	15081	154	195
g035_GCF_021188895_1	32.45	2734294	17272	14135	158	193
