mag	n	mean	std	n_contigs
GCA_041389025.1_ASM4138902v1_genomic	1	0.1898741156		11
GCA_041389045.1_ASM4138904v1_genomic	1	0.3645084427		4
GCA_041389165.1_ASM4138916v1_genomic	1	0.1766830062		8
GCA_041389185.1_ASM4138918v1_genomic	3	0.17334719736666668	0.0168194756493533	52
GCA_041389205.1_ASM4138920v1_genomic	2	4.4074939015000005	0.1771602066802293	196
GCA_041389285.1_ASM4138928v1_genomic	3	0.09574713842666667	0.007643247144539142	37
GCA_041389325.1_ASM4138932v1_genomic	3	0.12267474356666665	0.02254894055756852	2
GCA_041389345.1_ASM4138934v1_genomic	4	0.18125195522499998	0.02958080928384496	1
GCA_041389365.1_ASM4138936v1_genomic	1	3.682511591		244
GCA_041389385.1_ASM4138938v1_genomic	2	0.26702260935	0.00503941122445535	47
GCA_041389425.1_ASM4138942v1_genomic	1	0.08083386281		78
GCA_041389445.1_ASM4138944v1_genomic	1	0.1423107011		19
GCA_041389685.1_ASM4138968v1_genomic	1	0.08203204524		86
GCA_041389705.1_ASM4138970v1_genomic	2	2.0376132885000002	0.03955353313550144	398
GCA_041389725.1_ASM4138972v1_genomic	6	0.13630299375333332	0.020448930201642294	29
GCA_041389745.1_ASM4138974v1_genomic	3	0.06437282617	0.01626790748346598	73
GCA_041389765.1_ASM4138976v1_genomic	3	2.0648804243333334	0.09921969946690756	417
GCA_041389785.1_ASM4138978v1_genomic	3	0.0766397095	0.0055898989296187945	30
GCA_041389805.1_ASM4138980v1_genomic	1	1.688366921		149
GCA_041389845.1_ASM4138984v1_genomic	1	1.864736554		204
GCA_041389885.1_ASM4138988v1_genomic	1	0.1184299946		87
GCA_041389925.1_ASM4138992v1_genomic	4	0.182093467375	0.028868852209828006	18
GCA_041390085.1_ASM4139008v1_genomic	3	0.10910024872	0.0383936266761084	16
GCA_041390105.1_ASM4139010v1_genomic	5	0.21062589304	0.03908197716629151	8
GCA_041390125.1_ASM4139012v1_genomic	1	0.05261344005		43
GCA_041390145.1_ASM4139014v1_genomic	3	0.1570326271666667	0.02250329361845776	26
GCA_041390245.1_ASM4139024v1_genomic	1	0.2325804509		7
GCA_041390305.1_ASM4139030v1_genomic	1	0.08215338087		90
GCA_041390365.1_ASM4139036v1_genomic	1	0.1527285022		10
GCA_041390445.1_ASM4139044v1_genomic	1	2.400714626		154
GCA_041390585.1_ASM4139058v1_genomic	1	0.1277415711		41
GCA_041390605.1_ASM4139060v1_genomic	1	0.169933369		83
GCA_041390625.1_ASM4139062v1_genomic	3	0.21625028096666665	0.013543684812750546	32
GCA_041390665.1_ASM4139066v1_genomic	3	1.938373585	0.08406274428057216	151
GCA_041390825.1_ASM4139082v1_genomic	1	0.3621867759		97
GCA_041390905.1_ASM4139090v1_genomic	5	0.19758291992000002	0.03183381681005007	20
GCA_041390985.1_ASM4139098v1_genomic	1	0.2410265139		19
GCA_041391085.1_ASM4139108v1_genomic	5	0.18782887084	0.034415237155760045	1
GCA_041391145.1_ASM4139114v1_genomic	1	0.1111048141		56
GCA_041391265.1_ASM4139126v1_genomic	1	2.201610168		146
GCA_041391305.1_ASM4139130v1_genomic	2	0.15910498195	0.032666764857267154	72
GCA_041391365.1_ASM4139136v1_genomic	2	0.2906249364	0.036993117441337375	6
GCA_041391525.1_ASM4139152v1_genomic	7	0.23543946644285715	0.04031556729508394	39
GCA_041391565.1_ASM4139156v1_genomic	2	0.1978040449	0.08617506170390445	9
GCA_041391585.1_ASM4139158v1_genomic	2	0.2503568151	0.06294209443914005	9
GCA_041391645.1_ASM4139164v1_genomic	2	0.32735104984999996	0.02031844840448454	4
GCA_041391665.1_ASM4139166v1_genomic	5	0.14028997402	0.023426050862117173	3
GCA_041391745.1_ASM4139174v1_genomic	1	0.1847652039		39
GCA_041391765.1_ASM4139176v1_genomic	1	0.1290561347		54
GCA_041391785.1_ASM4139178v1_genomic	7	0.11733332671714285	0.01652773858216775	24
GCA_041391805.1_ASM4139180v1_genomic	8	0.14085083406375	0.022160679848873505	83
GCA_041391845.1_ASM4139184v1_genomic	5	0.19019803368	0.03363531371325295	14
GCA_041391865.1_ASM4139186v1_genomic	8	0.2768543515	0.043948749898613956	37
GCA_041391885.1_ASM4139188v1_genomic	1	0.1627712566		70
GCA_041391925.1_ASM4139192v1_genomic	3	0.20881384813333334	0.019776885445711316	19
GCA_041391945.1_ASM4139194v1_genomic	2	0.101850523845	0.008972432628002498	14
GCA_041391965.1_ASM4139196v1_genomic	5	0.25272696662	0.017259317164643483	11
GCA_041392005.1_ASM4139200v1_genomic	3	0.2456705745	0.03638145132841074	51
