genome	match_panel	scale	panel_landmarks_mb
g00_Buchnera_aphidicola_Y	8	250	3995.0
g00_Buchnera_aphidicola_Y	16	209	4787.0
g01_Buchnera_aphidicola_C	8	264	3790.0
g01_Buchnera_aphidicola_C	16	224	4463.0
g02_Campylobacter_D_jejuni	8	289	3465.0
g02_Campylobacter_D_jejuni	16	209	4795.0
g03_Campylobacter_devanensis	8	200	4994.0
g03_Campylobacter_devanensis	16	169	5908.0
g04_Staphylococcus_equorum	8	202	4942.0
g04_Staphylococcus_equorum	16	165	6074.0
g05_Staphylococcus_aureus	8	196	5092.0
g05_Staphylococcus_aureus	16	162	6157.0
g06_Bacillus_subtilis	8	153	6525.0
g06_Bacillus_subtilis	16	120	8336.0
g07_Bacillus_atrophaeus	8	156	6409.0
g07_Bacillus_atrophaeus	16	121	8249.0
g08_Escherichia_coli	8	125	8010.0
g08_Escherichia_coli	16	106	9442.0
g09_Escherichia_sp005843885	8	123	8111.0
g09_Escherichia_sp005843885	16	104	9591.0
g10_Klebsiella_pneumoniae	8	129	7732.0
g10_Klebsiella_pneumoniae	16	106	9413.0
g11_Klebsiella_variicola	8	127	7850.0
g11_Klebsiella_variicola	16	105	9527.0
g12_Aquipseudomonas_alloputida	8	125	8002.0
g12_Aquipseudomonas_alloputida	16	103	9712.0
g13_Pseudomonas_aeruginosa	8	134	7464.0
g13_Pseudomonas_aeruginosa	16	103	9683.0
g14_Mycobacterium_kubicae	8	105	9568.0
g14_Mycobacterium_kubicae	16	82	12185.0
g15_Mycobacterium_peregrinum	8	98	10198.0
g15_Mycobacterium_peregrinum	16	77	13064.0
g16_Streptomyces_violaceoruber	8	125	7987.0
g16_Streptomyces_violaceoruber	16	80	12424.0
g17_Streptomyces_fungicidicus	8	127	7876.0
g17_Streptomyces_fungicidicus	16	80	12432.0
