sample	genome	taxonomy	coverage	dispersion	fraction	containment	PTR	log2(PTR)	enzyme_consistency	n_anchors	ori_confidence	se	ci_low	ci_high	n_enzymes	n_enzymes_attempted	enzyme_fit_rate	enzymes_used	enzyme_i2	fusion_model	ori	method	n_windows	pass_qc	qc_reason	excluded	note
S_8123213	GCA_000162895.1	s__Peptidiphaga_gingivicola	1.227382759	0.7070736671	0.03484095789	0.03286384977	2.115033742	1.080680679	NA	2269	0.8561786232	0.6263682009	-0.1469784355	2.308339794	1	1	1	BcgI	NA	fixed	2010960.952	glm	23	False	fraction 0.03 < 0.75; containment 0.03 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_000210715.1	s__Fretibacterium_fastidiosum	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_000286355.1	s__Kocuria_atrinae	NA	NA	NA	0.0004533091568	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_000385835.1	s__Streptococcus_mitis_AI	NA	NA	NA	0.02941176471	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.03 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 1 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_000413015.1	s__Treponema_D_paredis	1.568806883	0.9583333333	0.01743626744	0.0084643289	2.425686692	1.27839322	NA	621	0.7195295714	1.03688725	-0.7538684456	3.310654886	1	1	1	BcgI	NA	fixed	159127.0267	glm	6	False	fraction 0.02 < 0.75; containment 0.01 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_000413335.1	s__Cutibacterium_avidum	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001062585.1	s__Neisseria_sp000227275	22.5055318	41.81922693	0.5925170068	0.1283950617	1.934333351	0.9518364415	NA	90	0.9988258175	1.393822049	-1.780004575	3.683677458	1	1	1	BcgI	NA	fixed	1156124.484	glm	35	False	fraction 0.59 < 0.75; dispersion 41.82 > 5.0; containment 0.13 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001063255.1	s__Neisseria_mucosa	70.92455613	49.64809533	0.609718173	0.1866295265	2.081276618	1.057468724	NA	146	0.9971044754	1.135564604	-1.168197002	3.283134449	1	1	1	BcgI	NA	fixed	1965360.491	glm	49	False	fraction 0.61 < 0.75; dispersion 49.65 > 5.0; containment 0.19 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001067315.1	s__Neisseria_subflava	59.86369873	213.6303023	0.460394839	0.3423076923	2.691196043	1.428247489	NA	479	0.9999998963	1.207199745	-0.9378205335	3.794315512	1	1	1	BcgI	NA	fixed	393679.1167	glm	50	False	fraction 0.46 < 0.75; dispersion 213.63 > 5.0; containment 0.34 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001067655.1	s__Neisseria_lactamica_B	30.07139229	72.17278062	0.4859920635	0.09060402685	2.28451405	1.191887315	NA	117	0.9177067618	1.711427351	-2.162448656	4.546223286	1	1	1	BcgI	NA	fixed	869096.0333	glm	30	False	fraction 0.49 < 0.75; dispersion 72.17 > 5.0; containment 0.09 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001196045.1	s__Staphylococcus_warneri	NA	NA	NA	0.002444987775	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001275035.1	s__Pararheinheimera_tangshanensis	NA	NA	NA	0.0005614823133	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 1 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001296205.1	s__Streptococcus_intermedius	5.211932385	5.833905365	0.3730952381	0.383480826	1.139351397	0.1882127699	NA	289	0.6600373077	0.6149340418	-1.017035805	1.393461345	1	1	1	BcgI	NA	fixed	860257.625	glm	12	False	fraction 0.37 < 0.75; dispersion 5.83 > 5.0; containment 0.38 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001421095.1	s__Bacteroides_D_periocalifornicus	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001477075.1	s__Methylobacterium_organophilum	NA	NA	NA	0.0007942811755	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 2 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001556165.1	s__Sphingomonas_ginsenosidimutans	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001578795.1	s__Streptococcus_gordonii_A	7.363442321	10.82037095	0.1439066197	0.1282798834	4.423881132	2.145312621	NA	321	0.9907718097	1.10745836	-0.02526587907	4.315891122	1	1	1	BcgI	NA	fixed	1773035.776	glm	13	False	fraction 0.14 < 0.75; dispersion 10.82 > 5.0; containment 0.13 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001578855.1	s__Streptococcus_oralis_R	NA	NA	NA	0.0243902439	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.02 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 2 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001579015.1	s__Streptococcus_oralis_K	9.246977244	2.255035461	0.2924074074	0.1052631579	10.63282309	3.410452789	NA	72	0.9852250087	0.6275079144	2.180559876	4.640345701	1	1	1	BcgI	NA	fixed	669888.2944	glm	6	False	fraction 0.29 < 0.75; containment 0.11 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001636165.1	s__Schleiferilactobacillus_harbinensis	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001724095.1	s__Pigmentiphaga_sp001898625	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
S_8123213	GCA_001725355.1	s__Novosphingobium_sp001725355	2.524450714	NA	0.01917894405	0.00184544406	2.186081394	1.128347118	NA	328	0.67178965	0.6068866829	-0.06112892348	2.317823159	1	1	1	BcgI	NA	fixed	3488596.937	glm	5	False	fraction 0.02 < 0.75; containment 0.00 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001838375.1	s__Neisseria_mucosa_A	53.94370029	96.11207786	0.2325224709	0.09968847352	6.314085104	2.658573706	NA	392	0.9999904226	1.310742781	0.08956506312	5.227582349	1	1	1	BcgI	NA	fixed	1067553.283	glm	36	False	fraction 0.23 < 0.75; dispersion 96.11 > 5.0; containment 0.10 < 0.5	-	single enzyme: no cross-enzyme consistency check available
S_8123213	GCA_001899205.1	s__Mesorhizobium_sp001899205	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	-	NA	fixed	NA	none	0	False	containment 0.00 < 0.5; only 0/1 enzymes produced a fit; no PTR estimate	BcgI:only 0 windows after outlier trimming	no enzyme produced a usable estimate
