scope	id	mode	n_landmarks	build_wall_s	peak_rss_kb	disk_bytes	bytes_per_landmark	reads	target
genome	g00_Buchnera_aphidicola_Y	enzyme_k16	3125	0	3948	123748	39.6		
genome	g00_Buchnera_aphidicola_Y	enzyme_k8	2608	0	4112	104102	39.9		
genome	g01_Buchnera_aphidicola_C	enzyme_k16	2872	0	4012	113987	39.7		
genome	g01_Buchnera_aphidicola_C	enzyme_k8	2439	0	4104	97533	40.0		
genome	g02_Campylobacter_D_jejuni	enzyme_k16	7796	1	5948	300935	38.6		
genome	g02_Campylobacter_D_jejuni	enzyme_k8	5633	0	5372	218741	38.8		
genome	g03_Campylobacter_devanensis	enzyme_k16	9579	1	6676	368856	38.5		
genome	g03_Campylobacter_devanensis	enzyme_k8	8097	0	5876	312540	38.6		
genome	g04_Staphylococcus_equorum	enzyme_k16	17443	2	10412	667695	38.3		
genome	g04_Staphylococcus_equorum	enzyme_k8	14191	1	8828	544119	38.3		
genome	g05_Staphylococcus_aureus	enzyme_k16	18308	2	10424	700391	38.3		
genome	g05_Staphylococcus_aureus	enzyme_k8	15142	1	8972	580083	38.3		
genome	g06_Bacillus_subtilis	enzyme_k16	35197	4	17812	1342672	38.1		
genome	g06_Bacillus_subtilis	enzyme_k8	27549	1	13248	1052048	38.2		
genome	g07_Bacillus_atrophaeus	enzyme_k16	33417	3	17356	1274538	38.1		
genome	g07_Bacillus_atrophaeus	enzyme_k8	25960	1	12748	991172	38.2		
genome	g08_Escherichia_coli	enzyme_k16	48801	4	18876	1859460	38.1		
genome	g08_Escherichia_coli	enzyme_k8	41402	2	18324	1578298	38.1		
genome	g09_Escherichia_sp005843885	enzyme_k16	49111	5	18688	1870911	38.1		
genome	g09_Escherichia_sp005843885	enzyme_k8	41532	2	18044	1582909	38.1		
genome	g10_Klebsiella_pneumoniae	enzyme_k16	54878	5	21496	2090556	38.1		
genome	g10_Klebsiella_pneumoniae	enzyme_k8	45080	2	18740	1718232	38.1		
genome	g11_Klebsiella_variicola	enzyme_k16	54270	5	20924	2067120	38.1		
genome	g11_Klebsiella_variicola	enzyme_k8	44715	2	18656	1704030	38.1		
genome	g12_Aquipseudomonas_alloputida	enzyme_k16	60038	6	25180	2286136	38.1		
genome	g12_Aquipseudomonas_alloputida	enzyme_k8	49467	2	20960	1884438	38.1		
genome	g13_Pseudomonas_aeruginosa	enzyme_k16	72952	6	32476	2777204	38.1		
genome	g13_Pseudomonas_aeruginosa	enzyme_k8	56236	3	24076	2141996	38.1		
genome	g14_Mycobacterium_kubicae	enzyme_k16	73284	5	27076	2790138	38.1		
genome	g14_Mycobacterium_kubicae	enzyme_k8	57547	2	24424	2192132	38.1		
genome	g15_Mycobacterium_peregrinum	enzyme_k16	95469	6	37032	3633016	38.1		
genome	g15_Mycobacterium_peregrinum	enzyme_k8	74521	3	34068	2836992	38.1		
genome	g16_Streptomyces_violaceoruber	enzyme_k16	112497	8	39428	4279898	38.0		
genome	g16_Streptomyces_violaceoruber	enzyme_k8	72321	4	33752	2753209	38.1		
genome	g17_Streptomyces_fungicidicus	enzyme_k16	103978	7	36516	3956525	38.1		
genome	g17_Streptomyces_fungicidicus	enzyme_k8	65871	3	28736	2508458	38.1		
genome	g018_GCA_944359085_1	enzyme_k16	4299	1	5276	177664	41.3		
genome	g018_GCA_944359085_1	enzyme_k8	3520	0	5048	148062	42.1		
genome	g019_GCF_037032185_1	enzyme_k16	11356	2	7392	451746	39.8		
genome	g019_GCF_037032185_1	enzyme_k8	8687	1	6712	350323	40.3		
genome	g020_GCA_947627105_1	enzyme_k16	5711	1	5884	231997	40.6		
genome	g020_GCA_947627105_1	enzyme_k8	4363	0	5724	180773	41.4		
genome	g021_GCF_019705255_1	enzyme_k16	14085	2	8580	552287	39.2		
genome	g021_GCF_019705255_1	enzyme_k8	10890	1	8144	430877	39.6		
genome	g022_GCF_900689035_1	enzyme_k16	20859	5	10692	809528	38.8		
genome	g022_GCF_900689035_1	enzyme_k8	16477	1	10292	643012	39.0		
genome	g023_GCF_900165415_1	enzyme_k16	22701	4	11048	874109	38.5		
genome	g023_GCF_900165415_1	enzyme_k8	17813	1	10624	688365	38.6		
genome	g024_GCF_949488045_1	enzyme_k16	8793	2	7404	361029	41.1		
genome	g024_GCF_949488045_1	enzyme_k8	6704	0	6700	281647	42.0		
genome	g025_GCA_902577605_1	enzyme_k16	11372	1	7712	447466	39.3		
genome	g025_GCA_902577605_1	enzyme_k8	9266	0	7264	367437	39.7		
genome	g026_GCF_013149425_1	enzyme_k16	33577	5	16284	1281297	38.2		
genome	g026_GCF_013149425_1	enzyme_k8	26498	4	13744	1012295	38.2		
genome	g027_GCF_030076545_1	enzyme_k16	7961	2	5712	324726	40.8		
genome	g027_GCF_030076545_1	enzyme_k8	5766	0	5312	241316	41.9		
genome	g028_GCA_947311835_1	enzyme_k16	12197	2	7916	500467	41.0		
genome	g028_GCA_947311835_1	enzyme_k8	10249	0	7856	426443	41.6		
genome	g029_GCF_001419005_1	enzyme_k16	9458	2	6828	415915	44.0		
genome	g029_GCF_001419005_1	enzyme_k8	6993	0	10640	322245	46.1		
genome	g030_GCF_001498795_1	enzyme_k16	8654	1	8356	338486	39.1		
genome	g030_GCF_001498795_1	enzyme_k8	6412	0	5292	253290	39.5		
genome	g031_GCA_902633145_1	enzyme_k16	7562	0	6332	301819	39.9		
genome	g031_GCA_902633145_1	enzyme_k8	6005	0	5460	242653	40.4		
genome	g032_GCF_014266335_1	enzyme_k16	16601	2	9196	673817	40.6		
genome	g032_GCF_014266335_1	enzyme_k8	13311	1	8212	548797	41.2		
genome	g033_GCF_004375015_1	enzyme_k16	15211	2	9588	605341	39.8		
genome	g033_GCF_004375015_1	enzyme_k8	12198	3	7532	490847	40.2		
genome	g034_GCF_029537395_1	enzyme_k16	19094	2	10344	730257	38.2		
genome	g034_GCF_029537395_1	enzyme_k8	15081	2	9088	577763	38.3		
genome	g035_GCF_021188895_1	enzyme_k16	17272	2	9512	665911	38.6		
genome	g035_GCF_021188895_1	enzyme_k8	14135	2	7924	546705	38.7		
genome	g036_GCF_900251065_1	enzyme_k16	17616	3	9416	688170	39.1		
genome	g036_GCF_900251065_1	enzyme_k8	14579	2	8436	572764	39.3		
genome	g037_GCF_002905435_1	enzyme_k16	17830	2	9548	701189	39.3		
genome	g037_GCF_002905435_1	enzyme_k8	14698	2	8308	582173	39.6		
genome	g038_GCF_018999025_1	enzyme_k16	17217	2	9040	680885	39.5		
genome	g038_GCF_018999025_1	enzyme_k8	14249	2	7992	568101	39.9		
