genome	gc	mode	landmarks	landmarks_mb
g00_Buchnera_aphidicola_Y	26.09	panel_k2	1066	1633.0
g00_Buchnera_aphidicola_Y	26.09	panel_k4	1632	2500.0
g00_Buchnera_aphidicola_Y	26.09	panel_k8	2608	3995.0
g00_Buchnera_aphidicola_Y	26.09	panel_k16	3125	4787.0
g00_Buchnera_aphidicola_Y	26.09	fmh_s250_match_k8	2570	3937.0
g00_Buchnera_aphidicola_Y	26.09	fmh_s209_match_k16	3109	4762.0
g01_Buchnera_aphidicola_C	25.44	panel_k2	1036	1610.0
g01_Buchnera_aphidicola_C	25.44	panel_k4	1538	2390.0
g01_Buchnera_aphidicola_C	25.44	panel_k8	2439	3790.0
g01_Buchnera_aphidicola_C	25.44	panel_k16	2872	4463.0
g01_Buchnera_aphidicola_C	25.44	fmh_s264_match_k8	2430	3776.0
g01_Buchnera_aphidicola_C	25.44	fmh_s224_match_k16	2875	4468.0
g02_Campylobacter_D_jejuni	30.6	panel_k2	2688	1653.0
g02_Campylobacter_D_jejuni	30.6	panel_k4	3946	2427.0
g02_Campylobacter_D_jejuni	30.6	panel_k8	5633	3465.0
g02_Campylobacter_D_jejuni	30.6	panel_k16	7796	4795.0
g02_Campylobacter_D_jejuni	30.6	fmh_s289_match_k8	5641	3470.0
g02_Campylobacter_D_jejuni	30.6	fmh_s209_match_k16	7858	4834.0
g03_Campylobacter_devanensis	33.5	panel_k2	3720	2294.0
g03_Campylobacter_devanensis	33.5	panel_k4	5764	3555.0
g03_Campylobacter_devanensis	33.5	panel_k8	8097	4994.0
g03_Campylobacter_devanensis	33.5	panel_k16	9579	5908.0
g03_Campylobacter_devanensis	33.5	fmh_s200_match_k8	7861	4848.0
g03_Campylobacter_devanensis	33.5	fmh_s169_match_k16	9375	5782.0
g04_Staphylococcus_equorum	33.0	panel_k2	6679	2326.0
g04_Staphylococcus_equorum	33.0	panel_k4	9494	3306.0
g04_Staphylococcus_equorum	33.0	panel_k8	14191	4942.0
g04_Staphylococcus_equorum	33.0	panel_k16	17443	6074.0
g04_Staphylococcus_equorum	33.0	fmh_s202_match_k8	13937	4853.0
g04_Staphylococcus_equorum	33.0	fmh_s165_match_k16	17049	5937.0
g05_Staphylococcus_aureus	33.0	panel_k2	6695	2252.0
g05_Staphylococcus_aureus	33.0	panel_k4	9944	3344.0
g05_Staphylococcus_aureus	33.0	panel_k8	15142	5092.0
g05_Staphylococcus_aureus	33.0	panel_k16	18308	6157.0
g05_Staphylococcus_aureus	33.0	fmh_s196_match_k8	14684	4938.0
g05_Staphylococcus_aureus	33.0	fmh_s162_match_k16	17757	5972.0
g06_Bacillus_subtilis	43.5	panel_k2	10269	2432.0
g06_Bacillus_subtilis	43.5	panel_k4	17107	4052.0
g06_Bacillus_subtilis	43.5	panel_k8	27549	6525.0
g06_Bacillus_subtilis	43.5	panel_k16	35197	8336.0
g06_Bacillus_subtilis	43.5	fmh_s153_match_k8	26904	6372.0
g06_Bacillus_subtilis	43.5	fmh_s120_match_k16	34302	8124.0
g07_Bacillus_atrophaeus	43.48	panel_k2	9602	2370.0
g07_Bacillus_atrophaeus	43.48	panel_k4	16013	3953.0
g07_Bacillus_atrophaeus	43.48	panel_k8	25960	6409.0
g07_Bacillus_atrophaeus	43.48	panel_k16	33417	8249.0
g07_Bacillus_atrophaeus	43.48	fmh_s156_match_k8	26015	6422.0
g07_Bacillus_atrophaeus	43.48	fmh_s121_match_k16	33341	8231.0
g08_Escherichia_coli	50.8	panel_k2	19061	3688.0
g08_Escherichia_coli	50.8	panel_k4	27584	5337.0
g08_Escherichia_coli	50.8	panel_k8	41402	8010.0
g08_Escherichia_coli	50.8	panel_k16	48801	9442.0
g08_Escherichia_coli	50.8	fmh_s125_match_k8	39861	7712.0
g08_Escherichia_coli	50.8	fmh_s106_match_k16	47126	9118.0
g09_Escherichia_sp005843885	50.74	panel_k2	19221	3754.0
g09_Escherichia_sp005843885	50.74	panel_k4	27647	5399.0
g09_Escherichia_sp005843885	50.74	panel_k8	41532	8111.0
g09_Escherichia_sp005843885	50.74	panel_k16	49111	9591.0
g09_Escherichia_sp005843885	50.74	fmh_s123_match_k8	40730	7954.0
g09_Escherichia_sp005843885	50.74	fmh_s104_match_k16	48272	9427.0
g10_Klebsiella_pneumoniae	57.0	panel_k2	18136	3111.0
g10_Klebsiella_pneumoniae	57.0	panel_k4	28288	4852.0
g10_Klebsiella_pneumoniae	57.0	panel_k8	45080	7732.0
g10_Klebsiella_pneumoniae	57.0	panel_k16	54878	9413.0
g10_Klebsiella_pneumoniae	57.0	fmh_s129_match_k8	44295	7598.0
g10_Klebsiella_pneumoniae	57.0	fmh_s106_match_k16	53945	9253.0
g11_Klebsiella_variicola	57.02	panel_k2	18248	3203.0
g11_Klebsiella_variicola	57.02	panel_k4	28238	4957.0
g11_Klebsiella_variicola	57.02	panel_k8	44715	7850.0
g11_Klebsiella_variicola	57.02	panel_k16	54270	9527.0
g11_Klebsiella_variicola	57.02	fmh_s127_match_k8	44643	7837.0
g11_Klebsiella_variicola	57.02	fmh_s105_match_k16	53940	9469.0
g12_Aquipseudomonas_alloputida	61.52	panel_k2	23059	3730.0
g12_Aquipseudomonas_alloputida	61.52	panel_k4	32955	5331.0
g12_Aquipseudomonas_alloputida	61.52	panel_k8	49467	8002.0
g12_Aquipseudomonas_alloputida	61.52	panel_k16	60038	9712.0
g12_Aquipseudomonas_alloputida	61.52	fmh_s125_match_k8	48542	7852.0
g12_Aquipseudomonas_alloputida	61.52	fmh_s103_match_k16	58837	9518.0
g13_Pseudomonas_aeruginosa	65.3	panel_k2	22675	3010.0
g13_Pseudomonas_aeruginosa	65.3	panel_k4	34622	4596.0
g13_Pseudomonas_aeruginosa	65.3	panel_k8	56236	7464.0
g13_Pseudomonas_aeruginosa	65.3	panel_k16	72952	9683.0
g13_Pseudomonas_aeruginosa	65.3	fmh_s134_match_k8	54107	7182.0
g13_Pseudomonas_aeruginosa	65.3	fmh_s103_match_k16	70444	9350.0
g14_Mycobacterium_kubicae	66.01	panel_k2	21379	3555.0
g14_Mycobacterium_kubicae	66.01	panel_k4	33790	5618.0
g14_Mycobacterium_kubicae	66.01	panel_k8	57547	9568.0
g14_Mycobacterium_kubicae	66.01	panel_k16	73284	12185.0
g14_Mycobacterium_kubicae	66.01	fmh_s105_match_k8	55233	9183.0
g14_Mycobacterium_kubicae	66.01	fmh_s82_match_k16	70859	11782.0
g15_Mycobacterium_peregrinum	66.06	panel_k2	26556	3634.0
g15_Mycobacterium_peregrinum	66.06	panel_k4	43043	5890.0
g15_Mycobacterium_peregrinum	66.06	panel_k8	74521	10198.0
g15_Mycobacterium_peregrinum	66.06	panel_k16	95469	13064.0
g15_Mycobacterium_peregrinum	66.06	fmh_s98_match_k8	73028	9993.0
g15_Mycobacterium_peregrinum	66.06	fmh_s77_match_k16	92984	12724.0
g16_Streptomyces_violaceoruber	72.0	panel_k2	24375	2692.0
g16_Streptomyces_violaceoruber	72.0	panel_k4	40451	4467.0
g16_Streptomyces_violaceoruber	72.0	panel_k8	72321	7987.0
g16_Streptomyces_violaceoruber	72.0	panel_k16	112497	12424.0
g16_Streptomyces_violaceoruber	72.0	fmh_s125_match_k8	70752	7814.0
g16_Streptomyces_violaceoruber	72.0	fmh_s80_match_k16	110696	12225.0
g17_Streptomyces_fungicidicus	72.01	panel_k2	21974	2627.0
g17_Streptomyces_fungicidicus	72.01	panel_k4	36535	4368.0
g17_Streptomyces_fungicidicus	72.01	panel_k8	65871	7876.0
g17_Streptomyces_fungicidicus	72.01	panel_k16	103978	12432.0
g17_Streptomyces_fungicidicus	72.01	fmh_s127_match_k8	64849	7754.0
g17_Streptomyces_fungicidicus	72.01	fmh_s80_match_k16	103107	12328.0
