sample	genome	taxonomy	dispersion	fraction	containment	PTR	log2(PTR)	enzyme_consistency	n_anchors	ori_confidence	se	ci_low	ci_high	n_enzymes	n_enzymes_attempted	enzyme_fit_rate	enzymes_used	enzyme_i2	fusion_model	ori	method	n_windows	pass_qc	qc_reason	excluded	note	run	coverage
SRR28338156	GCA_041389005.1_ASM4138900v1_genomic	-							0					0	13	0.0	-		fixed		none	0	False	only 0/13 enzymes produced a fit; no PTR estimate	BaeI:only 3 windows after outlier trimming;BcgI:only 2 windows after outlier trimming;BplI:only 1 windows after outlier trimming;BsaXI:only 1 windows after outlier trimming;BslFI:fragmented reference (12 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Bsp24I:only 3 windows after outlier trimming;CjeI:fragmented reference (12 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (12 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CspCI:only 1 windows after outlier trimming;FalI:only 2 windows after outlier trimming;HaeIV:fragmented reference (12 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (12 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:only 4 windows after outlier trimming	no enzyme produced a usable estimate	SRR28338156	2.472309719
SRR28338156	GCA_041389025.1_ASM4138902v1_genomic	-							0					0	16	0.0	-		fixed		none	0	False	only 0/16 enzymes produced a fit; no PTR estimate	AlfI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;AloI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BaeI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BcgI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BplI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BsaXI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BslFI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Bsp24I:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjeI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CspCI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;FalI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;HaeIV:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PsrI:fragmented reference (11 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly	no enzyme produced a usable estimate	SRR28338156	1.453981844
SRR28338156	GCA_041389045.1_ASM4138904v1_genomic	-							0					0	16	0.0	-		fixed		none	0	False	only 0/16 enzymes produced a fit; no PTR estimate	AlfI:only 3 windows after outlier trimming;AloI:only 1 windows after outlier trimming;BaeI:only 4 windows after outlier trimming;BcgI:only 3 windows after outlier trimming;BplI:only 3 windows after outlier trimming;BsaXI:fragmented reference (4 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BslFI:fragmented reference (4 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Bsp24I:only 3 windows after outlier trimming;CjeI:fragmented reference (4 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (4 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CspCI:only 1 windows after outlier trimming;FalI:fragmented reference (4 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;HaeIV:fragmented reference (4 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (4 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:only 3 windows after outlier trimming;PsrI:only 3 windows after outlier trimming	no enzyme produced a usable estimate	SRR28338156	1.61596403
SRR28338156	GCA_041389065.1_ASM4138906v1_genomic	-							0					0	16	0.0	-		fixed		none	0	False	only 0/16 enzymes produced a fit; no PTR estimate	AlfI:only 3 windows after outlier trimming;AloI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BaeI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BcgI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BplI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BsaXI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BslFI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Bsp24I:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjeI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CspCI:only 3 windows after outlier trimming;FalI:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;HaeIV:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (9 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:only 3 windows after outlier trimming;PsrI:only 4 windows after outlier trimming	no enzyme produced a usable estimate	SRR28338156	1.316897321
SRR28338156	GCA_041389085.1_ASM4138908v1_genomic	-							0					0	15	0.0	-		fixed		none	0	False	only 0/15 enzymes produced a fit; no PTR estimate	AlfI:only 3 windows after outlier trimming;AloI:only 1 windows after outlier trimming;BaeI:only 1 windows after outlier trimming;BcgI:only 3 windows after outlier trimming;BplI:only 3 windows after outlier trimming;BsaXI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BslFI:only 4 windows after outlier trimming;Bsp24I:only 2 windows after outlier trimming;CjeI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;FalI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;HaeIV:only 2 windows after outlier trimming;Hin4I:only 3 windows after outlier trimming;PpiI:only 1 windows after outlier trimming;PsrI:only 2 windows after outlier trimming	no enzyme produced a usable estimate	SRR28338156	2.345651803
SRR28338156	GCA_041389105.1_ASM4138910v1_genomic	-							0					0	13	0.0	-		fixed		none	0	False	only 0/13 enzymes produced a fit; no PTR estimate	AloI:only 3 windows after outlier trimming;BaeI:only 2 windows after outlier trimming;BcgI:only 3 windows after outlier trimming;BsaXI:only 1 windows after outlier trimming;BslFI:only 4 windows after outlier trimming;Bsp24I:only 3 windows after outlier trimming;CjeI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;FalI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;HaeIV:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:only 1 windows after outlier trimming;PsrI:only 1 windows after outlier trimming	no enzyme produced a usable estimate	SRR28338156	1.373062257
SRR28338156	GCA_041389125.1_ASM4138912v1_genomic	-							0					0	13	0.0	-		fixed		none	0	False	only 0/13 enzymes produced a fit; no PTR estimate	AloI:only 1 windows after outlier trimming;BaeI:only 3 windows after outlier trimming;BcgI:only 3 windows after outlier trimming;BplI:only 1 windows after outlier trimming;BsaXI:only 2 windows after outlier trimming;BslFI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Bsp24I:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjeI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;FalI:only 4 windows after outlier trimming;HaeIV:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:only 1 windows after outlier trimming	no enzyme produced a usable estimate	SRR28338156	1.304685887
SRR28338156	GCA_041389145.1_ASM4138914v1_genomic	-							0					0	16	0.0	-		fixed		none	0	False	only 0/16 enzymes produced a fit; no PTR estimate	AlfI:only 3 windows after outlier trimming;AloI:only 2 windows after outlier trimming;BaeI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BcgI:only 3 windows after outlier trimming;BplI:only 2 windows after outlier trimming;BsaXI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BslFI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Bsp24I:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjeI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CspCI:only 2 windows after outlier trimming;FalI:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;HaeIV:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (13 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:only 2 windows after outlier trimming;PsrI:only 2 windows after outlier trimming	no enzyme produced a usable estimate	SRR28338156	1.517190217
SRR28338156	GCA_041389165.1_ASM4138916v1_genomic	-							0					0	16	0.0	-		fixed		none	0	False	only 0/16 enzymes produced a fit; no PTR estimate	AlfI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;AloI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BaeI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BcgI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BplI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BsaXI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BslFI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Bsp24I:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjeI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CspCI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;FalI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;HaeIV:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PsrI:fragmented reference (8 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly	no enzyme produced a usable estimate	SRR28338156	1.46072515
SRR28338156	GCA_041389185.1_ASM4138918v1_genomic	-							0					0	16	0.0	-		fixed		none	0	False	only 0/16 enzymes produced a fit; no PTR estimate	AlfI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;AloI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BaeI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BcgI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BplI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BsaXI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;BslFI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Bsp24I:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjeI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CjePI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;CspCI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;FalI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;HaeIV:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;Hin4I:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PpiI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly;PsrI:fragmented reference (52 contigs); scaffold and use --method v_shape, or choose --method sorted explicitly	no enzyme produced a usable estimate	SRR28338156	34.04500909
