file	accession	organism	n_contigs	total_len	domain	mag	n50	Completeness	Contamination
GCA_041389005.1_ASM4138900v1_genomic.fna	GCA_041389005.1	Minisyncoccota bacterium (bacteria)	12	720850	Bacteria	GCA_041389005.1_ASM4138900v1_genomic	100969	78.28	0.93
GCA_041389025.1_ASM4138902v1_genomic.fna	GCA_041389025.1	Minisyncoccota bacterium (bacteria)	11	1037391	Bacteria	GCA_041389025.1_ASM4138902v1_genomic	622966	98.66	2.25
GCA_041389045.1_ASM4138904v1_genomic.fna	GCA_041389045.1	Minisyncoccota bacterium (bacteria)	4	836425	Bacteria	GCA_041389045.1_ASM4138904v1_genomic	237115	85.88	0.34
GCA_041389065.1_ASM4138906v1_genomic.fna	GCA_041389065.1	Minisyncoccota bacterium (bacteria)	9	525725	Bacteria	GCA_041389065.1_ASM4138906v1_genomic	134277	75.81	0.66
GCA_041389085.1_ASM4138908v1_genomic.fna	GCA_041389085.1	Minisyncoccota bacterium (bacteria)	13	609573	Bacteria	GCA_041389085.1_ASM4138908v1_genomic	312629	93.82	0.19
GCA_041389105.1_ASM4138910v1_genomic.fna	GCA_041389105.1	Minisyncoccota bacterium (bacteria)	8	640191	Bacteria	GCA_041389105.1_ASM4138910v1_genomic	143066	62.34	2.37
GCA_041389125.1_ASM4138912v1_genomic.fna	GCA_041389125.1	Minisyncoccota bacterium (bacteria)	8	625355	Bacteria	GCA_041389125.1_ASM4138912v1_genomic	381443	78.0	0.92
GCA_041389145.1_ASM4138914v1_genomic.fna	GCA_041389145.1	Patescibacteria group bacterium (bacteria)	13	542021	Bacteria	GCA_041389145.1_ASM4138914v1_genomic	68009	84.91	0.0
GCA_041389165.1_ASM4138916v1_genomic.fna	GCA_041389165.1	Candidatus Altimarinota bacterium (bacteria)	8	1309946	Bacteria	GCA_041389165.1_ASM4138916v1_genomic	256965	97.34	0.59
GCA_041389185.1_ASM4138918v1_genomic.fna	GCA_041389185.1	Nitrospirales bacterium (bacteria)	52	4307141	Bacteria	GCA_041389185.1_ASM4138918v1_genomic	235174	96.62	4.57
GCA_041389205.1_ASM4138920v1_genomic.fna	GCA_041389205.1	Nitrospirales bacterium (bacteria)	196	4574693	Bacteria	GCA_041389205.1_ASM4138920v1_genomic	77310	86.46	7.22
GCA_041389225.1_ASM4138922v1_genomic.fna	GCA_041389225.1	Candidatus Doudnabacteria bacterium (bacteria)	15	794984	Bacteria	GCA_041389225.1_ASM4138922v1_genomic	74977	98.59	0.42
GCA_041389245.1_ASM4138924v1_genomic.fna	GCA_041389245.1	Nitrospirales bacterium (bacteria)	62	3830247	Bacteria	GCA_041389245.1_ASM4138924v1_genomic	99091	90.27	0.77
GCA_041389265.1_ASM4138926v1_genomic.fna	GCA_041389265.1	Nitrospirales bacterium (bacteria)	67	3720068	Bacteria	GCA_041389265.1_ASM4138926v1_genomic	109354	92.9	2.92
GCA_041389285.1_ASM4138928v1_genomic.fna	GCA_041389285.1	Nitrospira sp. (bacteria)	37	3884724	Bacteria	GCA_041389285.1_ASM4138928v1_genomic	276263	94.04	0.99
GCA_041389305.1_ASM4138930v1_genomic.fna	GCA_041389305.1	Nitrospira sp. (bacteria)	88	3249269	Bacteria	GCA_041389305.1_ASM4138930v1_genomic	216551	62.01	1.33
GCA_041389325.1_ASM4138932v1_genomic.fna	GCA_041389325.1	Nitrospirales bacterium (bacteria)	2	3776368	Bacteria	GCA_041389325.1_ASM4138932v1_genomic	3774741	98.45	0.43
GCA_041389345.1_ASM4138934v1_genomic.fna	GCA_041389345.1	Nitrospira sp. (bacteria)	1	4146961	Bacteria	GCA_041389345.1_ASM4138934v1_genomic	4146961	100.0	0.76
GCA_041389365.1_ASM4138936v1_genomic.fna	GCA_041389365.1	Nitrospira sp. (bacteria)	244	4602434	Bacteria	GCA_041389365.1_ASM4138936v1_genomic	46165	86.99	4.57
GCA_041389385.1_ASM4138938v1_genomic.fna	GCA_041389385.1	Nitrospira sp. (bacteria)	47	4316898	Bacteria	GCA_041389385.1_ASM4138938v1_genomic	283193	99.72	5.56
GCA_041389405.1_ASM4138940v1_genomic.fna	GCA_041389405.1	Myxococcota bacterium (bacteria)	154	4691095	Bacteria	GCA_041389405.1_ASM4138940v1_genomic	55104	56.18	1.63
GCA_041389425.1_ASM4138942v1_genomic.fna	GCA_041389425.1	Myxococcota bacterium (bacteria)	78	5970066	Bacteria	GCA_041389425.1_ASM4138942v1_genomic	147814	92.28	2.61
GCA_041389445.1_ASM4138944v1_genomic.fna	GCA_041389445.1	Myxococcota bacterium (bacteria)	19	5834640	Bacteria	GCA_041389445.1_ASM4138944v1_genomic	641634	87.98	1.82
GCA_041389465.1_ASM4138946v1_genomic.fna	GCA_041389465.1	Myxococcota bacterium (bacteria)	28	5959428	Bacteria	GCA_041389465.1_ASM4138946v1_genomic	423026	93.04	1.57
GCA_041389485.1_ASM4138948v1_genomic.fna	GCA_041389485.1	Myxococcota bacterium (bacteria)	94	3676882	Bacteria	GCA_041389485.1_ASM4138948v1_genomic	63964	55.98	1.68
GCA_041389495.1_ASM4138949v1_genomic.fna	GCA_041389495.1	Myxococcota bacterium (bacteria)	11	5138570	Bacteria	GCA_041389495.1_ASM4138949v1_genomic	1288955	96.54	2.92
GCA_041389525.1_ASM4138952v1_genomic.fna	GCA_041389525.1	Myxococcota bacterium (bacteria)	126	6975475	Bacteria	GCA_041389525.1_ASM4138952v1_genomic	93940	92.23	0.97
GCA_041389545.1_ASM4138954v1_genomic.fna	GCA_041389545.1	Myxococcota bacterium (bacteria)	203	8559843	Bacteria	GCA_041389545.1_ASM4138954v1_genomic	107756	70.92	2.47
GCA_041389565.1_ASM4138956v1_genomic.fna	GCA_041389565.1	Myxococcota bacterium (bacteria)	49	9075512	Bacteria	GCA_041389565.1_ASM4138956v1_genomic	263826	94.25	2.91
GCA_041389585.1_ASM4138958v1_genomic.fna	GCA_041389585.1	Polyangiales bacterium (bacteria)	100	7933929	Bacteria	GCA_041389585.1_ASM4138958v1_genomic	181519	97.33	1.08
GCA_041389605.1_ASM4138960v1_genomic.fna	GCA_041389605.1	Polyangiales bacterium (bacteria)	41	2328666	Bacteria	GCA_041389605.1_ASM4138960v1_genomic	116050	55.33	1.28
GCA_041389625.1_ASM4138962v1_genomic.fna	GCA_041389625.1	Polyangiales bacterium (bacteria)	59	3842679	Bacteria	GCA_041389625.1_ASM4138962v1_genomic	106367	79.05	0.14
GCA_041389635.1_ASM4138963v1_genomic.fna	GCA_041389635.1	Sandaracinaceae bacterium (bacteria)	209	6761104	Bacteria	GCA_041389635.1_ASM4138963v1_genomic	50503	57.94	2.79
GCA_041389665.1_ASM4138966v1_genomic.fna	GCA_041389665.1	Polyangiales bacterium (bacteria)	375	8746869	Bacteria	GCA_041389665.1_ASM4138966v1_genomic	50134	83.07	1.21
GCA_041389685.1_ASM4138968v1_genomic.fna	GCA_041389685.1	Polyangiaceae bacterium (bacteria)	86	12335026	Bacteria	GCA_041389685.1_ASM4138968v1_genomic	373517	98.76	5.06
GCA_041389705.1_ASM4138970v1_genomic.fna	GCA_041389705.1	Polyangiaceae bacterium (bacteria)	398	11511144	Bacteria	GCA_041389705.1_ASM4138970v1_genomic	55380	88.86	4.88
GCA_041389725.1_ASM4138972v1_genomic.fna	GCA_041389725.1	Polyangiaceae bacterium (bacteria)	29	9687657	Bacteria	GCA_041389725.1_ASM4138972v1_genomic	782159	98.87	1.21
GCA_041389745.1_ASM4138974v1_genomic.fna	GCA_041389745.1	Polyangiaceae bacterium (bacteria)	73	8497744	Bacteria	GCA_041389745.1_ASM4138974v1_genomic	259201	91.18	4.57
GCA_041389765.1_ASM4138976v1_genomic.fna	GCA_041389765.1	Polyangiaceae bacterium (bacteria)	417	12308045	Bacteria	GCA_041389765.1_ASM4138976v1_genomic	58968	97.4	4.47
GCA_041389785.1_ASM4138978v1_genomic.fna	GCA_041389785.1	Polyangiaceae bacterium (bacteria)	30	8541571	Bacteria	GCA_041389785.1_ASM4138978v1_genomic	679916	95.89	0.68
GCA_041389805.1_ASM4138980v1_genomic.fna	GCA_041389805.1	Polyangiaceae bacterium (bacteria)	149	8599012	Bacteria	GCA_041389805.1_ASM4138980v1_genomic	148180	90.98	3.5
GCA_041389825.1_ASM4138982v1_genomic.fna	GCA_041389825.1	Polyangiales bacterium (bacteria)	118	7198164	Bacteria	GCA_041389825.1_ASM4138982v1_genomic	128680	76.42	1.38
GCA_041389845.1_ASM4138984v1_genomic.fna	GCA_041389845.1	Nannocystaceae bacterium (bacteria)	204	9265007	Bacteria	GCA_041389845.1_ASM4138984v1_genomic	80993	66.89	0.87
GCA_041389865.1_ASM4138986v1_genomic.fna	GCA_041389865.1	Nannocystaceae bacterium (bacteria)	251	6022054	Bacteria	GCA_041389865.1_ASM4138986v1_genomic	36490	62.62	0.38
GCA_041389885.1_ASM4138988v1_genomic.fna	GCA_041389885.1	Polyangiales bacterium (bacteria)	87	6862027	Bacteria	GCA_041389885.1_ASM4138988v1_genomic	180884	81.16	2.33
GCA_041389905.1_ASM4138990v1_genomic.fna	GCA_041389905.1	Nannocystaceae bacterium (bacteria)	139	8174406	Bacteria	GCA_041389905.1_ASM4138990v1_genomic	96690	79.71	1.91
GCA_041389925.1_ASM4138992v1_genomic.fna	GCA_041389925.1	Kofleriaceae bacterium (bacteria)	18	7973570	Bacteria	GCA_041389925.1_ASM4138992v1_genomic	755846	92.73	1.42
GCA_041389945.1_ASM4138994v1_genomic.fna	GCA_041389945.1	Kofleriaceae bacterium (bacteria)	76	5003352	Bacteria	GCA_041389945.1_ASM4138994v1_genomic	137253	78.03	2.47
GCA_041389965.1_ASM4138996v1_genomic.fna	GCA_041389965.1	Kofleriaceae bacterium (bacteria)	41	7702972	Bacteria	GCA_041389965.1_ASM4138996v1_genomic	326305	92.5	1.18
GCA_041389985.1_ASM4138998v1_genomic.fna	GCA_041389985.1	bacterium (bacteria)	91	7848303	Bacteria	GCA_041389985.1_ASM4138998v1_genomic	150251	90.38	0.58
GCA_041390005.1_ASM4139000v1_genomic.fna	GCA_041390005.1	bacterium (bacteria)	230	6047378	Bacteria	GCA_041390005.1_ASM4139000v1_genomic	49893	57.02	0.36
GCA_041390025.1_ASM4139002v1_genomic.fna	GCA_041390025.1	bacterium (bacteria)	61	5441944	Bacteria	GCA_041390025.1_ASM4139002v1_genomic	145773	87.04	2.18
