sample	genome_id	contig_id	position	e
S01	40	0	27344	0.144105
S01	40	0	28648	0.872947
S01	40	0	49460	0.0196743
S01	40	0	50793	0.809073
S01	40	0	54301	1.05859
S01	40	0	56090	0.12651
S01	40	0	57000	0.277549
S01	40	0	62097	1.42546
S01	40	0	64576	3.16472
S01	40	0	64936	1.34945
S01	40	0	68968	0.0908931
S01	40	0	86971	1.29383
S01	40	0	119274	0.0875646
S01	40	0	124703	0.0470991
S01	40	0	142743	0.588739
S01	40	0	156479	0.113727
S01	40	0	161874	0.976971
S01	40	0	162960	0.243807
S01	40	0	195255	2.51261
S01	40	0	199467	0.288109
S01	40	0	200941	0.0191885
S01	40	0	205294	0.0802205
S01	40	0	222233	1.02533
S01	40	0	223913	1.74856
S01	40	0	224486	0.390788
S01	40	0	225643	0.673773
S01	40	1	3840	0.193186
S01	40	1	3866	0.0532893
S01	40	1	5725	0.163608
S01	40	1	5976	0.0450514
S01	40	1	6458	0.425828
S01	40	1	9064	0.272281
S01	40	1	9242	1.11745
S01	40	1	13133	0.0367875
S01	40	1	18674	0.102255
S01	40	1	19169	2.94616
S01	40	1	19851	0.528664
S01	40	1	24733	0.0180729
S01	40	1	36587	0.262166
S01	40	1	37138	1.26364
S01	40	1	47965	2.69261
S01	40	1	49528	0.0425828
S01	40	1	54467	1.76078
S01	40	1	55511	0.919687
S01	40	1	58694	0.415932
S01	40	1	62158	1.13623
S01	40	1	70707	0.197996
S01	40	1	72863	0.0190708
S01	40	1	77320	0.310854
S01	40	1	77675	0.202331
S01	40	1	80414	0.0383771
S01	40	1	81557	0.0470991
S01	40	1	93051	0.194284
S01	40	1	97133	0.224714
S01	40	1	99933	0.162538
S01	40	1	109407	0.397203
S01	40	1	118000	2.71134
S01	40	1	121017	0.259045
S01	40	1	130949	0.18614
S01	40	1	134290	1.49495
S01	40	1	139047	0.618073
S01	40	1	139731	0.0840147
S01	40	1	139979	0.274788
S01	40	1	140540	2.28569
S01	40	1	143710	0.248683
S01	40	1	149265	0.0170799
S01	40	1	149897	0.919687
S01	40	1	150662	0.827599
S01	40	1	154795	0.313264
S01	40	1	162507	1.36418
S01	40	1	165954	0.0220464
S01	40	1	173454	0.174856
S01	40	1	173517	2.99865
S01	40	1	200381	6.21709
S01	40	1	201247	3.10854
S01	40	1	201723	0.308924
S01	40	2	83286	0.999951
S01	40	2	93225	0.115131
S01	40	3	2672	2.10634
S01	40	3	7356	4.16323
S01	40	3	9684	0.217796
S01	40	3	16608	0.0165348
S01	40	3	20647	0.152879
S01	40	3	21514	0.210353
S01	40	3	21906	0.158397
S01	40	3	31173	3.66006
S01	40	3	32343	0.592104
S01	40	3	43261	13.9884
S01	40	3	48370	3.51194
S01	40	3	68047	0.144105
S01	40	3	70114	0.251
S01	40	3	82102	3.42737
S01	40	3	91648	0.0809517
S01	40	3	100755	3.96673
S01	40	3	103338	0.273279
S01	40	3	105180	0.201853
S01	40	3	109396	5.39596
S01	40	3	110131	0.0744561
S01	40	3	111379	3.71674
S01	40	3	113744	0.293259
S01	40	3	116028	0.177631
S01	40	3	117757	0.0195506
S01	40	3	118010	0.234607
S01	40	3	118365	0.999951
S01	40	3	131773	1.56216
S01	40	4	9027	3.42621
S01	40	4	14975	0.942484
S01	40	4	33599	0.211946
S01	40	4	89999	0.785316
S01	40	4	95344	2.03536
S01	40	4	96402	1.19559
S01	40	4	124993	0.0729705
S01	40	4	133753	0.178909
S01	40	4	137618	0.97142
S01	40	4	144402	3.17973
S01	40	5	1463	0.834
S01	40	5	4733	0.0575656
S01	40	5	6409	0.444078
S01	40	5	30154	1.45311
S01	40	5	32236	1.91725
S01	40	5	39153	0.0638742
S01	40	5	42025	0.155427
S01	40	5	49011	0.540616
S01	40	5	50472	3.23432
S01	40	5	50858	0.0680703
S01	40	5	51551	4.4571
S01	40	5	51977	2.08908
S01	40	5	57316	0.410899
S01	40	5	60414	0.0894545
S01	40	5	64847	0.510689
S01	40	5	66669	0.0163608
S01	40	5	70174	6.21709
S01	40	5	78876	1.99416
S01	40	5	83202	0.0758181
S01	40	5	84430	6.21709
S01	40	5	93468	2.78972
S01	40	5	94432	0.911405
S01	40	5	94687	0.0582852
S01	40	5	107127	0.0568636
S01	40	5	107552	1.15954
S01	40	5	109800	5.10542
S01	40	5	111909	0.750338
S01	40	5	115643	2.27802
S01	40	5	133939	0.269407
S01	40	5	141934	0.510993
S01	40	5	142150	3.04423
S01	40	6	43085	4.21497
S01	40	6	54828	0.174856
S01	40	6	55082	2.60569
S01	40	6	55272	0.561265
S01	40	6	55595	0.0190708
S01	40	6	56390	0.212914
S01	40	6	63469	0.39993
S01	40	6	68627	1.73905
S01	40	6	71390	0.11657
S01	40	6	71658	0.30626
S01	40	6	74261	2.59677
S01	40	6	92015	0.794153
S01	40	6	93908	0.282595
S01	40	6	102632	0.153508
S01	40	6	103067	0.296052
S01	40	6	105531	3.81116
S01	40	6	125422	0.0470991
S01	40	6	135596	0.0205864
S01	40	6	137204	0.463385
S01	40	6	137272	0.245411
S01	40	7	919	1.87462
S01	40	7	1339	2.23177
S01	40	7	3087	0.529604
S01	40	7	27820	0.118046
S01	40	7	37847	1.57616
S01	40	7	38302	0.506448
S01	40	7	52667	4.86732
S01	40	7	55407	0.0167126
S01	40	7	59126	0.128852
S01	40	7	59599	0.529865
S01	40	7	59969	0.097142
S01	40	7	65457	0.24144
S01	40	7	67594	0.255766
S01	40	7	69822	1.30074
S01	40	7	92658	0.792783
S01	40	7	99129	0.220606
S01	40	7	101403	0.56519
S01	40	7	112134	0.405462
S01	40	7	120102	0.254158
S01	40	8	7785	4.77842
S01	40	8	13491	0.0661392
S01	40	8	15237	0.422148
S01	40	8	18628	0.215207
S01	40	8	22625	5.00821
S01	40	8	25080	0.400343
S01	40	8	33118	0.340351
S01	40	8	37509	0.521309
S01	40	8	45706	0.0391012
S01	40	8	46210	0.724691
S01	40	8	50333	2.37851
S01	40	8	51325	0.121112
S01	40	8	52501	0.891116
S01	40	8	54713	0.1509
S01	40	8	63240	1.63704
S01	40	8	64089	0.405462
S01	40	8	64427	0.833008
S01	40	8	65262	1.11985
S01	40	8	69494	3.05202
S01	40	8	70046	0.135154
S01	40	8	70344	0.906659
S01	40	8	72286	1.93512
S01	40	8	77755	0.687956
S01	40	8	81715	0.411425
S01	40	8	82536	0.249794
S01	40	8	84407	0.444078
S01	40	8	105532	0.0381416
S01	40	8	107275	1.60913
S01	40	9	62156	1.69998
S01	40	9	68939	0.270308
S01	40	9	90579	1.08123
S01	40	9	100906	0.639346
S01	40	10	23532	1.55427
S01	40	10	40251	1.10643
S01	40	10	49788	1.53738
S01	40	10	56525	2.0658
S01	40	10	57492	0.189545
S01	40	10	57930	0.24251
S01	40	10	58985	2.08935
S01	40	10	72314	0.986839
S01	40	10	82187	0.426171
S01	40	10	83445	0.141297
S01	40	10	85789	0.627989
S01	40	10	87942	0.541488
S01	40	10	95411	0.621709
S01	40	10	102153	0.725327
S01	40	10	104228	0.0786973
S01	40	10	106675	0.236092
S01	40	11	32300	0.0914278
S01	40	11	46265	0.807191
S01	40	11	49457	0.511995
S01	40	11	62223	0.0807414
S01	40	11	62404	5.90623
S01	40	11	71844	0.434874
S01	40	11	77655	5.84328
S01	40	11	81771	3.10854
S01	40	11	84398	0.300827
S01	40	11	86830	0.0169866
S01	40	11	91323	0.096389
S01	40	11	96193	0.832646
S01	40	11	101193	0.792374
S01	40	11	106122	3.91762
S01	40	11	106905	0.669797
S01	40	11	107056	0.305464
S01	40	11	107475	0.450203
S01	40	11	107827	2.2232
