mag	n	mean	std	n_contigs
GCA_041389005.1_ASM4138900v1_genomic	9	0.5517865774688889	0.4259916791638664	12
GCA_041389025.1_ASM4138902v1_genomic	9	0.47386024662222226	0.3164385322975087	11
GCA_041389045.1_ASM4138904v1_genomic	9	0.625117915331	0.7806448367007224	4
GCA_041389065.1_ASM4138906v1_genomic	9	0.5325361103111111	0.31534836658269483	9
GCA_041389085.1_ASM4138908v1_genomic	8	0.77185690023625	0.8139253914754745	13
GCA_041389105.1_ASM4138910v1_genomic	8	0.63427978519875	0.4723918098339264	8
GCA_041389125.1_ASM4138912v1_genomic	7	0.6786660551	0.2139617096642092	8
GCA_041389145.1_ASM4138914v1_genomic	9	0.7491024587422223	0.8933368671983133	13
GCA_041389165.1_ASM4138916v1_genomic	9	0.28963106766744445	0.14776349448216947	8
GCA_041389185.1_ASM4138918v1_genomic	9	0.2559354876	0.11212595433032863	52
GCA_041389205.1_ASM4138920v1_genomic	9	3.480499269777778	1.3744020515734279	196
GCA_041389225.1_ASM4138922v1_genomic	9	0.3312519277888889	0.14199898411535275	15
GCA_041389245.1_ASM4138924v1_genomic	9	0.3465177365711111	0.23423715825556046	62
GCA_041389265.1_ASM4138926v1_genomic	9	0.17234704970666667	0.20281222455522854	67
GCA_041389285.1_ASM4138928v1_genomic	9	0.3102953301533333	0.2538656704593778	37
GCA_041389305.1_ASM4138930v1_genomic	9	0.5861070594555556	0.4190463687324604	88
GCA_041389325.1_ASM4138932v1_genomic	9	0.2661852156333333	0.17777568875271235	2
GCA_041389345.1_ASM4138934v1_genomic	9	0.3165728215888889	0.23233282589445003	1
GCA_041389365.1_ASM4138936v1_genomic	9	3.5916454927777774	0.9147902784103416	244
GCA_041389385.1_ASM4138938v1_genomic	9	0.47476694706666667	0.2992200708723636	47
GCA_041389405.1_ASM4138940v1_genomic	9	2.2877590254444446	0.18938929016654144	154
GCA_041389425.1_ASM4138942v1_genomic	9	0.09553831030666665	0.03553460353358094	78
GCA_041389445.1_ASM4138944v1_genomic	9	0.12639298290444445	0.03291517778667606	19
GCA_041389465.1_ASM4138946v1_genomic	9	0.26867723561222223	0.22671356558870145	28
GCA_041389485.1_ASM4138948v1_genomic	9	0.33047204636666666	0.232980074762092	94
GCA_041389495.1_ASM4138949v1_genomic	9	0.14930789038777778	0.08864195310779723	11
GCA_041389525.1_ASM4138952v1_genomic	9	2.032859174555556	0.5452721602026332	126
GCA_041389545.1_ASM4138954v1_genomic	9	2.4659702197777777	0.4624864986833324	203
GCA_041389565.1_ASM4138956v1_genomic	9	0.09436174883666666	0.06046056266363648	49
GCA_041389585.1_ASM4138958v1_genomic	9	0.08330092638111111	0.025942550058408394	100
GCA_041389605.1_ASM4138960v1_genomic	9	0.22115708538111112	0.1609043697050737	41
GCA_041389625.1_ASM4138962v1_genomic	9	0.2015983948411111	0.11949968458562403	59
GCA_041389635.1_ASM4138963v1_genomic	9	2.136155030222222	0.1957845322619364	209
GCA_041389665.1_ASM4138966v1_genomic	9	2.108571011111111	0.30917880158859884	375
GCA_041389685.1_ASM4138968v1_genomic	9	0.08341149695	0.038168306593358174	86
GCA_041389705.1_ASM4138970v1_genomic	9	2.4755394443333336	0.5426775068744595	398
GCA_041389725.1_ASM4138972v1_genomic	9	0.14371830700444443	0.04413445243540077	29
GCA_041389745.1_ASM4138974v1_genomic	9	0.07673301784444445	0.03394738471255699	73
GCA_041389765.1_ASM4138976v1_genomic	9	2.262645873111111	0.24389414578112997	417
GCA_041389785.1_ASM4138978v1_genomic	9	0.1221297669788889	0.07030541979810125	30
GCA_041389805.1_ASM4138980v1_genomic	9	2.029865098666667	0.39518811190799347	149
GCA_041389825.1_ASM4138982v1_genomic	9	2.3953961236666665	0.49490645597105076	118
GCA_041389845.1_ASM4138984v1_genomic	9	2.308831723111111	0.4813017752996094	204
GCA_041389865.1_ASM4138986v1_genomic	9	2.161639602222222	0.33162932939353906	251
GCA_041389885.1_ASM4138988v1_genomic	9	0.14740791833666667	0.11417794781764208	87
GCA_041389905.1_ASM4138990v1_genomic	9	1.79782684	0.25894138016158885	139
GCA_041389925.1_ASM4138992v1_genomic	9	0.26437681253333334	0.12997326627080494	18
GCA_041389945.1_ASM4138994v1_genomic	9	0.20166369427777778	0.09551310703209039	76
GCA_041389965.1_ASM4138996v1_genomic	9	0.18280640871666667	0.09686566892796163	41
GCA_041389985.1_ASM4138998v1_genomic	9	0.28581581717777776	0.12995674066362942	91
GCA_041390005.1_ASM4139000v1_genomic	9	2.319096670111111	0.14264189358161583	230
GCA_041390025.1_ASM4139002v1_genomic	9	0.1414064133888889	0.07030682371748477	61
GCA_041390045.1_ASM4139004v1_genomic	9	2.4477736924444446	0.2170142168644492	272
GCA_041390065.1_ASM4139006v1_genomic	9	0.2101494935	0.04775303354824878	37
GCA_041390085.1_ASM4139008v1_genomic	9	0.16708698413444445	0.10695085650139491	16
GCA_041390105.1_ASM4139010v1_genomic	9	0.25328473681111113	0.10059285817554232	8
GCA_041390125.1_ASM4139012v1_genomic	9	0.1747508955888889	0.1253599899296085	43
GCA_041390145.1_ASM4139014v1_genomic	9	0.16907492526666668	0.05823672838845532	26
GCA_041390165.1_ASM4139016v1_genomic	9	0.13985586590666668	0.0640014064940951	39
GCA_041390185.1_ASM4139018v1_genomic	9	1.9769975815555556	0.33334529042355293	112
GCA_041390205.1_ASM4139020v1_genomic	9	2.35774107	0.44513528684920484	138
GCA_041390225.1_ASM4139022v1_genomic	9	2.3626200547777776	0.5421582402756785	126
GCA_041390245.1_ASM4139024v1_genomic	9	1.1831199692733334	0.9807113798737338	7
GCA_041390265.1_ASM4139026v1_genomic	9	2.091077902522222	0.7147711778766656	166
GCA_041390285.1_ASM4139028v1_genomic	9	0.13858871506111112	0.03730072865214074	26
GCA_041390305.1_ASM4139030v1_genomic	9	0.11670560101333333	0.04387268882464432	90
GCA_041390325.1_ASM4139032v1_genomic	9	2.3344747397777774	0.4718709707083636	106
GCA_041390345.1_ASM4139034v1_genomic	9	0.5310173296844445	0.3212023449789191	65
GCA_041390365.1_ASM4139036v1_genomic	9	0.44305226171444445	0.3143256512281083	10
GCA_041390385.1_ASM4139038v1_genomic	9	3.358040436233333	1.9469314257592139	142
GCA_041390405.1_ASM4139040v1_genomic	6	1.9734090751	1.0015009356661813	159
GCA_041390425.1_ASM4139042v1_genomic	9	2.232059611388889	0.9107700730711831	170
GCA_041390445.1_ASM4139044v1_genomic	8	1.6596455179625	0.8212908199080946	154
GCA_041390465.1_ASM4139046v1_genomic	9	2.0348360144444446	0.4909385558473234	210
GCA_041390485.1_ASM4139048v1_genomic	8	0.9354433466375001	0.5568591813024764	86
GCA_041390505.1_ASM4139050v1_genomic	9	0.3332890765066667	0.40688196537541427	39
GCA_041390515.1_ASM4139051v1_genomic	9	0.28408609064444446	0.17034664557341542	32
GCA_041390525.1_ASM4139052v1_genomic	9	2.3662899637777777	0.19017075979334822	106
GCA_041390565.1_ASM4139056v1_genomic	9	2.0042666366222224	0.5111814792957917	112
GCA_041390585.1_ASM4139058v1_genomic	9	0.23129843193444444	0.31778712394687325	41
GCA_041390605.1_ASM4139060v1_genomic	9	0.28050479559999997	0.10170957574428907	83
GCA_041390625.1_ASM4139062v1_genomic	9	0.2508288185888889	0.07232026422508911	32
GCA_041390645.1_ASM4139064v1_genomic	9	0.18572167673333334	0.04829852604766717	9
GCA_041390665.1_ASM4139066v1_genomic	9	1.9771000304444444	0.12596623266885776	151
GCA_041390685.1_ASM4139068v1_genomic	9	0.18393544088777777	0.06756177949829503	1
GCA_041390705.1_ASM4139070v1_genomic	9	0.5055575206777778	0.1311376346237934	2
GCA_041390725.1_ASM4139072v1_genomic	9	2.0037729732666665	0.5286770058041883	120
GCA_041390745.1_ASM4139074v1_genomic	9	0.09253717509666666	0.03893804544160387	43
GCA_041390765.1_ASM4139076v1_genomic	9	0.45020926482222223	0.1378611716419993	59
GCA_041390785.1_ASM4139078v1_genomic	9	2.122735097777778	0.2768535605740183	188
GCA_041390805.1_ASM4139080v1_genomic	9	0.20212268151577778	0.08339214529486978	35
GCA_041390825.1_ASM4139082v1_genomic	9	0.39611117376666666	0.10811318216103624	97
GCA_041390845.1_ASM4139084v1_genomic	9	0.6156365247555555	0.15654836967323027	76
GCA_041390865.1_ASM4139086v1_genomic	9	0.3987012574788889	0.4433733433258705	51
GCA_041390885.1_ASM4139088v1_genomic	9	0.24500528871444446	0.20615928828099564	35
GCA_041390905.1_ASM4139090v1_genomic	7	0.17902106229999998	0.06211639631199628	20
GCA_041390925.1_ASM4139092v1_genomic	9	1.9921104266666667	0.4038264550053769	134
GCA_041390945.1_ASM4139094v1_genomic	9	0.18440451964666668	0.0918366425082077	95
GCA_041390965.1_ASM4139096v1_genomic	9	2.2369336459999998	0.20355605541354096	242
GCA_041390985.1_ASM4139098v1_genomic	9	0.11684318818999999	0.057734445740938674	19
GCA_041391005.1_ASM4139100v1_genomic	9	2.1937045800000003	0.18654670501621	113
GCA_041391025.1_ASM4139102v1_genomic	9	2.069124096888889	0.41995241412870565	123
GCA_041391045.1_ASM4139104v1_genomic	9	1.8407302767777776	0.528542396882704	251
GCA_041391065.1_ASM4139106v1_genomic	9	0.16879996425111113	0.05010221633095379	90
GCA_041391085.1_ASM4139108v1_genomic	9	0.16837055899	0.04451335272898428	1
GCA_041391105.1_ASM4139110v1_genomic	9	0.6697880043222222	0.33182285576582543	88
GCA_041391125.1_ASM4139112v1_genomic	9	2.1148951272222223	0.4269352631279013	182
GCA_041391145.1_ASM4139114v1_genomic	9	0.16030117217666665	0.10911422002619489	56
GCA_041391165.1_ASM4139116v1_genomic	9	2.240854251111111	0.26574879043167	219
